forecast_date,target_end_date,target,location,type,quantile,location_name,value
2020-10-12,2020-10-03,-1 wk ahead inc death,PL,observed,NA,Poland,180.0
2020-10-12,2020-10-10,0 wk ahead inc death,PL,observed,NA,Poland,368.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,point,NA,Poland,318.19967971174054
2020-10-12,2020-10-24,2 wk ahead inc death,PL,point,NA,Poland,502.6441797617856
2020-10-12,2020-10-31,3 wk ahead inc death,PL,point,NA,Poland,798.873686317686
2020-10-12,2020-11-07,4 wk ahead inc death,PL,point,NA,Poland,1221.6426720793854
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.01,Poland,174.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.025,Poland,190.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.05,Poland,207.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.1,Poland,226.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.15,Poland,239.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.2,Poland,252.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.25,Poland,261.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.3,Poland,271.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.35,Poland,281.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.4,Poland,290.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.45,Poland,300.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.5,Poland,310.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.55,Poland,320.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.6,Poland,331.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.65,Poland,342.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.7,Poland,356.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.75,Poland,368.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.8,Poland,384.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.85,Poland,403.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.9,Poland,424.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.95,Poland,454.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.975,Poland,480.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.99,Poland,511.10000000000036
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.01,Poland,251.8
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.025,Poland,276.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.05,Poland,301.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.1,Poland,330.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.15,Poland,350.5
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.2,Poland,369.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.25,Poland,386.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.3,Poland,401.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.35,Poland,417.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.4,Poland,434.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.45,Poland,453.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.5,Poland,473.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.55,Poland,495.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.6,Poland,522.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.65,Poland,551.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.7,Poland,582.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.75,Poland,614.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.8,Poland,644.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.85,Poland,680.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.9,Poland,717.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.95,Poland,769.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.975,Poland,813.0
