forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-01-04,2021-01-09,1 wk ahead cum case,PL,point,NA,Poland,1380315.2337083207
2021-01-04,2021-01-09,1 wk ahead inc case,PL,point,NA,Poland,67535.23370832067
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.01,Poland,1353879.96
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.025,Poland,1356159.275
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.05,Poland,1358170.95
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.1,Poland,1361591.2
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.15,Poland,1372694.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.2,Poland,1373753.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.25,Poland,1374439.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.3,Poland,1375018.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.35,Poland,1375693.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.4,Poland,1380603.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.45,Poland,1382264.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.5,Poland,1383435.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.55,Poland,1384890.95
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.6,Poland,1386352.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.65,Poland,1387250.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.7,Poland,1388117.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.75,Poland,1388815.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.8,Poland,1389475.0
2021-01-04,2021-01-09,1 wk ahead cum case,PL,quantile,0.85,Poland,1390097.0
