"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-05-11,"-1 day ahead inc death",2020-05-10,"GM","Germany","observed",NA,26
2020-05-11,"0 day ahead inc death",2020-05-11,"GM","Germany","observed",NA,22
2020-05-11,"1 day ahead inc death",2020-05-12,"GM","Germany","point",NA,25
2020-05-11,"2 day ahead inc death",2020-05-13,"GM","Germany","point",NA,24
2020-05-11,"3 day ahead inc death",2020-05-14,"GM","Germany","point",NA,24
2020-05-11,"4 day ahead inc death",2020-05-15,"GM","Germany","point",NA,24
2020-05-11,"5 day ahead inc death",2020-05-16,"GM","Germany","point",NA,24
2020-05-11,"6 day ahead inc death",2020-05-17,"GM","Germany","point",NA,24
2020-05-11,"7 day ahead inc death",2020-05-18,"GM","Germany","point",NA,24
2020-05-11,"8 day ahead inc death",2020-05-19,"GM","Germany","point",NA,24
2020-05-11,"-1 day ahead cum death",2020-05-10,"GM","Germany","observed",NA,7395
2020-05-11,"0 day ahead cum death",2020-05-11,"GM","Germany","observed",NA,7417
2020-05-11,"1 day ahead cum death",2020-05-12,"GM","Germany","point",NA,7442
2020-05-11,"2 day ahead cum death",2020-05-13,"GM","Germany","point",NA,7466
2020-05-11,"3 day ahead cum death",2020-05-14,"GM","Germany","point",NA,7490
2020-05-11,"4 day ahead cum death",2020-05-15,"GM","Germany","point",NA,7514
2020-05-11,"5 day ahead cum death",2020-05-16,"GM","Germany","point",NA,7538
2020-05-11,"6 day ahead cum death",2020-05-17,"GM","Germany","point",NA,7562
2020-05-11,"7 day ahead cum death",2020-05-18,"GM","Germany","point",NA,7586
2020-05-11,"8 day ahead cum death",2020-05-19,"GM","Germany","point",NA,7610
2020-05-11,"0 wk ahead inc death",2020-05-09,"GM","Germany","observed",NA,794
2020-05-11,"1 wk ahead inc death",2020-05-16,"GM","Germany","point",NA,169
2020-05-11,"-1 wk ahead cum death",2020-05-02,"GM","Germany","observed",NA,6575
2020-05-11,"0 wk ahead cum death",2020-05-09,"GM","Germany","observed",NA,7369
2020-05-11,"1 wk ahead cum death",2020-05-16,"GM","Germany","point",NA,7538
