"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-05-19,"-1 day ahead inc death",2020-05-18,"PL","Poland","observed",NA,10
2020-05-19,"0 day ahead inc death",2020-05-19,"PL","Poland","observed",NA,11
2020-05-19,"1 day ahead inc death",2020-05-20,"PL","Poland","point",NA,10
2020-05-19,"2 day ahead inc death",2020-05-21,"PL","Poland","point",NA,11
2020-05-19,"3 day ahead inc death",2020-05-22,"PL","Poland","point",NA,11
2020-05-19,"4 day ahead inc death",2020-05-23,"PL","Poland","point",NA,11
2020-05-19,"5 day ahead inc death",2020-05-24,"PL","Poland","point",NA,11
2020-05-19,"6 day ahead inc death",2020-05-25,"PL","Poland","point",NA,11
2020-05-19,"7 day ahead inc death",2020-05-26,"PL","Poland","point",NA,11
2020-05-19,"8 day ahead inc death",2020-05-27,"PL","Poland","point",NA,11
2020-05-19,"-1 day ahead cum death",2020-05-18,"PL","Poland","observed",NA,925
2020-05-19,"0 day ahead cum death",2020-05-19,"PL","Poland","observed",NA,936
2020-05-19,"1 day ahead cum death",2020-05-20,"PL","Poland","point",NA,946
2020-05-19,"2 day ahead cum death",2020-05-21,"PL","Poland","point",NA,957
2020-05-19,"3 day ahead cum death",2020-05-22,"PL","Poland","point",NA,967
2020-05-19,"4 day ahead cum death",2020-05-23,"PL","Poland","point",NA,978
2020-05-19,"5 day ahead cum death",2020-05-24,"PL","Poland","point",NA,988
2020-05-19,"6 day ahead cum death",2020-05-25,"PL","Poland","point",NA,999
2020-05-19,"7 day ahead cum death",2020-05-26,"PL","Poland","point",NA,1009
2020-05-19,"8 day ahead cum death",2020-05-27,"PL","Poland","point",NA,1020
2020-05-19,"0 wk ahead inc death",2020-05-23,"PL","Poland","point",NA,71
2020-05-19,"-1 wk ahead cum death",2020-05-16,"PL","Poland","observed",NA,907
2020-05-19,"0 wk ahead cum death",2020-05-23,"PL","Poland","point",NA,978
