"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-07-24,"7 day ahead inc case",2020-07-31,"GM","Germany","point",NA,627.86382454267
2020-07-24,"6 day ahead inc case",2020-07-30,"GM","Germany","point",NA,613.506110906688
2020-07-24,"5 day ahead inc case",2020-07-29,"GM","Germany","point",NA,599.476201054
2020-07-24,"4 day ahead inc case",2020-07-28,"GM","Germany","point",NA,585.766610831954
2020-07-24,"3 day ahead inc case",2020-07-27,"GM","Germany","point",NA,572.370026960067
2020-07-24,"2 day ahead inc case",2020-07-26,"GM","Germany","point",NA,559.279303128802
2020-07-24,"1 day ahead inc case",2020-07-25,"GM","Germany","point",NA,546.487456187489
2020-07-24,"0 day ahead inc case",2020-07-24,"GM","Germany","observed",NA,815
2020-07-24,"-1 day ahead inc case",2020-07-23,"GM","Germany","observed",NA,569
2020-07-24,"7 day ahead cum case",2020-07-31,"GM","Germany","point",NA,208287.749533612
2020-07-24,"6 day ahead cum case",2020-07-30,"GM","Germany","point",NA,207659.885709069
2020-07-24,"5 day ahead cum case",2020-07-29,"GM","Germany","point",NA,207046.379598162
2020-07-24,"4 day ahead cum case",2020-07-28,"GM","Germany","point",NA,206446.903397108
2020-07-24,"3 day ahead cum case",2020-07-27,"GM","Germany","point",NA,205861.136786276
2020-07-24,"2 day ahead cum case",2020-07-26,"GM","Germany","point",NA,205288.766759316
2020-07-24,"1 day ahead cum case",2020-07-25,"GM","Germany","point",NA,204729.487456187
2020-07-24,"0 day ahead cum case",2020-07-24,"GM","Germany","observed",NA,204183
2020-07-24,"-1 day ahead cum case",2020-07-23,"GM","Germany","observed",NA,203368
2020-07-24,"0 wk ahead inc case",2020-07-25,"GM","Germany","point",NA,3357.48745618749
2020-07-24,"-1 wk ahead cum case",2020-07-18,"GM","Germany","observed",NA,201372
2020-07-24,"0 wk ahead cum case",2020-07-25,"GM","Germany","point",NA,204729.487456187
