"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-07,"7 day ahead inc death",2020-08-14,"PL","Poland","point",NA,15.8380367655332
2020-08-07,"6 day ahead inc death",2020-08-13,"PL","Poland","point",NA,15.3772331501714
2020-08-07,"5 day ahead inc death",2020-08-12,"PL","Poland","point",NA,14.888968668022
2020-08-07,"4 day ahead inc death",2020-08-11,"PL","Poland","point",NA,14.3202250544443
2020-08-07,"3 day ahead inc death",2020-08-10,"PL","Poland","point",NA,13.8427676918782
2020-08-07,"2 day ahead inc death",2020-08-09,"PL","Poland","point",NA,13.2757745844649
2020-08-07,"1 day ahead inc death",2020-08-08,"PL","Poland","point",NA,13.084566394783
2020-08-07,"0 day ahead inc death",2020-08-07,"PL","Poland","observed",NA,18
2020-08-07,"-1 day ahead inc death",2020-08-06,"PL","Poland","observed",NA,18
2020-08-07,"7 day ahead cum death",2020-08-14,"PL","Poland","point",NA,1874.6275723093
2020-08-07,"6 day ahead cum death",2020-08-13,"PL","Poland","point",NA,1858.78953554376
2020-08-07,"5 day ahead cum death",2020-08-12,"PL","Poland","point",NA,1843.41230239359
2020-08-07,"4 day ahead cum death",2020-08-11,"PL","Poland","point",NA,1828.52333372557
2020-08-07,"3 day ahead cum death",2020-08-10,"PL","Poland","point",NA,1814.20310867113
2020-08-07,"2 day ahead cum death",2020-08-09,"PL","Poland","point",NA,1800.36034097925
2020-08-07,"1 day ahead cum death",2020-08-08,"PL","Poland","point",NA,1787.08456639478
2020-08-07,"0 day ahead cum death",2020-08-07,"PL","Poland","observed",NA,1774
2020-08-07,"-1 day ahead cum death",2020-08-06,"PL","Poland","observed",NA,1756
2020-08-07,"0 wk ahead inc death",2020-08-08,"PL","Poland","point",NA,71.084566394783
2020-08-07,"-1 wk ahead cum death",2020-08-01,"PL","Poland","observed",NA,1716
2020-08-07,"0 wk ahead cum death",2020-08-08,"PL","Poland","point",NA,1787.08456639478
