"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-09,"7 day ahead inc case",2020-08-16,"PL","Poland","point",NA,841.379203524099
2020-08-09,"6 day ahead inc case",2020-08-15,"PL","Poland","point",NA,823.750108587534
2020-08-09,"5 day ahead inc case",2020-08-14,"PL","Poland","point",NA,806.489950807751
2020-08-09,"4 day ahead inc case",2020-08-13,"PL","Poland","point",NA,789.591009162992
2020-08-09,"3 day ahead inc case",2020-08-12,"PL","Poland","point",NA,773.045724215044
2020-08-09,"2 day ahead inc case",2020-08-11,"PL","Poland","point",NA,756.846694727683
2020-08-09,"1 day ahead inc case",2020-08-10,"PL","Poland","point",NA,740.98667435583
2020-08-09,"0 day ahead inc case",2020-08-09,"PL","Poland","observed",NA,843
2020-08-09,"-1 day ahead inc case",2020-08-08,"PL","Poland","observed",NA,809
2020-08-09,"7 day ahead cum case",2020-08-16,"PL","Poland","point",NA,56699.0893653809
2020-08-09,"6 day ahead cum case",2020-08-15,"PL","Poland","point",NA,55857.7101618568
2020-08-09,"5 day ahead cum case",2020-08-14,"PL","Poland","point",NA,55033.9600532693
2020-08-09,"4 day ahead cum case",2020-08-13,"PL","Poland","point",NA,54227.4701024615
2020-08-09,"3 day ahead cum case",2020-08-12,"PL","Poland","point",NA,53437.8790932986
2020-08-09,"2 day ahead cum case",2020-08-11,"PL","Poland","point",NA,52664.8333690835
2020-08-09,"1 day ahead cum case",2020-08-10,"PL","Poland","point",NA,51907.9866743558
2020-08-09,"0 day ahead cum case",2020-08-09,"PL","Poland","observed",NA,51167
2020-08-09,"-1 day ahead cum case",2020-08-08,"PL","Poland","observed",NA,50324
2020-08-09,"0 wk ahead inc case",2020-08-08,"PL","Poland","observed",NA,4636
2020-08-09,"1 wk ahead inc case",2020-08-15,"PL","Poland","point",NA,5533.71016185683
2020-08-09,"-1 wk ahead cum case",2020-08-01,"PL","Poland","observed",NA,45688
2020-08-09,"0 wk ahead cum case",2020-08-08,"PL","Poland","observed",NA,50324
2020-08-09,"1 wk ahead cum case",2020-08-15,"PL","Poland","point",NA,55857.7101618568
