"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-10-19,"7 day ahead inc case",2020-10-26,"GM","Germany","point",NA,8158.71280204848
2020-10-19,"6 day ahead inc case",2020-10-25,"GM","Germany","point",NA,7883.50380847632
2020-10-19,"5 day ahead inc case",2020-10-24,"GM","Germany","point",NA,7608.2948149041
2020-10-19,"4 day ahead inc case",2020-10-23,"GM","Germany","point",NA,7333.085821332
2020-10-19,"3 day ahead inc case",2020-10-22,"GM","Germany","point",NA,7057.87682775984
2020-10-19,"2 day ahead inc case",2020-10-21,"GM","Germany","point",NA,6782.66783418768
2020-10-19,"1 day ahead inc case",2020-10-20,"GM","Germany","point",NA,6507.45884061552
2020-10-19,"0 day ahead inc case",2020-10-19,"GM","Germany","observed",NA,4325
2020-10-19,"-1 day ahead inc case",2020-10-18,"GM","Germany","observed",NA,5587
2020-10-19,"7 day ahead cum case",2020-10-26,"GM","Germany","point",NA,417630.600749324
2020-10-19,"6 day ahead cum case",2020-10-25,"GM","Germany","point",NA,409471.887947275
2020-10-19,"5 day ahead cum case",2020-10-24,"GM","Germany","point",NA,401588.384138799
2020-10-19,"4 day ahead cum case",2020-10-23,"GM","Germany","point",NA,393980.089323895
2020-10-19,"3 day ahead cum case",2020-10-22,"GM","Germany","point",NA,386647.003502563
2020-10-19,"2 day ahead cum case",2020-10-21,"GM","Germany","point",NA,379589.126674803
2020-10-19,"1 day ahead cum case",2020-10-20,"GM","Germany","point",NA,372806.458840616
2020-10-19,"0 day ahead cum case",2020-10-19,"GM","Germany","observed",NA,366299
2020-10-19,"-1 day ahead cum case",2020-10-18,"GM","Germany","observed",NA,361974
2020-10-19,"0 wk ahead inc case",2020-10-17,"GM","Germany","observed",NA,37006
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM","Germany","point",NA,45201.3841387992
2020-10-19,"-1 wk ahead cum case",2020-10-10,"GM","Germany","observed",NA,319381
2020-10-19,"0 wk ahead cum case",2020-10-17,"GM","Germany","observed",NA,356387
2020-10-19,"1 wk ahead cum case",2020-10-24,"GM","Germany","point",NA,401588.384138799
