"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-01-30,"6 day ahead inc case",2021-02-05,"PL","Poland","point",NA,5135.80551048391
2021-01-30,"5 day ahead inc case",2021-02-04,"PL","Poland","point",NA,5182.27442993945
2021-01-30,"4 day ahead inc case",2021-02-03,"PL","Poland","point",NA,5229.16371969529
2021-01-30,"3 day ahead inc case",2021-02-02,"PL","Poland","point",NA,5276.47718253382
2021-01-30,"2 day ahead inc case",2021-02-01,"PL","Poland","point",NA,5324.21865563886
2021-01-30,"1 day ahead inc case",2021-01-31,"PL","Poland","point",NA,5372.39201090531
2021-01-30,"0 day ahead inc case",2021-01-30,"PL","Poland","observed",NA,5421.0011552556
2021-01-30,"-1 day ahead inc case",2021-01-29,"PL","Poland","observed",NA,6145
2021-01-30,"6 day ahead cum case",2021-02-05,"PL","Poland","point",NA,1539751.33266445
2021-01-30,"5 day ahead cum case",2021-02-04,"PL","Poland","point",NA,1534615.52715397
2021-01-30,"4 day ahead cum case",2021-02-03,"PL","Poland","point",NA,1529433.25272403
2021-01-30,"3 day ahead cum case",2021-02-02,"PL","Poland","point",NA,1524204.08900433
2021-01-30,"2 day ahead cum case",2021-02-01,"PL","Poland","point",NA,1518927.6118218
2021-01-30,"1 day ahead cum case",2021-01-31,"PL","Poland","point",NA,1513603.39316616
2021-01-30,"0 day ahead cum case",2021-01-30,"PL","Poland","observed",NA,1508231.00115526
2021-01-30,"-1 day ahead cum case",2021-01-29,"PL","Poland","observed",NA,1502810
2021-01-30,"0 wk ahead inc case",2021-01-30,"PL","Poland","observed",NA,37352.0011552556
2021-01-30,"-1 wk ahead cum case",2021-01-23,"PL","Poland","observed",NA,1470879
2021-01-30,"0 wk ahead cum case",2021-01-30,"PL","Poland","observed",NA,1508231.00115526
