"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-02-05,"6 day ahead inc death",2021-02-11,"PL","Poland","point",NA,259.40212367184
2021-02-05,"5 day ahead inc death",2021-02-10,"PL","Poland","point",NA,260.282275681726
2021-02-05,"4 day ahead inc death",2021-02-09,"PL","Poland","point",NA,261.165402581195
2021-02-05,"3 day ahead inc death",2021-02-08,"PL","Poland","point",NA,262.051514425257
2021-02-05,"2 day ahead inc death",2021-02-07,"PL","Poland","point",NA,262.940621302965
2021-02-05,"1 day ahead inc death",2021-02-06,"PL","Poland","point",NA,263.83273333744
2021-02-05,"0 day ahead inc death",2021-02-05,"PL","Poland","observed",NA,264.727860686049
2021-02-05,"-1 day ahead inc death",2021-02-04,"PL","Poland","observed",NA,447
2021-02-05,"6 day ahead cum death",2021-02-11,"PL","Poland","point",NA,40178.4025316865
2021-02-05,"5 day ahead cum death",2021-02-10,"PL","Poland","point",NA,39919.0004080146
2021-02-05,"4 day ahead cum death",2021-02-09,"PL","Poland","point",NA,39658.7181323329
2021-02-05,"3 day ahead cum death",2021-02-08,"PL","Poland","point",NA,39397.5527297517
2021-02-05,"2 day ahead cum death",2021-02-07,"PL","Poland","point",NA,39135.5012153265
2021-02-05,"1 day ahead cum death",2021-02-06,"PL","Poland","point",NA,38872.5605940235
2021-02-05,"0 day ahead cum death",2021-02-05,"PL","Poland","observed",NA,38608.727860686
2021-02-05,"-1 day ahead cum death",2021-02-04,"PL","Poland","observed",NA,38344
2021-02-05,"0 wk ahead inc death",2021-02-06,"PL","Poland","point",NA,1790.56059402349
2021-02-05,"-1 wk ahead cum death",2021-01-30,"PL","Poland","observed",NA,37082
2021-02-05,"0 wk ahead cum death",2021-02-06,"PL","Poland","point",NA,38872.5605940235
