"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2020-11-08,2020-11-14,"GM","Germany",797076.123430174,"point",NA,"1 wk ahead cum case"
2020-11-08,2020-11-21,"GM","Germany",921467.501662968,"point",NA,"2 wk ahead cum case"
2020-11-08,2020-11-28,"GM","Germany",1044703.99892884,"point",NA,"3 wk ahead cum case"
2020-11-08,2020-12-05,"GM","Germany",1175206.59969744,"point",NA,"4 wk ahead cum case"
2020-11-08,2020-12-12,"GM","Germany",1317735.10514898,"point",NA,"5 wk ahead cum case"
2020-11-08,2020-12-19,"GM","Germany",1476375.00408643,"point",NA,"6 wk ahead cum case"
2020-11-08,2020-12-26,"GM","Germany",1653045.77704346,"point",NA,"7 wk ahead cum case"
2020-11-08,2021-01-02,"GM","Germany",1844278.31218269,"point",NA,"8 wk ahead cum case"
2020-11-08,2021-01-09,"GM","Germany",2056976.45633421,"point",NA,"9 wk ahead cum case"
2020-11-08,2021-01-16,"GM","Germany",2279451.30381964,"point",NA,"10 wk ahead cum case"
2020-11-08,2021-01-23,"GM","Germany",2520540.0140213,"point",NA,"11 wk ahead cum case"
2020-11-08,2021-01-30,"GM","Germany",2765019.7042104,"point",NA,"12 wk ahead cum case"
2020-11-08,2021-02-06,"GM","Germany",3016520.8729265,"point",NA,"13 wk ahead cum case"
2020-11-08,2021-02-13,"GM","Germany",3276156.00963885,"point",NA,"14 wk ahead cum case"
2020-11-08,2020-11-14,"GM","Germany",789388.655068371,"quantile",0.025,"1 wk ahead cum case"
2020-11-08,2020-11-21,"GM","Germany",885177.497880513,"quantile",0.025,"2 wk ahead cum case"
2020-11-08,2020-11-28,"GM","Germany",963648.039348834,"quantile",0.025,"3 wk ahead cum case"
2020-11-08,2020-12-05,"GM","Germany",1036362.5682768,"quantile",0.025,"4 wk ahead cum case"
2020-11-08,2020-12-12,"GM","Germany",1109529.6319387,"quantile",0.025,"5 wk ahead cum case"
2020-11-08,2020-12-19,"GM","Germany",1186547.49326766,"quantile",0.025,"6 wk ahead cum case"
2020-11-08,2020-12-26,"GM","Germany",1269483.91000801,"quantile",0.025,"7 wk ahead cum case"
2020-11-08,2021-01-02,"GM","Germany",1359756.59419114,"quantile",0.025,"8 wk ahead cum case"
2020-11-08,2021-01-09,"GM","Germany",1458489.43776514,"quantile",0.025,"9 wk ahead cum case"
2020-11-08,2021-01-16,"GM","Germany",1566685.63419308,"quantile",0.025,"10 wk ahead cum case"
2020-11-08,2021-01-23,"GM","Germany",1685290.3365969,"quantile",0.025,"11 wk ahead cum case"
2020-11-08,2021-01-30,"GM","Germany",1815231.7076107,"quantile",0.025,"12 wk ahead cum case"
2020-11-08,2021-02-06,"GM","Germany",1957431.81953121,"quantile",0.025,"13 wk ahead cum case"
2020-11-08,2021-02-13,"GM","Germany",2112784.19619679,"quantile",0.025,"14 wk ahead cum case"
2020-11-08,2020-11-14,"GM","Germany",844500.696758737,"quantile",0.975,"1 wk ahead cum case"
2020-11-08,2020-11-21,"GM","Germany",1140323.42562493,"quantile",0.975,"2 wk ahead cum case"
2020-11-08,2020-11-28,"GM","Germany",1519824.64188373,"quantile",0.975,"3 wk ahead cum case"
2020-11-08,2020-12-05,"GM","Germany",1962071.09727481,"quantile",0.975,"4 wk ahead cum case"
2020-11-08,2020-12-12,"GM","Germany",2453222.81899562,"quantile",0.975,"5 wk ahead cum case"
2020-11-08,2020-12-19,"GM","Germany",2982499.3509762,"quantile",0.975,"6 wk ahead cum case"
2020-11-08,2020-12-26,"GM","Germany",3540398.04883,"quantile",0.975,"7 wk ahead cum case"
2020-11-08,2021-01-02,"GM","Germany",4118383.28799103,"quantile",0.975,"8 wk ahead cum case"
2020-11-08,2021-01-09,"GM","Germany",4708550.44535914,"quantile",0.975,"9 wk ahead cum case"
