"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-02-06,"GM","Germany",61551,"point",NA,"0 wk ahead cum death"
2021-02-06,2021-02-13,"GM","Germany",65374.4637795832,"point",NA,"1 wk ahead cum death"
2021-02-06,2021-02-20,"GM","Germany",68065.68984509,"point",NA,"2 wk ahead cum death"
2021-02-06,2021-02-27,"GM","Germany",69962.1648001932,"point",NA,"3 wk ahead cum death"
2021-02-06,2021-03-06,"GM","Germany",71298.5881135042,"point",NA,"4 wk ahead cum death"
2021-02-06,2021-03-13,"GM","Germany",72240.3497052169,"point",NA,"5 wk ahead cum death"
2021-02-06,2021-03-20,"GM","Germany",72903.9978822514,"point",NA,"6 wk ahead cum death"
2021-02-06,2021-03-27,"GM","Germany",73371.6628483711,"point",NA,"7 wk ahead cum death"
2021-02-06,2021-04-03,"GM","Germany",73701.2207799744,"point",NA,"8 wk ahead cum death"
2021-02-06,2021-04-10,"GM","Germany",73933.4563292476,"point",NA,"9 wk ahead cum death"
2021-02-06,2021-04-17,"GM","Germany",74097.1099548297,"point",NA,"10 wk ahead cum death"
2021-02-06,2021-04-24,"GM","Germany",74212.4347156167,"point",NA,"11 wk ahead cum death"
2021-02-06,2021-05-01,"GM","Germany",74293.7027009929,"point",NA,"12 wk ahead cum death"
2021-02-06,2021-05-08,"GM","Germany",74350.971282363,"point",NA,"13 wk ahead cum death"
2021-02-06,2021-05-15,"GM","Germany",74391.3277695696,"point",NA,"14 wk ahead cum death"
2021-02-06,2021-02-06,"GM","Germany",61551,"quantile",0.025,"0 wk ahead cum death"
2021-02-06,2021-02-13,"GM","Germany",65168.3546468429,"quantile",0.025,"1 wk ahead cum death"
2021-02-06,2021-02-20,"GM","Germany",67555.3379747297,"quantile",0.025,"2 wk ahead cum death"
2021-02-06,2021-02-27,"GM","Germany",69227.9287466019,"quantile",0.025,"3 wk ahead cum death"
2021-02-06,2021-03-06,"GM","Germany",70398.2909291638,"quantile",0.025,"4 wk ahead cum death"
2021-02-06,2021-03-13,"GM","Germany",71220.408552385,"quantile",0.025,"5 wk ahead cum death"
2021-02-06,2021-03-20,"GM","Germany",71799.7450498168,"quantile",0.025,"6 wk ahead cum death"
2021-02-06,2021-03-27,"GM","Germany",72207.9965794963,"quantile",0.025,"7 wk ahead cum death"
2021-02-06,2021-04-03,"GM","Germany",72495.686570071,"quantile",0.025,"8 wk ahead cum death"
2021-02-06,2021-04-10,"GM","Germany",72698.4182799602,"quantile",0.025,"9 wk ahead cum death"
2021-02-06,2021-04-17,"GM","Germany",72841.2809013275,"quantile",0.025,"10 wk ahead cum death"
2021-02-06,2021-04-24,"GM","Germany",72941.954489071,"quantile",0.025,"11 wk ahead cum death"
2021-02-06,2021-05-01,"GM","Germany",73012.897967303,"quantile",0.025,"12 wk ahead cum death"
2021-02-06,2021-05-08,"GM","Germany",73062.8909914564,"quantile",0.025,"13 wk ahead cum death"
2021-02-06,2021-05-15,"GM","Germany",73098.1204801463,"quantile",0.025,"14 wk ahead cum death"
2021-02-06,2021-02-06,"GM","Germany",61551,"quantile",0.975,"0 wk ahead cum death"
