"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-06-13,"1 wk ahead inc death",2020-06-20,"GM","Germany","point",NA,120
2020-06-13,"2 wk ahead inc death",2020-06-27,"GM","Germany","point",NA,91
2020-06-13,"3 wk ahead inc death",2020-07-04,"GM","Germany","point",NA,71
2020-06-13,"4 wk ahead inc death",2020-07-11,"GM","Germany","point",NA,54
2020-06-13,"5 wk ahead inc death",2020-07-18,"GM","Germany","point",NA,42
2020-06-13,"6 wk ahead inc death",2020-07-25,"GM","Germany","point",NA,33
2020-06-13,"7 wk ahead inc death",2020-08-01,"GM","Germany","point",NA,25
2020-06-13,"8 wk ahead inc death",2020-08-08,"GM","Germany","point",NA,19
2020-06-13,"9 wk ahead inc death",2020-08-15,"GM","Germany","point",NA,15
2020-06-13,"10 wk ahead inc death",2020-08-22,"GM","Germany","point",NA,11
2020-06-13,"11 wk ahead inc death",2020-08-29,"GM","Germany","point",NA,9
2020-06-13,"12 wk ahead inc death",2020-09-05,"GM","Germany","point",NA,7
2020-06-13,"13 wk ahead inc death",2020-09-12,"GM","Germany","point",NA,5
2020-06-13,"14 wk ahead inc death",2020-09-19,"GM","Germany","point",NA,4
2020-06-13,"0 wk ahead cum death",2020-06-13,"GM","Germany","observed",NA,8803
2020-06-13,"1 wk ahead cum death",2020-06-20,"GM","Germany","point",NA,8923
2020-06-13,"2 wk ahead cum death",2020-06-27,"GM","Germany","point",NA,9014
2020-06-13,"3 wk ahead cum death",2020-07-04,"GM","Germany","point",NA,9085
2020-06-13,"4 wk ahead cum death",2020-07-11,"GM","Germany","point",NA,9139
2020-06-13,"5 wk ahead cum death",2020-07-18,"GM","Germany","point",NA,9181
2020-06-13,"6 wk ahead cum death",2020-07-25,"GM","Germany","point",NA,9214
2020-06-13,"7 wk ahead cum death",2020-08-01,"GM","Germany","point",NA,9239
2020-06-13,"8 wk ahead cum death",2020-08-08,"GM","Germany","point",NA,9258
2020-06-13,"9 wk ahead cum death",2020-08-15,"GM","Germany","point",NA,9273
2020-06-13,"10 wk ahead cum death",2020-08-22,"GM","Germany","point",NA,9284
2020-06-13,"11 wk ahead cum death",2020-08-29,"GM","Germany","point",NA,9293
2020-06-13,"12 wk ahead cum death",2020-09-05,"GM","Germany","point",NA,9300
2020-06-13,"13 wk ahead cum death",2020-09-12,"GM","Germany","point",NA,9305
2020-06-13,"14 wk ahead cum death",2020-09-19,"GM","Germany","point",NA,9309
2020-06-13,"0 day ahead inc death",2020-06-13,"GM","Germany","observed",NA,20
2020-06-13,"1 day ahead inc death",2020-06-14,"GM","Germany","point",NA,19
2020-06-13,"2 day ahead inc death",2020-06-15,"GM","Germany","point",NA,18
2020-06-13,"3 day ahead inc death",2020-06-16,"GM","Germany","point",NA,18
2020-06-13,"4 day ahead inc death",2020-06-17,"GM","Germany","point",NA,17
2020-06-13,"5 day ahead inc death",2020-06-18,"GM","Germany","point",NA,16
2020-06-13,"6 day ahead inc death",2020-06-19,"GM","Germany","point",NA,16
2020-06-13,"7 day ahead inc death",2020-06-20,"GM","Germany","point",NA,16
2020-06-13,"8 day ahead inc death",2020-06-21,"GM","Germany","point",NA,15
2020-06-13,"9 day ahead inc death",2020-06-22,"GM","Germany","point",NA,14
2020-06-13,"10 day ahead inc death",2020-06-23,"GM","Germany","point",NA,13
2020-06-13,"11 day ahead inc death",2020-06-24,"GM","Germany","point",NA,13
2020-06-13,"12 day ahead inc death",2020-06-25,"GM","Germany","point",NA,13
2020-06-13,"13 day ahead inc death",2020-06-26,"GM","Germany","point",NA,12
2020-06-13,"14 day ahead inc death",2020-06-27,"GM","Germany","point",NA,11
2020-06-13,"15 day ahead inc death",2020-06-28,"GM","Germany","point",NA,12
2020-06-13,"16 day ahead inc death",2020-06-29,"GM","Germany","point",NA,10
2020-06-13,"17 day ahead inc death",2020-06-30,"GM","Germany","point",NA,11
2020-06-13,"18 day ahead inc death",2020-07-01,"GM","Germany","point",NA,10
2020-06-13,"19 day ahead inc death",2020-07-02,"GM","Germany","point",NA,10
2020-06-13,"20 day ahead inc death",2020-07-03,"GM","Germany","point",NA,9
2020-06-13,"21 day ahead inc death",2020-07-04,"GM","Germany","point",NA,9
2020-06-13,"22 day ahead inc death",2020-07-05,"GM","Germany","point",NA,9
2020-06-13,"23 day ahead inc death",2020-07-06,"GM","Germany","point",NA,8
2020-06-13,"24 day ahead inc death",2020-07-07,"GM","Germany","point",NA,8
2020-06-13,"25 day ahead inc death",2020-07-08,"GM","Germany","point",NA,8
2020-06-13,"26 day ahead inc death",2020-07-09,"GM","Germany","point",NA,7
2020-06-13,"27 day ahead inc death",2020-07-10,"GM","Germany","point",NA,7
2020-06-13,"28 day ahead inc death",2020-07-11,"GM","Germany","point",NA,7
2020-06-13,"29 day ahead inc death",2020-07-12,"GM","Germany","point",NA,7
2020-06-13,"30 day ahead inc death",2020-07-13,"GM","Germany","point",NA,7
2020-06-13,"31 day ahead inc death",2020-07-14,"GM","Germany","point",NA,6
2020-06-13,"32 day ahead inc death",2020-07-15,"GM","Germany","point",NA,6
2020-06-13,"33 day ahead inc death",2020-07-16,"GM","Germany","point",NA,5
2020-06-13,"34 day ahead inc death",2020-07-17,"GM","Germany","point",NA,6
