"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-07-02,"1 wk ahead inc case",2020-07-11,"GM","Germany","point",NA,2801
2020-07-02,"2 wk ahead inc case",2020-07-18,"GM","Germany","point",NA,2575
2020-07-02,"3 wk ahead inc case",2020-07-25,"GM","Germany","point",NA,2380
2020-07-02,"4 wk ahead inc case",2020-08-01,"GM","Germany","point",NA,2204
2020-07-02,"5 wk ahead inc case",2020-08-08,"GM","Germany","point",NA,2033
2020-07-02,"6 wk ahead inc case",2020-08-15,"GM","Germany","point",NA,1878
2020-07-02,"7 wk ahead inc case",2020-08-22,"GM","Germany","point",NA,1734
2020-07-02,"8 wk ahead inc case",2020-08-29,"GM","Germany","point",NA,1599
2020-07-02,"9 wk ahead inc case",2020-09-05,"GM","Germany","point",NA,1475
2020-07-02,"10 wk ahead inc case",2020-09-12,"GM","Germany","point",NA,1359
2020-07-02,"11 wk ahead inc case",2020-09-19,"GM","Germany","point",NA,1254
2020-07-02,"12 wk ahead inc case",2020-09-26,"GM","Germany","point",NA,1154
2020-07-02,"13 wk ahead inc case",2020-10-03,"GM","Germany","point",NA,1064
2020-07-02,"0 wk ahead cum case",2020-07-04,"GM","Germany","point",NA,197229
2020-07-02,"1 wk ahead cum case",2020-07-11,"GM","Germany","point",NA,200030
2020-07-02,"2 wk ahead cum case",2020-07-18,"GM","Germany","point",NA,202605
2020-07-02,"3 wk ahead cum case",2020-07-25,"GM","Germany","point",NA,204985
2020-07-02,"4 wk ahead cum case",2020-08-01,"GM","Germany","point",NA,207189
2020-07-02,"5 wk ahead cum case",2020-08-08,"GM","Germany","point",NA,209222
2020-07-02,"6 wk ahead cum case",2020-08-15,"GM","Germany","point",NA,211100
2020-07-02,"7 wk ahead cum case",2020-08-22,"GM","Germany","point",NA,212834
2020-07-02,"8 wk ahead cum case",2020-08-29,"GM","Germany","point",NA,214433
2020-07-02,"9 wk ahead cum case",2020-09-05,"GM","Germany","point",NA,215908
2020-07-02,"10 wk ahead cum case",2020-09-12,"GM","Germany","point",NA,217267
2020-07-02,"11 wk ahead cum case",2020-09-19,"GM","Germany","point",NA,218521
2020-07-02,"12 wk ahead cum case",2020-09-26,"GM","Germany","point",NA,219675
2020-07-02,"13 wk ahead cum case",2020-10-03,"GM","Germany","point",NA,220739
2020-07-02,"0 day ahead inc case",2020-07-02,"GM","Germany","observed",NA,452
2020-07-02,"1 day ahead inc case",2020-07-03,"GM","Germany","point",NA,446
2020-07-02,"2 day ahead inc case",2020-07-04,"GM","Germany","point",NA,438
2020-07-02,"3 day ahead inc case",2020-07-05,"GM","Germany","point",NA,426
2020-07-02,"4 day ahead inc case",2020-07-06,"GM","Germany","point",NA,414
2020-07-02,"5 day ahead inc case",2020-07-07,"GM","Germany","point",NA,408
2020-07-02,"6 day ahead inc case",2020-07-08,"GM","Germany","point",NA,400
2020-07-02,"7 day ahead inc case",2020-07-09,"GM","Germany","point",NA,391
2020-07-02,"8 day ahead inc case",2020-07-10,"GM","Germany","point",NA,383
2020-07-02,"9 day ahead inc case",2020-07-11,"GM","Germany","point",NA,379
2020-07-02,"10 day ahead inc case",2020-07-12,"GM","Germany","point",NA,375
2020-07-02,"11 day ahead inc case",2020-07-13,"GM","Germany","point",NA,372
2020-07-02,"12 day ahead inc case",2020-07-14,"GM","Germany","point",NA,369
2020-07-02,"13 day ahead inc case",2020-07-15,"GM","Germany","point",NA,369
2020-07-02,"14 day ahead inc case",2020-07-16,"GM","Germany","point",NA,369
2020-07-02,"15 day ahead inc case",2020-07-17,"GM","Germany","point",NA,363
2020-07-02,"16 day ahead inc case",2020-07-18,"GM","Germany","point",NA,358
2020-07-02,"17 day ahead inc case",2020-07-19,"GM","Germany","point",NA,353
2020-07-02,"18 day ahead inc case",2020-07-20,"GM","Germany","point",NA,348
2020-07-02,"19 day ahead inc case",2020-07-21,"GM","Germany","point",NA,344
2020-07-02,"20 day ahead inc case",2020-07-22,"GM","Germany","point",NA,340
2020-07-02,"21 day ahead inc case",2020-07-23,"GM","Germany","point",NA,335
2020-07-02,"22 day ahead inc case",2020-07-24,"GM","Germany","point",NA,332
2020-07-02,"23 day ahead inc case",2020-07-25,"GM","Germany","point",NA,328
2020-07-02,"24 day ahead inc case",2020-07-26,"GM","Germany","point",NA,325
2020-07-02,"25 day ahead inc case",2020-07-27,"GM","Germany","point",NA,322
2020-07-02,"26 day ahead inc case",2020-07-28,"GM","Germany","point",NA,318
2020-07-02,"27 day ahead inc case",2020-07-29,"GM","Germany","point",NA,315
2020-07-02,"28 day ahead inc case",2020-07-30,"GM","Germany","point",NA,312
2020-07-02,"29 day ahead inc case",2020-07-31,"GM","Germany","point",NA,308
2020-07-02,"30 day ahead inc case",2020-08-01,"GM","Germany","point",NA,304
2020-07-02,"31 day ahead inc case",2020-08-02,"GM","Germany","point",NA,300
2020-07-02,"32 day ahead inc case",2020-08-03,"GM","Germany","point",NA,297
2020-07-02,"33 day ahead inc case",2020-08-04,"GM","Germany","point",NA,294
