"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-07-31,"1 wk ahead inc death",2020-08-08,"PL","Poland","point",NA,71
2020-07-31,"2 wk ahead inc death",2020-08-15,"PL","Poland","point",NA,84
2020-07-31,"3 wk ahead inc death",2020-08-22,"PL","Poland","point",NA,98
2020-07-31,"4 wk ahead inc death",2020-08-29,"PL","Poland","point",NA,115
2020-07-31,"5 wk ahead inc death",2020-09-05,"PL","Poland","point",NA,134
2020-07-31,"6 wk ahead inc death",2020-09-12,"PL","Poland","point",NA,155
2020-07-31,"7 wk ahead inc death",2020-09-19,"PL","Poland","point",NA,179
2020-07-31,"8 wk ahead inc death",2020-09-26,"PL","Poland","point",NA,203
2020-07-31,"9 wk ahead inc death",2020-10-03,"PL","Poland","point",NA,230
2020-07-31,"10 wk ahead inc death",2020-10-10,"PL","Poland","point",NA,258
2020-07-31,"11 wk ahead inc death",2020-10-17,"PL","Poland","point",NA,286
2020-07-31,"12 wk ahead inc death",2020-10-24,"PL","Poland","point",NA,313
2020-07-31,"13 wk ahead inc death",2020-10-31,"PL","Poland","point",NA,338
2020-07-31,"14 wk ahead inc death",2020-11-07,"PL","Poland","point",NA,360
2020-07-31,"0 wk ahead cum death",2020-08-01,"PL","Poland","point",NA,1726
2020-07-31,"1 wk ahead cum death",2020-08-08,"PL","Poland","point",NA,1797
2020-07-31,"2 wk ahead cum death",2020-08-15,"PL","Poland","point",NA,1881
2020-07-31,"3 wk ahead cum death",2020-08-22,"PL","Poland","point",NA,1979
2020-07-31,"4 wk ahead cum death",2020-08-29,"PL","Poland","point",NA,2094
2020-07-31,"5 wk ahead cum death",2020-09-05,"PL","Poland","point",NA,2228
2020-07-31,"6 wk ahead cum death",2020-09-12,"PL","Poland","point",NA,2383
2020-07-31,"7 wk ahead cum death",2020-09-19,"PL","Poland","point",NA,2562
2020-07-31,"8 wk ahead cum death",2020-09-26,"PL","Poland","point",NA,2765
2020-07-31,"9 wk ahead cum death",2020-10-03,"PL","Poland","point",NA,2995
2020-07-31,"10 wk ahead cum death",2020-10-10,"PL","Poland","point",NA,3253
2020-07-31,"11 wk ahead cum death",2020-10-17,"PL","Poland","point",NA,3539
2020-07-31,"12 wk ahead cum death",2020-10-24,"PL","Poland","point",NA,3852
2020-07-31,"13 wk ahead cum death",2020-10-31,"PL","Poland","point",NA,4190
2020-07-31,"14 wk ahead cum death",2020-11-07,"PL","Poland","point",NA,4550
2020-07-31,"0 day ahead inc death",2020-07-31,"PL","Poland","observed",NA,9
2020-07-31,"1 day ahead inc death",2020-08-01,"PL","Poland","point",NA,8
2020-07-31,"2 day ahead inc death",2020-08-02,"PL","Poland","point",NA,10
2020-07-31,"3 day ahead inc death",2020-08-03,"PL","Poland","point",NA,9
2020-07-31,"4 day ahead inc death",2020-08-04,"PL","Poland","point",NA,10
2020-07-31,"5 day ahead inc death",2020-08-05,"PL","Poland","point",NA,10
2020-07-31,"6 day ahead inc death",2020-08-06,"PL","Poland","point",NA,10
2020-07-31,"7 day ahead inc death",2020-08-07,"PL","Poland","point",NA,11
2020-07-31,"8 day ahead inc death",2020-08-08,"PL","Poland","point",NA,11
2020-07-31,"9 day ahead inc death",2020-08-09,"PL","Poland","point",NA,11
2020-07-31,"10 day ahead inc death",2020-08-10,"PL","Poland","point",NA,12
2020-07-31,"11 day ahead inc death",2020-08-11,"PL","Poland","point",NA,11
2020-07-31,"12 day ahead inc death",2020-08-12,"PL","Poland","point",NA,12
2020-07-31,"13 day ahead inc death",2020-08-13,"PL","Poland","point",NA,12
2020-07-31,"14 day ahead inc death",2020-08-14,"PL","Poland","point",NA,13
