"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-24,"0 wk ahead inc death",2020-08-22,"GM","Germany","observed",NA,37
2020-08-24,"1 wk ahead inc death",2020-08-29,"GM","Germany","point",NA,32
2020-08-24,"2 wk ahead inc death",2020-09-05,"GM","Germany","point",NA,41
2020-08-24,"3 wk ahead inc death",2020-09-12,"GM","Germany","point",NA,45
2020-08-24,"4 wk ahead inc death",2020-09-19,"GM","Germany","point",NA,48
2020-08-24,"5 wk ahead inc death",2020-09-26,"GM","Germany","point",NA,50
2020-08-24,"6 wk ahead inc death",2020-10-03,"GM","Germany","point",NA,53
2020-08-24,"7 wk ahead inc death",2020-10-10,"GM","Germany","point",NA,56
2020-08-24,"8 wk ahead inc death",2020-10-17,"GM","Germany","point",NA,58
2020-08-24,"9 wk ahead inc death",2020-10-24,"GM","Germany","point",NA,62
2020-08-24,"10 wk ahead inc death",2020-10-31,"GM","Germany","point",NA,64
2020-08-24,"11 wk ahead inc death",2020-11-07,"GM","Germany","point",NA,66
2020-08-24,"12 wk ahead inc death",2020-11-14,"GM","Germany","point",NA,69
2020-08-24,"13 wk ahead inc death",2020-11-21,"GM","Germany","point",NA,70
2020-08-24,"14 wk ahead inc death",2020-11-28,"GM","Germany","point",NA,73
2020-08-24,"-1 wk ahead cum death",2020-08-15,"GM","Germany","observed",NA,9235
2020-08-24,"0 wk ahead cum death",2020-08-22,"GM","Germany","observed",NA,9272
2020-08-24,"1 wk ahead cum death",2020-08-29,"GM","Germany","point",NA,9304
2020-08-24,"2 wk ahead cum death",2020-09-05,"GM","Germany","point",NA,9345
2020-08-24,"3 wk ahead cum death",2020-09-12,"GM","Germany","point",NA,9390
2020-08-24,"4 wk ahead cum death",2020-09-19,"GM","Germany","point",NA,9438
2020-08-24,"5 wk ahead cum death",2020-09-26,"GM","Germany","point",NA,9488
2020-08-24,"6 wk ahead cum death",2020-10-03,"GM","Germany","point",NA,9541
2020-08-24,"7 wk ahead cum death",2020-10-10,"GM","Germany","point",NA,9597
2020-08-24,"8 wk ahead cum death",2020-10-17,"GM","Germany","point",NA,9655
2020-08-24,"9 wk ahead cum death",2020-10-24,"GM","Germany","point",NA,9717
2020-08-24,"10 wk ahead cum death",2020-10-31,"GM","Germany","point",NA,9781
2020-08-24,"11 wk ahead cum death",2020-11-07,"GM","Germany","point",NA,9847
2020-08-24,"12 wk ahead cum death",2020-11-14,"GM","Germany","point",NA,9916
2020-08-24,"13 wk ahead cum death",2020-11-21,"GM","Germany","point",NA,9986
2020-08-24,"14 wk ahead cum death",2020-11-28,"GM","Germany","point",NA,10059
2020-08-24,"-1 wk ahead inc death",2020-08-15,"GM01","GM01","observed",NA,1
2020-08-24,"0 wk ahead inc death",2020-08-22,"GM01","GM01","observed",NA,3
2020-08-24,"1 wk ahead inc death",2020-08-29,"GM01","GM01","point",NA,0
2020-08-24,"2 wk ahead inc death",2020-09-05,"GM01","GM01","point",NA,0
2020-08-24,"3 wk ahead inc death",2020-09-12,"GM01","GM01","point",NA,0
2020-08-24,"4 wk ahead inc death",2020-09-19,"GM01","GM01","point",NA,0
2020-08-24,"5 wk ahead inc death",2020-09-26,"GM01","GM01","point",NA,0
2020-08-24,"6 wk ahead inc death",2020-10-03,"GM01","GM01","point",NA,0
2020-08-24,"7 wk ahead inc death",2020-10-10,"GM01","GM01","point",NA,0
2020-08-24,"8 wk ahead inc death",2020-10-17,"GM01","GM01","point",NA,0
2020-08-24,"9 wk ahead inc death",2020-10-24,"GM01","GM01","point",NA,0
2020-08-24,"10 wk ahead inc death",2020-10-31,"GM01","GM01","point",NA,0
2020-08-24,"11 wk ahead inc death",2020-11-07,"GM01","GM01","point",NA,0
2020-08-24,"12 wk ahead inc death",2020-11-14,"GM01","GM01","point",NA,0
2020-08-24,"13 wk ahead inc death",2020-11-21,"GM01","GM01","point",NA,0
2020-08-24,"14 wk ahead inc death",2020-11-28,"GM01","GM01","point",NA,0
2020-08-24,"-1 wk ahead cum death",2020-08-15,"GM01","GM01","observed",NA,1859
2020-08-24,"0 wk ahead cum death",2020-08-22,"GM01","GM01","observed",NA,1862
2020-08-24,"1 wk ahead cum death",2020-08-29,"GM01","GM01","point",NA,1862
2020-08-24,"2 wk ahead cum death",2020-09-05,"GM01","GM01","point",NA,1862
2020-08-24,"3 wk ahead cum death",2020-09-12,"GM01","GM01","point",NA,1862
2020-08-24,"4 wk ahead cum death",2020-09-19,"GM01","GM01","point",NA,1862
2020-08-24,"5 wk ahead cum death",2020-09-26,"GM01","GM01","point",NA,1862
2020-08-24,"6 wk ahead cum death",2020-10-03,"GM01","GM01","point",NA,1862
2020-08-24,"7 wk ahead cum death",2020-10-10,"GM01","GM01","point",NA,1862
2020-08-24,"8 wk ahead cum death",2020-10-17,"GM01","GM01","point",NA,1862
2020-08-24,"9 wk ahead cum death",2020-10-24,"GM01","GM01","point",NA,1862
2020-08-24,"10 wk ahead cum death",2020-10-31,"GM01","GM01","point",NA,1862
2020-08-24,"11 wk ahead cum death",2020-11-07,"GM01","GM01","point",NA,1862
2020-08-24,"12 wk ahead cum death",2020-11-14,"GM01","GM01","point",NA,1862
2020-08-24,"13 wk ahead cum death",2020-11-21,"GM01","GM01","point",NA,1862
2020-08-24,"14 wk ahead cum death",2020-11-28,"GM01","GM01","point",NA,1862
2020-08-24,"0 wk ahead inc death",2020-08-22,"GM02","GM02","observed",NA,2
2020-08-24,"1 wk ahead inc death",2020-08-29,"GM02","GM02","point",NA,0
2020-08-24,"2 wk ahead inc death",2020-09-05,"GM02","GM02","point",NA,0
2020-08-24,"3 wk ahead inc death",2020-09-12,"GM02","GM02","point",NA,0
2020-08-24,"4 wk ahead inc death",2020-09-19,"GM02","GM02","point",NA,0
2020-08-24,"5 wk ahead inc death",2020-09-26,"GM02","GM02","point",NA,1
2020-08-24,"6 wk ahead inc death",2020-10-03,"GM02","GM02","point",NA,0
2020-08-24,"7 wk ahead inc death",2020-10-10,"GM02","GM02","point",NA,0
2020-08-24,"8 wk ahead inc death",2020-10-17,"GM02","GM02","point",NA,0
2020-08-24,"9 wk ahead inc death",2020-10-24,"GM02","GM02","point",NA,1
2020-08-24,"10 wk ahead inc death",2020-10-31,"GM02","GM02","point",NA,0
2020-08-24,"11 wk ahead inc death",2020-11-07,"GM02","GM02","point",NA,0
2020-08-24,"12 wk ahead inc death",2020-11-14,"GM02","GM02","point",NA,1
2020-08-24,"13 wk ahead inc death",2020-11-21,"GM02","GM02","point",NA,0
2020-08-24,"14 wk ahead inc death",2020-11-28,"GM02","GM02","point",NA,1
2020-08-24,"-1 wk ahead cum death",2020-08-15,"GM02","GM02","observed",NA,2631
2020-08-24,"0 wk ahead cum death",2020-08-22,"GM02","GM02","observed",NA,2633
2020-08-24,"1 wk ahead cum death",2020-08-29,"GM02","GM02","point",NA,2633
2020-08-24,"2 wk ahead cum death",2020-09-05,"GM02","GM02","point",NA,2633
2020-08-24,"3 wk ahead cum death",2020-09-12,"GM02","GM02","point",NA,2633
2020-08-24,"4 wk ahead cum death",2020-09-19,"GM02","GM02","point",NA,2633
2020-08-24,"5 wk ahead cum death",2020-09-26,"GM02","GM02","point",NA,2634
2020-08-24,"6 wk ahead cum death",2020-10-03,"GM02","GM02","point",NA,2634
2020-08-24,"7 wk ahead cum death",2020-10-10,"GM02","GM02","point",NA,2634
2020-08-24,"8 wk ahead cum death",2020-10-17,"GM02","GM02","point",NA,2634
2020-08-24,"9 wk ahead cum death",2020-10-24,"GM02","GM02","point",NA,2635
2020-08-24,"10 wk ahead cum death",2020-10-31,"GM02","GM02","point",NA,2635
2020-08-24,"11 wk ahead cum death",2020-11-07,"GM02","GM02","point",NA,2635
2020-08-24,"12 wk ahead cum death",2020-11-14,"GM02","GM02","point",NA,2636
2020-08-24,"13 wk ahead cum death",2020-11-21,"GM02","GM02","point",NA,2636
2020-08-24,"14 wk ahead cum death",2020-11-28,"GM02","GM02","point",NA,2637
2020-08-24,"0 wk ahead inc death",2020-08-22,"GM03","GM03","observed",NA,0
2020-08-24,"1 wk ahead inc death",2020-08-29,"GM03","GM03","point",NA,0
2020-08-24,"2 wk ahead inc death",2020-09-05,"GM03","GM03","point",NA,0
2020-08-24,"3 wk ahead inc death",2020-09-12,"GM03","GM03","point",NA,0
2020-08-24,"4 wk ahead inc death",2020-09-19,"GM03","GM03","point",NA,0
2020-08-24,"5 wk ahead inc death",2020-09-26,"GM03","GM03","point",NA,0
2020-08-24,"6 wk ahead inc death",2020-10-03,"GM03","GM03","point",NA,0
2020-08-24,"7 wk ahead inc death",2020-10-10,"GM03","GM03","point",NA,0
2020-08-24,"8 wk ahead inc death",2020-10-17,"GM03","GM03","point",NA,0
2020-08-24,"9 wk ahead inc death",2020-10-24,"GM03","GM03","point",NA,0
2020-08-24,"10 wk ahead inc death",2020-10-31,"GM03","GM03","point",NA,0
2020-08-24,"11 wk ahead inc death",2020-11-07,"GM03","GM03","point",NA,0
2020-08-24,"12 wk ahead inc death",2020-11-14,"GM03","GM03","point",NA,0
2020-08-24,"13 wk ahead inc death",2020-11-21,"GM03","GM03","point",NA,0
2020-08-24,"14 wk ahead inc death",2020-11-28,"GM03","GM03","point",NA,0
2020-08-24,"-1 wk ahead cum death",2020-08-15,"GM03","GM03","observed",NA,56
2020-08-24,"0 wk ahead cum death",2020-08-22,"GM03","GM03","observed",NA,56
2020-08-24,"1 wk ahead cum death",2020-08-29,"GM03","GM03","point",NA,56
2020-08-24,"2 wk ahead cum death",2020-09-05,"GM03","GM03","point",NA,56
2020-08-24,"3 wk ahead cum death",2020-09-12,"GM03","GM03","point",NA,56
2020-08-24,"4 wk ahead cum death",2020-09-19,"GM03","GM03","point",NA,56
2020-08-24,"5 wk ahead cum death",2020-09-26,"GM03","GM03","point",NA,56
2020-08-24,"6 wk ahead cum death",2020-10-03,"GM03","GM03","point",NA,56
2020-08-24,"7 wk ahead cum death",2020-10-10,"GM03","GM03","point",NA,56
2020-08-24,"8 wk ahead cum death",2020-10-17,"GM03","GM03","point",NA,56
2020-08-24,"9 wk ahead cum death",2020-10-24,"GM03","GM03","point",NA,56
2020-08-24,"10 wk ahead cum death",2020-10-31,"GM03","GM03","point",NA,56
2020-08-24,"11 wk ahead cum death",2020-11-07,"GM03","GM03","point",NA,56
2020-08-24,"12 wk ahead cum death",2020-11-14,"GM03","GM03","point",NA,56
2020-08-24,"13 wk ahead cum death",2020-11-21,"GM03","GM03","point",NA,56
