"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-09-19,"1 wk ahead inc case",2020-09-26,"PL","Poland","point",NA,3901
2020-09-19,"2 wk ahead inc case",2020-10-03,"PL","Poland","point",NA,3980
2020-09-19,"3 wk ahead inc case",2020-10-10,"PL","Poland","point",NA,3976
2020-09-19,"4 wk ahead inc case",2020-10-17,"PL","Poland","point",NA,3986
2020-09-19,"5 wk ahead inc case",2020-10-24,"PL","Poland","point",NA,3982
2020-09-19,"6 wk ahead inc case",2020-10-31,"PL","Poland","point",NA,3970
2020-09-19,"7 wk ahead inc case",2020-11-07,"PL","Poland","point",NA,3951
2020-09-19,"8 wk ahead inc case",2020-11-14,"PL","Poland","point",NA,3924
2020-09-19,"9 wk ahead inc case",2020-11-21,"PL","Poland","point",NA,3888
2020-09-19,"10 wk ahead inc case",2020-11-28,"PL","Poland","point",NA,3845
2020-09-19,"11 wk ahead inc case",2020-12-05,"PL","Poland","point",NA,3796
2020-09-19,"12 wk ahead inc case",2020-12-12,"PL","Poland","point",NA,3740
2020-09-19,"13 wk ahead inc case",2020-12-19,"PL","Poland","point",NA,3676
2020-09-19,"14 wk ahead inc case",2020-12-26,"PL","Poland","point",NA,3609
2020-09-19,"0 wk ahead cum case",2020-09-19,"PL","Poland","observed",NA,77878
2020-09-19,"1 wk ahead cum case",2020-09-26,"PL","Poland","point",NA,81779
2020-09-19,"2 wk ahead cum case",2020-10-03,"PL","Poland","point",NA,85759
2020-09-19,"3 wk ahead cum case",2020-10-10,"PL","Poland","point",NA,89735
2020-09-19,"4 wk ahead cum case",2020-10-17,"PL","Poland","point",NA,93721
2020-09-19,"5 wk ahead cum case",2020-10-24,"PL","Poland","point",NA,97703
2020-09-19,"6 wk ahead cum case",2020-10-31,"PL","Poland","point",NA,101673
2020-09-19,"7 wk ahead cum case",2020-11-07,"PL","Poland","point",NA,105624
2020-09-19,"8 wk ahead cum case",2020-11-14,"PL","Poland","point",NA,109548
2020-09-19,"9 wk ahead cum case",2020-11-21,"PL","Poland","point",NA,113436
2020-09-19,"10 wk ahead cum case",2020-11-28,"PL","Poland","point",NA,117281
2020-09-19,"11 wk ahead cum case",2020-12-05,"PL","Poland","point",NA,121077
2020-09-19,"12 wk ahead cum case",2020-12-12,"PL","Poland","point",NA,124817
2020-09-19,"13 wk ahead cum case",2020-12-19,"PL","Poland","point",NA,128493
2020-09-19,"14 wk ahead cum case",2020-12-26,"PL","Poland","point",NA,132102
2020-09-19,"0 day ahead inc case",2020-09-19,"PL","Poland","observed",NA,550
2020-09-19,"1 day ahead inc case",2020-09-20,"PL","Poland","point",NA,551
2020-09-19,"2 day ahead inc case",2020-09-21,"PL","Poland","point",NA,551
2020-09-19,"3 day ahead inc case",2020-09-22,"PL","Poland","point",NA,554
2020-09-19,"4 day ahead inc case",2020-09-23,"PL","Poland","point",NA,557
2020-09-19,"5 day ahead inc case",2020-09-24,"PL","Poland","point",NA,560
2020-09-19,"6 day ahead inc case",2020-09-25,"PL","Poland","point",NA,563
2020-09-19,"7 day ahead inc case",2020-09-26,"PL","Poland","point",NA,565
2020-09-19,"8 day ahead inc case",2020-09-27,"PL","Poland","point",NA,566
2020-09-19,"9 day ahead inc case",2020-09-28,"PL","Poland","point",NA,569
2020-09-19,"10 day ahead inc case",2020-09-29,"PL","Poland","point",NA,571
2020-09-19,"11 day ahead inc case",2020-09-30,"PL","Poland","point",NA,571
2020-09-19,"12 day ahead inc case",2020-10-01,"PL","Poland","point",NA,570
2020-09-19,"13 day ahead inc case",2020-10-02,"PL","Poland","point",NA,568
2020-09-19,"14 day ahead inc case",2020-10-03,"PL","Poland","point",NA,565
2020-09-19,"15 day ahead inc case",2020-10-04,"PL","Poland","point",NA,565
2020-09-19,"16 day ahead inc case",2020-10-05,"PL","Poland","point",NA,567
2020-09-19,"17 day ahead inc case",2020-10-06,"PL","Poland","point",NA,567
2020-09-19,"18 day ahead inc case",2020-10-07,"PL","Poland","point",NA,569
2020-09-19,"19 day ahead inc case",2020-10-08,"PL","Poland","point",NA,569
2020-09-19,"20 day ahead inc case",2020-10-09,"PL","Poland","point",NA,569
2020-09-19,"21 day ahead inc case",2020-10-10,"PL","Poland","point",NA,570
2020-09-19,"22 day ahead inc case",2020-10-11,"PL","Poland","point",NA,569
2020-09-19,"23 day ahead inc case",2020-10-12,"PL","Poland","point",NA,570
2020-09-19,"24 day ahead inc case",2020-10-13,"PL","Poland","point",NA,570
2020-09-19,"25 day ahead inc case",2020-10-14,"PL","Poland","point",NA,570
2020-09-19,"26 day ahead inc case",2020-10-15,"PL","Poland","point",NA,569
2020-09-19,"27 day ahead inc case",2020-10-16,"PL","Poland","point",NA,569
2020-09-19,"28 day ahead inc case",2020-10-17,"PL","Poland","point",NA,569
2020-09-19,"29 day ahead inc case",2020-10-18,"PL","Poland","point",NA,569
2020-09-19,"30 day ahead inc case",2020-10-19,"PL","Poland","point",NA,569
2020-09-19,"31 day ahead inc case",2020-10-20,"PL","Poland","point",NA,569
2020-09-19,"32 day ahead inc case",2020-10-21,"PL","Poland","point",NA,569
2020-09-19,"33 day ahead inc case",2020-10-22,"PL","Poland","point",NA,569
2020-09-19,"34 day ahead inc case",2020-10-23,"PL","Poland","point",NA,568
2020-09-19,"35 day ahead inc case",2020-10-24,"PL","Poland","point",NA,569
2020-09-19,"36 day ahead inc case",2020-10-25,"PL","Poland","point",NA,568
2020-09-19,"37 day ahead inc case",2020-10-26,"PL","Poland","point",NA,568
