forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,point,NA,335
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.01,137
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.025,158
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.05,230
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.1,276
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.15,287
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.2,307
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.25,312
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.3,321
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.35,327
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.4,333
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.45,335
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.5,335
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.55,343
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.6,345
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.65,349
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.7,350
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.75,351
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.8,353
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.85,359
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.9,361
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.95,382
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.975,431
2020-12-14,1 wk ahead inc death,2020-12-19,GM01,GM01,quantile,0.99,470
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,point,NA,3735
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.01,3537
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.025,3558
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.05,3630
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.1,3676
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.15,3687
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.2,3707
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.25,3712
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.3,3721
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.35,3727
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.4,3733
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.45,3735
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.5,3735
2020-12-14,1 wk ahead cum death,2020-12-19,GM01,GM01,quantile,0.55,3743
