forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,point,NA,2528
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.01,1197
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.025,1649
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.05,2003
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.1,2057
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.15,2126
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.2,2208
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.25,2259
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.3,2325
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.35,2376
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.4,2443
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.45,2485
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.5,2528
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.55,2559
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.6,2608
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.65,2667
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.7,2709
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.75,2839
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.8,2920
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.85,2979
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.9,3087
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.95,3219
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.975,3378
2021-01-24,1 wk ahead inc case,2021-01-30,PL72,PL72,quantile,0.99,3531
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,point,NA,99571
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.01,98240
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.025,98692
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.05,99046
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.1,99100
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.15,99169
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.2,99251
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.25,99302
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.3,99368
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.35,99419
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.4,99486
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.45,99528
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.5,99571
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.55,99602
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.6,99651
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.65,99710
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.7,99752
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.75,99882
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.8,99963
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.85,100022
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.9,100130
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.95,100262
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.975,100421
2021-01-24,1 wk ahead cum case,2021-01-30,PL72,PL72,quantile,0.99,100574
2021-01-24,2 wk ahead inc case,2021-02-06,PL72,PL72,point,NA,2319
2021-01-24,2 wk ahead inc case,2021-02-06,PL72,PL72,quantile,0.01,946
2021-01-24,2 wk ahead inc case,2021-02-06,PL72,PL72,quantile,0.025,1466
2021-01-24,2 wk ahead inc case,2021-02-06,PL72,PL72,quantile,0.05,1803
2021-01-24,2 wk ahead inc case,2021-02-06,PL72,PL72,quantile,0.1,1885
