forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,point,NA,9730
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.01,7500
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.025,7781
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.05,8188
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.1,8398
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.15,8407
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.2,8426
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.25,8544
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.3,8803
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.35,8824
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.4,9484
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.45,9702
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.5,9730
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.55,9759
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.6,9803
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.65,10066
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.7,10095
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.75,10172
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.8,10429
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.85,10674
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.9,10971
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.95,11876
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.975,12490
2021-01-31,1 wk ahead inc case,2021-02-06,GM01,GM01,quantile,0.99,13118
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,point,NA,301548
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.01,299318
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.025,299599
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.05,300006
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.1,300216
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.15,300225
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.2,300244
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.25,300362
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.3,300621
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.35,300642
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.4,301302
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.45,301520
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.5,301548
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.55,301577
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.6,301621
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.65,301884
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.7,301913
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.75,301990
2021-01-31,1 wk ahead cum case,2021-02-06,GM01,GM01,quantile,0.8,302247
