forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,point,NA,99
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.01,60
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.025,67
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.05,73
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.1,80
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.15,84
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.2,85
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.25,86
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.3,87
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.35,88
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.4,91
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.45,97
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.5,99
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.55,99
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.6,101
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.65,104
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.7,108
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.75,111
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.8,117
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.85,128
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.9,129
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.95,144
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.975,169
2021-03-08,1 wk ahead inc death,2021-03-13,PL72,PL72,quantile,0.99,193
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,point,NA,2920
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.01,2881
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.025,2888
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.05,2894
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.1,2901
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.15,2905
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.2,2906
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.25,2907
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.3,2908
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.35,2909
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.4,2912
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.45,2918
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.5,2920
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.55,2920
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.6,2922
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.65,2925
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.7,2929
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.75,2932
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.8,2938
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.85,2949
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.9,2950
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.95,2965
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.975,2990
2021-03-08,1 wk ahead cum death,2021-03-13,PL72,PL72,quantile,0.99,3014
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,point,NA,147
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.01,20
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.025,80
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.05,104
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.1,112
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.15,121
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.2,122
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.25,125
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.3,130
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.35,138
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.4,140
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.45,141
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.5,147
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.55,148
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.6,151
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.65,160
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.7,169
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.75,181
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.8,191
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.85,195
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.9,212
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.95,245
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.975,253
2021-03-08,2 wk ahead inc death,2021-03-20,PL72,PL72,quantile,0.99,295
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,point,NA,3067
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.01,2940
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.025,3000
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.05,3024
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.1,3032
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.15,3041
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.2,3042
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.25,3045
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.3,3050
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.35,3058
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.4,3060
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.45,3061
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.5,3067
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.55,3068
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.6,3071
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.65,3080
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.7,3089
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.75,3101
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.8,3111
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.85,3115
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.9,3132
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.95,3165
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.975,3173
2021-03-08,2 wk ahead cum death,2021-03-20,PL72,PL72,quantile,0.99,3215
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,point,NA,167
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.01,47
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.025,86
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.05,103
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.1,121
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.15,127
2021-03-08,3 wk ahead inc death,2021-03-27,PL72,PL72,quantile,0.2,134
