"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-04-08,"-1 day ahead inc death",2020-04-07,"PL","Poland","observed",NA,22
2020-04-08,"0 day ahead inc death",2020-04-08,"PL","Poland","observed",NA,30
2020-04-08,"-1 day ahead cum death",2020-04-07,"PL","Poland","observed",NA,129
2020-04-08,"0 day ahead cum death",2020-04-08,"PL","Poland","observed",NA,159
2020-04-08,"1 day ahead inc death",2020-04-09,"PL","Poland","point",NA,27
2020-04-08,"2 day ahead inc death",2020-04-10,"PL","Poland","point",NA,29
2020-04-08,"3 day ahead inc death",2020-04-11,"PL","Poland","point",NA,31
2020-04-08,"4 day ahead inc death",2020-04-12,"PL","Poland","point",NA,32
2020-04-08,"5 day ahead inc death",2020-04-13,"PL","Poland","point",NA,34
2020-04-08,"6 day ahead inc death",2020-04-14,"PL","Poland","point",NA,35
2020-04-08,"7 day ahead inc death",2020-04-15,"PL","Poland","point",NA,36
2020-04-08,"8 day ahead inc death",2020-04-16,"PL","Poland","point",NA,36
2020-04-08,"9 day ahead inc death",2020-04-17,"PL","Poland","point",NA,36
2020-04-08,"10 day ahead inc death",2020-04-18,"PL","Poland","point",NA,36
2020-04-08,"11 day ahead inc death",2020-04-19,"PL","Poland","point",NA,35
2020-04-08,"12 day ahead inc death",2020-04-20,"PL","Poland","point",NA,34
2020-04-08,"13 day ahead inc death",2020-04-21,"PL","Poland","point",NA,33
2020-04-08,"14 day ahead inc death",2020-04-22,"PL","Poland","point",NA,31
2020-04-08,"15 day ahead inc death",2020-04-23,"PL","Poland","point",NA,30
2020-04-08,"16 day ahead inc death",2020-04-24,"PL","Poland","point",NA,28
2020-04-08,"17 day ahead inc death",2020-04-25,"PL","Poland","point",NA,26
2020-04-08,"18 day ahead inc death",2020-04-26,"PL","Poland","point",NA,24
2020-04-08,"19 day ahead inc death",2020-04-27,"PL","Poland","point",NA,23
2020-04-08,"20 day ahead inc death",2020-04-28,"PL","Poland","point",NA,21
2020-04-08,"21 day ahead inc death",2020-04-29,"PL","Poland","point",NA,19
2020-04-08,"22 day ahead inc death",2020-04-30,"PL","Poland","point",NA,18
2020-04-08,"23 day ahead inc death",2020-05-01,"PL","Poland","point",NA,17
2020-04-08,"24 day ahead inc death",2020-05-02,"PL","Poland","point",NA,15
2020-04-08,"25 day ahead inc death",2020-05-03,"PL","Poland","point",NA,14
2020-04-08,"26 day ahead inc death",2020-05-04,"PL","Poland","point",NA,13
2020-04-08,"27 day ahead inc death",2020-05-05,"PL","Poland","point",NA,12
2020-04-08,"28 day ahead inc death",2020-05-06,"PL","Poland","point",NA,11
2020-04-08,"29 day ahead inc death",2020-05-07,"PL","Poland","point",NA,10
2020-04-08,"30 day ahead inc death",2020-05-08,"PL","Poland","point",NA,9
2020-04-08,"31 day ahead inc death",2020-05-09,"PL","Poland","point",NA,8
2020-04-08,"32 day ahead inc death",2020-05-10,"PL","Poland","point",NA,8
2020-04-08,"33 day ahead inc death",2020-05-11,"PL","Poland","point",NA,7
2020-04-08,"34 day ahead inc death",2020-05-12,"PL","Poland","point",NA,7
2020-04-08,"35 day ahead inc death",2020-05-13,"PL","Poland","point",NA,6
2020-04-08,"36 day ahead inc death",2020-05-14,"PL","Poland","point",NA,6
2020-04-08,"37 day ahead inc death",2020-05-15,"PL","Poland","point",NA,5
2020-04-08,"38 day ahead inc death",2020-05-16,"PL","Poland","point",NA,5
2020-04-08,"39 day ahead inc death",2020-05-17,"PL","Poland","point",NA,4
2020-04-08,"40 day ahead inc death",2020-05-18,"PL","Poland","point",NA,4
2020-04-08,"41 day ahead inc death",2020-05-19,"PL","Poland","point",NA,4
2020-04-08,"42 day ahead inc death",2020-05-20,"PL","Poland","point",NA,4
2020-04-08,"43 day ahead inc death",2020-05-21,"PL","Poland","point",NA,3
2020-04-08,"44 day ahead inc death",2020-05-22,"PL","Poland","point",NA,3
2020-04-08,"45 day ahead inc death",2020-05-23,"PL","Poland","point",NA,3
2020-04-08,"46 day ahead inc death",2020-05-24,"PL","Poland","point",NA,3
2020-04-08,"47 day ahead inc death",2020-05-25,"PL","Poland","point",NA,2
2020-04-08,"48 day ahead inc death",2020-05-26,"PL","Poland","point",NA,2
2020-04-08,"49 day ahead inc death",2020-05-27,"PL","Poland","point",NA,2
2020-04-08,"50 day ahead inc death",2020-05-28,"PL","Poland","point",NA,2
2020-04-08,"51 day ahead inc death",2020-05-29,"PL","Poland","point",NA,2
2020-04-08,"52 day ahead inc death",2020-05-30,"PL","Poland","point",NA,2
2020-04-08,"53 day ahead inc death",2020-05-31,"PL","Poland","point",NA,2
2020-04-08,"54 day ahead inc death",2020-06-01,"PL","Poland","point",NA,1
2020-04-08,"55 day ahead inc death",2020-06-02,"PL","Poland","point",NA,1
2020-04-08,"56 day ahead inc death",2020-06-03,"PL","Poland","point",NA,1
2020-04-08,"57 day ahead inc death",2020-06-04,"PL","Poland","point",NA,1
2020-04-08,"58 day ahead inc death",2020-06-05,"PL","Poland","point",NA,1
2020-04-08,"59 day ahead inc death",2020-06-06,"PL","Poland","point",NA,1
2020-04-08,"60 day ahead inc death",2020-06-07,"PL","Poland","point",NA,1
2020-04-08,"61 day ahead inc death",2020-06-08,"PL","Poland","point",NA,1
2020-04-08,"62 day ahead inc death",2020-06-09,"PL","Poland","point",NA,1
2020-04-08,"63 day ahead inc death",2020-06-10,"PL","Poland","point",NA,1
2020-04-08,"64 day ahead inc death",2020-06-11,"PL","Poland","point",NA,1
2020-04-08,"65 day ahead inc death",2020-06-12,"PL","Poland","point",NA,1
2020-04-08,"66 day ahead inc death",2020-06-13,"PL","Poland","point",NA,0
2020-04-08,"67 day ahead inc death",2020-06-14,"PL","Poland","point",NA,0
2020-04-08,"68 day ahead inc death",2020-06-15,"PL","Poland","point",NA,0
2020-04-08,"69 day ahead inc death",2020-06-16,"PL","Poland","point",NA,0
2020-04-08,"70 day ahead inc death",2020-06-17,"PL","Poland","point",NA,0
2020-04-08,"71 day ahead inc death",2020-06-18,"PL","Poland","point",NA,0
2020-04-08,"72 day ahead inc death",2020-06-19,"PL","Poland","point",NA,0
2020-04-08,"73 day ahead inc death",2020-06-20,"PL","Poland","point",NA,0
2020-04-08,"74 day ahead inc death",2020-06-21,"PL","Poland","point",NA,0
2020-04-08,"75 day ahead inc death",2020-06-22,"PL","Poland","point",NA,0
2020-04-08,"76 day ahead inc death",2020-06-23,"PL","Poland","point",NA,0
2020-04-08,"77 day ahead inc death",2020-06-24,"PL","Poland","point",NA,0
2020-04-08,"78 day ahead inc death",2020-06-25,"PL","Poland","point",NA,0
2020-04-08,"79 day ahead inc death",2020-06-26,"PL","Poland","point",NA,0
2020-04-08,"80 day ahead inc death",2020-06-27,"PL","Poland","point",NA,0
2020-04-08,"81 day ahead inc death",2020-06-28,"PL","Poland","point",NA,0
2020-04-08,"82 day ahead inc death",2020-06-29,"PL","Poland","point",NA,0
2020-04-08,"83 day ahead inc death",2020-06-30,"PL","Poland","point",NA,0
2020-04-08,"1 day ahead cum death",2020-04-09,"PL","Poland","point",NA,186
2020-04-08,"2 day ahead cum death",2020-04-10,"PL","Poland","point",NA,215
2020-04-08,"3 day ahead cum death",2020-04-11,"PL","Poland","point",NA,246
2020-04-08,"4 day ahead cum death",2020-04-12,"PL","Poland","point",NA,278
2020-04-08,"5 day ahead cum death",2020-04-13,"PL","Poland","point",NA,312
2020-04-08,"6 day ahead cum death",2020-04-14,"PL","Poland","point",NA,347
2020-04-08,"7 day ahead cum death",2020-04-15,"PL","Poland","point",NA,383
2020-04-08,"8 day ahead cum death",2020-04-16,"PL","Poland","point",NA,419
2020-04-08,"9 day ahead cum death",2020-04-17,"PL","Poland","point",NA,455
2020-04-08,"10 day ahead cum death",2020-04-18,"PL","Poland","point",NA,491
2020-04-08,"11 day ahead cum death",2020-04-19,"PL","Poland","point",NA,526
2020-04-08,"12 day ahead cum death",2020-04-20,"PL","Poland","point",NA,561
2020-04-08,"13 day ahead cum death",2020-04-21,"PL","Poland","point",NA,594
2020-04-08,"14 day ahead cum death",2020-04-22,"PL","Poland","point",NA,625
2020-04-08,"15 day ahead cum death",2020-04-23,"PL","Poland","point",NA,655
2020-04-08,"16 day ahead cum death",2020-04-24,"PL","Poland","point",NA,683
2020-04-08,"17 day ahead cum death",2020-04-25,"PL","Poland","point",NA,709
2020-04-08,"18 day ahead cum death",2020-04-26,"PL","Poland","point",NA,734
2020-04-08,"19 day ahead cum death",2020-04-27,"PL","Poland","point",NA,756
2020-04-08,"20 day ahead cum death",2020-04-28,"PL","Poland","point",NA,777
2020-04-08,"21 day ahead cum death",2020-04-29,"PL","Poland","point",NA,797
2020-04-08,"22 day ahead cum death",2020-04-30,"PL","Poland","point",NA,815
2020-04-08,"23 day ahead cum death",2020-05-01,"PL","Poland","point",NA,831
2020-04-08,"24 day ahead cum death",2020-05-02,"PL","Poland","point",NA,846
2020-04-08,"25 day ahead cum death",2020-05-03,"PL","Poland","point",NA,860
2020-04-08,"26 day ahead cum death",2020-05-04,"PL","Poland","point",NA,873
2020-04-08,"27 day ahead cum death",2020-05-05,"PL","Poland","point",NA,885
2020-04-08,"28 day ahead cum death",2020-05-06,"PL","Poland","point",NA,896
2020-04-08,"29 day ahead cum death",2020-05-07,"PL","Poland","point",NA,906
2020-04-08,"30 day ahead cum death",2020-05-08,"PL","Poland","point",NA,915
2020-04-08,"31 day ahead cum death",2020-05-09,"PL","Poland","point",NA,924
2020-04-08,"32 day ahead cum death",2020-05-10,"PL","Poland","point",NA,931
2020-04-08,"33 day ahead cum death",2020-05-11,"PL","Poland","point",NA,939
2020-04-08,"34 day ahead cum death",2020-05-12,"PL","Poland","point",NA,945
2020-04-08,"35 day ahead cum death",2020-05-13,"PL","Poland","point",NA,951
2020-04-08,"36 day ahead cum death",2020-05-14,"PL","Poland","point",NA,957
2020-04-08,"37 day ahead cum death",2020-05-15,"PL","Poland","point",NA,962
2020-04-08,"38 day ahead cum death",2020-05-16,"PL","Poland","point",NA,967
2020-04-08,"39 day ahead cum death",2020-05-17,"PL","Poland","point",NA,972
2020-04-08,"40 day ahead cum death",2020-05-18,"PL","Poland","point",NA,976
2020-04-08,"41 day ahead cum death",2020-05-19,"PL","Poland","point",NA,980
2020-04-08,"42 day ahead cum death",2020-05-20,"PL","Poland","point",NA,983
2020-04-08,"43 day ahead cum death",2020-05-21,"PL","Poland","point",NA,987
2020-04-08,"44 day ahead cum death",2020-05-22,"PL","Poland","point",NA,990
2020-04-08,"45 day ahead cum death",2020-05-23,"PL","Poland","point",NA,993
2020-04-08,"46 day ahead cum death",2020-05-24,"PL","Poland","point",NA,995
2020-04-08,"47 day ahead cum death",2020-05-25,"PL","Poland","point",NA,998
2020-04-08,"48 day ahead cum death",2020-05-26,"PL","Poland","point",NA,1000
2020-04-08,"49 day ahead cum death",2020-05-27,"PL","Poland","point",NA,1002
2020-04-08,"50 day ahead cum death",2020-05-28,"PL","Poland","point",NA,1004
2020-04-08,"51 day ahead cum death",2020-05-29,"PL","Poland","point",NA,1006
2020-04-08,"52 day ahead cum death",2020-05-30,"PL","Poland","point",NA,1007
2020-04-08,"53 day ahead cum death",2020-05-31,"PL","Poland","point",NA,1009
2020-04-08,"54 day ahead cum death",2020-06-01,"PL","Poland","point",NA,1010
2020-04-08,"55 day ahead cum death",2020-06-02,"PL","Poland","point",NA,1012
2020-04-08,"56 day ahead cum death",2020-06-03,"PL","Poland","point",NA,1013
2020-04-08,"57 day ahead cum death",2020-06-04,"PL","Poland","point",NA,1014
2020-04-08,"58 day ahead cum death",2020-06-05,"PL","Poland","point",NA,1015
2020-04-08,"59 day ahead cum death",2020-06-06,"PL","Poland","point",NA,1016
2020-04-08,"60 day ahead cum death",2020-06-07,"PL","Poland","point",NA,1017
2020-04-08,"61 day ahead cum death",2020-06-08,"PL","Poland","point",NA,1017
2020-04-08,"62 day ahead cum death",2020-06-09,"PL","Poland","point",NA,1018
2020-04-08,"63 day ahead cum death",2020-06-10,"PL","Poland","point",NA,1019
2020-04-08,"64 day ahead cum death",2020-06-11,"PL","Poland","point",NA,1019
2020-04-08,"65 day ahead cum death",2020-06-12,"PL","Poland","point",NA,1020
2020-04-08,"66 day ahead cum death",2020-06-13,"PL","Poland","point",NA,1020
2020-04-08,"67 day ahead cum death",2020-06-14,"PL","Poland","point",NA,1021
2020-04-08,"68 day ahead cum death",2020-06-15,"PL","Poland","point",NA,1021
2020-04-08,"69 day ahead cum death",2020-06-16,"PL","Poland","point",NA,1021
2020-04-08,"70 day ahead cum death",2020-06-17,"PL","Poland","point",NA,1022
2020-04-08,"71 day ahead cum death",2020-06-18,"PL","Poland","point",NA,1022
2020-04-08,"72 day ahead cum death",2020-06-19,"PL","Poland","point",NA,1022
2020-04-08,"73 day ahead cum death",2020-06-20,"PL","Poland","point",NA,1022
2020-04-08,"74 day ahead cum death",2020-06-21,"PL","Poland","point",NA,1023
2020-04-08,"75 day ahead cum death",2020-06-22,"PL","Poland","point",NA,1023
2020-04-08,"76 day ahead cum death",2020-06-23,"PL","Poland","point",NA,1023
2020-04-08,"77 day ahead cum death",2020-06-24,"PL","Poland","point",NA,1023
2020-04-08,"78 day ahead cum death",2020-06-25,"PL","Poland","point",NA,1023
2020-04-08,"79 day ahead cum death",2020-06-26,"PL","Poland","point",NA,1023
2020-04-08,"80 day ahead cum death",2020-06-27,"PL","Poland","point",NA,1023
2020-04-08,"81 day ahead cum death",2020-06-28,"PL","Poland","point",NA,1023
2020-04-08,"82 day ahead cum death",2020-06-29,"PL","Poland","point",NA,1023
2020-04-08,"83 day ahead cum death",2020-06-30,"PL","Poland","point",NA,1023
2020-04-08,"1 day ahead inc death",2020-04-09,"PL","Poland","quantile",0.025,17
2020-04-08,"2 day ahead inc death",2020-04-10,"PL","Poland","quantile",0.025,18
2020-04-08,"3 day ahead inc death",2020-04-11,"PL","Poland","quantile",0.025,18
2020-04-08,"4 day ahead inc death",2020-04-12,"PL","Poland","quantile",0.025,17
2020-04-08,"5 day ahead inc death",2020-04-13,"PL","Poland","quantile",0.025,17
