"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-04-18,"-1 day ahead inc death",2020-04-17,"GM","Germany","observed",NA,300
2020-04-18,"0 day ahead inc death",2020-04-18,"GM","Germany","observed",NA,107
2020-04-18,"-1 day ahead cum death",2020-04-17,"GM","Germany","observed",NA,4352
2020-04-18,"0 day ahead cum death",2020-04-18,"GM","Germany","observed",NA,4459
2020-04-18,"1 day ahead inc death",2020-04-19,"GM","Germany","point",NA,198
2020-04-18,"2 day ahead inc death",2020-04-20,"GM","Germany","point",NA,196
2020-04-18,"3 day ahead inc death",2020-04-21,"GM","Germany","point",NA,193
2020-04-18,"4 day ahead inc death",2020-04-22,"GM","Germany","point",NA,191
2020-04-18,"5 day ahead inc death",2020-04-23,"GM","Germany","point",NA,189
2020-04-18,"6 day ahead inc death",2020-04-24,"GM","Germany","point",NA,187
2020-04-18,"7 day ahead inc death",2020-04-25,"GM","Germany","point",NA,185
2020-04-18,"8 day ahead inc death",2020-04-26,"GM","Germany","point",NA,182
2020-04-18,"9 day ahead inc death",2020-04-27,"GM","Germany","point",NA,180
2020-04-18,"10 day ahead inc death",2020-04-28,"GM","Germany","point",NA,178
2020-04-18,"11 day ahead inc death",2020-04-29,"GM","Germany","point",NA,176
2020-04-18,"12 day ahead inc death",2020-04-30,"GM","Germany","point",NA,174
2020-04-18,"13 day ahead inc death",2020-05-01,"GM","Germany","point",NA,172
2020-04-18,"14 day ahead inc death",2020-05-02,"GM","Germany","point",NA,170
2020-04-18,"15 day ahead inc death",2020-05-03,"GM","Germany","point",NA,168
2020-04-18,"16 day ahead inc death",2020-05-04,"GM","Germany","point",NA,167
2020-04-18,"17 day ahead inc death",2020-05-05,"GM","Germany","point",NA,165
2020-04-18,"18 day ahead inc death",2020-05-06,"GM","Germany","point",NA,163
2020-04-18,"19 day ahead inc death",2020-05-07,"GM","Germany","point",NA,161
2020-04-18,"20 day ahead inc death",2020-05-08,"GM","Germany","point",NA,159
2020-04-18,"21 day ahead inc death",2020-05-09,"GM","Germany","point",NA,158
2020-04-18,"22 day ahead inc death",2020-05-10,"GM","Germany","point",NA,156
2020-04-18,"23 day ahead inc death",2020-05-11,"GM","Germany","point",NA,154
2020-04-18,"24 day ahead inc death",2020-05-12,"GM","Germany","point",NA,152
2020-04-18,"25 day ahead inc death",2020-05-13,"GM","Germany","point",NA,151
2020-04-18,"26 day ahead inc death",2020-05-14,"GM","Germany","point",NA,149
2020-04-18,"27 day ahead inc death",2020-05-15,"GM","Germany","point",NA,147
2020-04-18,"28 day ahead inc death",2020-05-16,"GM","Germany","point",NA,146
2020-04-18,"29 day ahead inc death",2020-05-17,"GM","Germany","point",NA,144
2020-04-18,"30 day ahead inc death",2020-05-18,"GM","Germany","point",NA,143
2020-04-18,"31 day ahead inc death",2020-05-19,"GM","Germany","point",NA,141
2020-04-18,"32 day ahead inc death",2020-05-20,"GM","Germany","point",NA,140
2020-04-18,"33 day ahead inc death",2020-05-21,"GM","Germany","point",NA,138
2020-04-18,"34 day ahead inc death",2020-05-22,"GM","Germany","point",NA,137
2020-04-18,"35 day ahead inc death",2020-05-23,"GM","Germany","point",NA,135
2020-04-18,"36 day ahead inc death",2020-05-24,"GM","Germany","point",NA,134
2020-04-18,"37 day ahead inc death",2020-05-25,"GM","Germany","point",NA,132
2020-04-18,"38 day ahead inc death",2020-05-26,"GM","Germany","point",NA,131
2020-04-18,"39 day ahead inc death",2020-05-27,"GM","Germany","point",NA,130
2020-04-18,"40 day ahead inc death",2020-05-28,"GM","Germany","point",NA,128
2020-04-18,"41 day ahead inc death",2020-05-29,"GM","Germany","point",NA,127
2020-04-18,"42 day ahead inc death",2020-05-30,"GM","Germany","point",NA,125
2020-04-18,"43 day ahead inc death",2020-05-31,"GM","Germany","point",NA,124
2020-04-18,"44 day ahead inc death",2020-06-01,"GM","Germany","point",NA,123
2020-04-18,"45 day ahead inc death",2020-06-02,"GM","Germany","point",NA,121
2020-04-18,"46 day ahead inc death",2020-06-03,"GM","Germany","point",NA,120
2020-04-18,"47 day ahead inc death",2020-06-04,"GM","Germany","point",NA,119
2020-04-18,"48 day ahead inc death",2020-06-05,"GM","Germany","point",NA,118
2020-04-18,"49 day ahead inc death",2020-06-06,"GM","Germany","point",NA,116
2020-04-18,"50 day ahead inc death",2020-06-07,"GM","Germany","point",NA,115
2020-04-18,"51 day ahead inc death",2020-06-08,"GM","Germany","point",NA,114
2020-04-18,"52 day ahead inc death",2020-06-09,"GM","Germany","point",NA,113
2020-04-18,"53 day ahead inc death",2020-06-10,"GM","Germany","point",NA,111
2020-04-18,"54 day ahead inc death",2020-06-11,"GM","Germany","point",NA,110
2020-04-18,"55 day ahead inc death",2020-06-12,"GM","Germany","point",NA,109
2020-04-18,"56 day ahead inc death",2020-06-13,"GM","Germany","point",NA,108
2020-04-18,"57 day ahead inc death",2020-06-14,"GM","Germany","point",NA,107
2020-04-18,"58 day ahead inc death",2020-06-15,"GM","Germany","point",NA,106
2020-04-18,"59 day ahead inc death",2020-06-16,"GM","Germany","point",NA,104
2020-04-18,"60 day ahead inc death",2020-06-17,"GM","Germany","point",NA,103
2020-04-18,"61 day ahead inc death",2020-06-18,"GM","Germany","point",NA,102
2020-04-18,"62 day ahead inc death",2020-06-19,"GM","Germany","point",NA,101
2020-04-18,"63 day ahead inc death",2020-06-20,"GM","Germany","point",NA,101
2020-04-18,"64 day ahead inc death",2020-06-21,"GM","Germany","point",NA,100
2020-04-18,"65 day ahead inc death",2020-06-22,"GM","Germany","point",NA,100
2020-04-18,"66 day ahead inc death",2020-06-23,"GM","Germany","point",NA,100
2020-04-18,"67 day ahead inc death",2020-06-24,"GM","Germany","point",NA,100
2020-04-18,"68 day ahead inc death",2020-06-25,"GM","Germany","point",NA,100
2020-04-18,"69 day ahead inc death",2020-06-26,"GM","Germany","point",NA,101
2020-04-18,"70 day ahead inc death",2020-06-27,"GM","Germany","point",NA,101
2020-04-18,"71 day ahead inc death",2020-06-28,"GM","Germany","point",NA,102
2020-04-18,"72 day ahead inc death",2020-06-29,"GM","Germany","point",NA,102
2020-04-18,"73 day ahead inc death",2020-06-30,"GM","Germany","point",NA,103
2020-04-18,"74 day ahead inc death",2020-07-01,"GM","Germany","point",NA,104
2020-04-18,"75 day ahead inc death",2020-07-02,"GM","Germany","point",NA,105
2020-04-18,"76 day ahead inc death",2020-07-03,"GM","Germany","point",NA,106
2020-04-18,"77 day ahead inc death",2020-07-04,"GM","Germany","point",NA,107
2020-04-18,"78 day ahead inc death",2020-07-05,"GM","Germany","point",NA,108
2020-04-18,"79 day ahead inc death",2020-07-06,"GM","Germany","point",NA,109
2020-04-18,"80 day ahead inc death",2020-07-07,"GM","Germany","point",NA,110
2020-04-18,"81 day ahead inc death",2020-07-08,"GM","Germany","point",NA,112
2020-04-18,"82 day ahead inc death",2020-07-09,"GM","Germany","point",NA,113
2020-04-18,"83 day ahead inc death",2020-07-10,"GM","Germany","point",NA,115
2020-04-18,"84 day ahead inc death",2020-07-11,"GM","Germany","point",NA,117
2020-04-18,"85 day ahead inc death",2020-07-12,"GM","Germany","point",NA,118
2020-04-18,"86 day ahead inc death",2020-07-13,"GM","Germany","point",NA,120
2020-04-18,"87 day ahead inc death",2020-07-14,"GM","Germany","point",NA,122
2020-04-18,"88 day ahead inc death",2020-07-15,"GM","Germany","point",NA,125
2020-04-18,"89 day ahead inc death",2020-07-16,"GM","Germany","point",NA,127
2020-04-18,"90 day ahead inc death",2020-07-17,"GM","Germany","point",NA,129
2020-04-18,"91 day ahead inc death",2020-07-18,"GM","Germany","point",NA,132
2020-04-18,"92 day ahead inc death",2020-07-19,"GM","Germany","point",NA,134
2020-04-18,"93 day ahead inc death",2020-07-20,"GM","Germany","point",NA,137
2020-04-18,"94 day ahead inc death",2020-07-21,"GM","Germany","point",NA,140
2020-04-18,"95 day ahead inc death",2020-07-22,"GM","Germany","point",NA,143
