"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-06-14,"1 day ahead inc case",2020-06-15,"PL","Poland","point",NA,2628
2020-06-14,"2 day ahead inc case",2020-06-16,"PL","Poland","point",NA,2669
2020-06-14,"3 day ahead inc case",2020-06-17,"PL","Poland","point",NA,2712
2020-06-14,"4 day ahead inc case",2020-06-18,"PL","Poland","point",NA,2755
2020-06-14,"5 day ahead inc case",2020-06-19,"PL","Poland","point",NA,2800
2020-06-14,"6 day ahead inc case",2020-06-20,"PL","Poland","point",NA,2845
2020-06-14,"7 day ahead inc case",2020-06-21,"PL","Poland","point",NA,2892
2020-06-14,"8 day ahead inc case",2020-06-22,"PL","Poland","point",NA,2940
2020-06-14,"9 day ahead inc case",2020-06-23,"PL","Poland","point",NA,2988
2020-06-14,"10 day ahead inc case",2020-06-24,"PL","Poland","point",NA,3039
2020-06-14,"11 day ahead inc case",2020-06-25,"PL","Poland","point",NA,3081
2020-06-14,"12 day ahead inc case",2020-06-26,"PL","Poland","point",NA,3125
2020-06-14,"13 day ahead inc case",2020-06-27,"PL","Poland","point",NA,3169
2020-06-14,"14 day ahead inc case",2020-06-28,"PL","Poland","point",NA,3214
2020-06-14,"15 day ahead inc case",2020-06-29,"PL","Poland","point",NA,3257
2020-06-14,"16 day ahead inc case",2020-06-30,"PL","Poland","point",NA,3299
2020-06-14,"17 day ahead inc case",2020-07-01,"PL","Poland","point",NA,3339
2020-06-14,"18 day ahead inc case",2020-07-02,"PL","Poland","point",NA,3379
2020-06-14,"19 day ahead inc case",2020-07-03,"PL","Poland","point",NA,3417
2020-06-14,"20 day ahead inc case",2020-07-04,"PL","Poland","point",NA,3455
2020-06-14,"21 day ahead inc case",2020-07-05,"PL","Poland","point",NA,3492
2020-06-14,"22 day ahead inc case",2020-07-06,"PL","Poland","point",NA,3527
2020-06-14,"23 day ahead inc case",2020-07-07,"PL","Poland","point",NA,3561
2020-06-14,"24 day ahead inc case",2020-07-08,"PL","Poland","point",NA,3593
2020-06-14,"25 day ahead inc case",2020-07-09,"PL","Poland","point",NA,3625
2020-06-14,"26 day ahead inc case",2020-07-10,"PL","Poland","point",NA,3655
2020-06-14,"27 day ahead inc case",2020-07-11,"PL","Poland","point",NA,3683
2020-06-14,"28 day ahead inc case",2020-07-12,"PL","Poland","point",NA,3710
2020-06-14,"29 day ahead inc case",2020-07-13,"PL","Poland","point",NA,3736
2020-06-14,"30 day ahead inc case",2020-07-14,"PL","Poland","point",NA,3759
2020-06-14,"31 day ahead inc case",2020-07-15,"PL","Poland","point",NA,3782
2020-06-14,"32 day ahead inc case",2020-07-16,"PL","Poland","point",NA,3803
2020-06-14,"33 day ahead inc case",2020-07-17,"PL","Poland","point",NA,3822
2020-06-14,"34 day ahead inc case",2020-07-18,"PL","Poland","point",NA,3839
2020-06-14,"35 day ahead inc case",2020-07-19,"PL","Poland","point",NA,3855
2020-06-14,"36 day ahead inc case",2020-07-20,"PL","Poland","point",NA,3870
2020-06-14,"37 day ahead inc case",2020-07-21,"PL","Poland","point",NA,3883
2020-06-14,"38 day ahead inc case",2020-07-22,"PL","Poland","point",NA,3895
2020-06-14,"39 day ahead inc case",2020-07-23,"PL","Poland","point",NA,3905
2020-06-14,"40 day ahead inc case",2020-07-24,"PL","Poland","point",NA,3913
2020-06-14,"41 day ahead inc case",2020-07-25,"PL","Poland","point",NA,3920
2020-06-14,"42 day ahead inc case",2020-07-26,"PL","Poland","point",NA,3926
2020-06-14,"43 day ahead inc case",2020-07-27,"PL","Poland","point",NA,3931
2020-06-14,"44 day ahead inc case",2020-07-28,"PL","Poland","point",NA,3934
2020-06-14,"45 day ahead inc case",2020-07-29,"PL","Poland","point",NA,3937
2020-06-14,"46 day ahead inc case",2020-07-30,"PL","Poland","point",NA,3938
2020-06-14,"47 day ahead inc case",2020-07-31,"PL","Poland","point",NA,3938
2020-06-14,"48 day ahead inc case",2020-08-01,"PL","Poland","point",NA,3937
2020-06-14,"49 day ahead inc case",2020-08-02,"PL","Poland","point",NA,3935
2020-06-14,"50 day ahead inc case",2020-08-03,"PL","Poland","point",NA,3932
2020-06-14,"51 day ahead inc case",2020-08-04,"PL","Poland","point",NA,3929
2020-06-14,"52 day ahead inc case",2020-08-05,"PL","Poland","point",NA,3925
2020-06-14,"53 day ahead inc case",2020-08-06,"PL","Poland","point",NA,3919
2020-06-14,"54 day ahead inc case",2020-08-07,"PL","Poland","point",NA,3913
2020-06-14,"55 day ahead inc case",2020-08-08,"PL","Poland","point",NA,3906
2020-06-14,"56 day ahead inc case",2020-08-09,"PL","Poland","point",NA,3899
2020-06-14,"57 day ahead inc case",2020-08-10,"PL","Poland","point",NA,3890
2020-06-14,"58 day ahead inc case",2020-08-11,"PL","Poland","point",NA,3881
2020-06-14,"59 day ahead inc case",2020-08-12,"PL","Poland","point",NA,3872
2020-06-14,"60 day ahead inc case",2020-08-13,"PL","Poland","point",NA,3862
2020-06-14,"61 day ahead inc case",2020-08-14,"PL","Poland","point",NA,3851
2020-06-14,"62 day ahead inc case",2020-08-15,"PL","Poland","point",NA,3840
2020-06-14,"63 day ahead inc case",2020-08-16,"PL","Poland","point",NA,3828
2020-06-14,"64 day ahead inc case",2020-08-17,"PL","Poland","point",NA,3816
2020-06-14,"65 day ahead inc case",2020-08-18,"PL","Poland","point",NA,3803
2020-06-14,"66 day ahead inc case",2020-08-19,"PL","Poland","point",NA,3790
2020-06-14,"67 day ahead inc case",2020-08-20,"PL","Poland","point",NA,3776
2020-06-14,"68 day ahead inc case",2020-08-21,"PL","Poland","point",NA,3762
2020-06-14,"69 day ahead inc case",2020-08-22,"PL","Poland","point",NA,3748
2020-06-14,"70 day ahead inc case",2020-08-23,"PL","Poland","point",NA,3733
2020-06-14,"71 day ahead inc case",2020-08-24,"PL","Poland","point",NA,3718
2020-06-14,"72 day ahead inc case",2020-08-25,"PL","Poland","point",NA,3702
2020-06-14,"73 day ahead inc case",2020-08-26,"PL","Poland","point",NA,3687
2020-06-14,"74 day ahead inc case",2020-08-27,"PL","Poland","point",NA,3671
2020-06-14,"75 day ahead inc case",2020-08-28,"PL","Poland","point",NA,3655
2020-06-14,"76 day ahead inc case",2020-08-29,"PL","Poland","point",NA,3638
2020-06-14,"77 day ahead inc case",2020-08-30,"PL","Poland","point",NA,3621
2020-06-14,"78 day ahead inc case",2020-08-31,"PL","Poland","point",NA,3605
2020-06-14,"79 day ahead inc case",2020-09-01,"PL","Poland","point",NA,3587
2020-06-14,"80 day ahead inc case",2020-09-02,"PL","Poland","point",NA,3570
2020-06-14,"81 day ahead inc case",2020-09-03,"PL","Poland","point",NA,3552
2020-06-14,"82 day ahead inc case",2020-09-04,"PL","Poland","point",NA,3535
2020-06-14,"83 day ahead inc case",2020-09-05,"PL","Poland","point",NA,3517
2020-06-14,"84 day ahead inc case",2020-09-06,"PL","Poland","point",NA,3499
2020-06-14,"85 day ahead inc case",2020-09-07,"PL","Poland","point",NA,3481
2020-06-14,"86 day ahead inc case",2020-09-08,"PL","Poland","point",NA,3462
2020-06-14,"87 day ahead inc case",2020-09-09,"PL","Poland","point",NA,3444
2020-06-14,"88 day ahead inc case",2020-09-10,"PL","Poland","point",NA,3426
2020-06-14,"89 day ahead inc case",2020-09-11,"PL","Poland","point",NA,3407
2020-06-14,"90 day ahead inc case",2020-09-12,"PL","Poland","point",NA,3389
2020-06-14,"91 day ahead inc case",2020-09-13,"PL","Poland","point",NA,3370
2020-06-14,"92 day ahead inc case",2020-09-14,"PL","Poland","point",NA,3351
2020-06-14,"93 day ahead inc case",2020-09-15,"PL","Poland","point",NA,3333
2020-06-14,"94 day ahead inc case",2020-09-16,"PL","Poland","point",NA,3314
2020-06-14,"95 day ahead inc case",2020-09-17,"PL","Poland","point",NA,3295
2020-06-14,"96 day ahead inc case",2020-09-18,"PL","Poland","point",NA,3276
2020-06-14,"97 day ahead inc case",2020-09-19,"PL","Poland","point",NA,3257
2020-06-14,"98 day ahead inc case",2020-09-20,"PL","Poland","point",NA,3238
2020-06-14,"99 day ahead inc case",2020-09-21,"PL","Poland","point",NA,3219
