"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-06-25,"1 day ahead inc case",2020-06-26,"GM","Germany","point",NA,3726
2020-06-25,"2 day ahead inc case",2020-06-27,"GM","Germany","point",NA,3786
2020-06-25,"3 day ahead inc case",2020-06-28,"GM","Germany","point",NA,3847
2020-06-25,"4 day ahead inc case",2020-06-29,"GM","Germany","point",NA,3910
2020-06-25,"5 day ahead inc case",2020-06-30,"GM","Germany","point",NA,3965
2020-06-25,"6 day ahead inc case",2020-07-01,"GM","Germany","point",NA,4021
2020-06-25,"7 day ahead inc case",2020-07-02,"GM","Germany","point",NA,4078
2020-06-25,"8 day ahead inc case",2020-07-03,"GM","Germany","point",NA,4136
2020-06-25,"9 day ahead inc case",2020-07-04,"GM","Germany","point",NA,4193
2020-06-25,"10 day ahead inc case",2020-07-05,"GM","Germany","point",NA,4248
2020-06-25,"11 day ahead inc case",2020-07-06,"GM","Germany","point",NA,4302
2020-06-25,"12 day ahead inc case",2020-07-07,"GM","Germany","point",NA,4355
2020-06-25,"13 day ahead inc case",2020-07-08,"GM","Germany","point",NA,4408
2020-06-25,"14 day ahead inc case",2020-07-09,"GM","Germany","point",NA,4459
2020-06-25,"15 day ahead inc case",2020-07-10,"GM","Germany","point",NA,4510
2020-06-25,"16 day ahead inc case",2020-07-11,"GM","Germany","point",NA,4559
2020-06-25,"17 day ahead inc case",2020-07-12,"GM","Germany","point",NA,4607
2020-06-25,"18 day ahead inc case",2020-07-13,"GM","Germany","point",NA,4654
2020-06-25,"19 day ahead inc case",2020-07-14,"GM","Germany","point",NA,4699
2020-06-25,"20 day ahead inc case",2020-07-15,"GM","Germany","point",NA,4743
2020-06-25,"21 day ahead inc case",2020-07-16,"GM","Germany","point",NA,4785
2020-06-25,"22 day ahead inc case",2020-07-17,"GM","Germany","point",NA,4826
2020-06-25,"23 day ahead inc case",2020-07-18,"GM","Germany","point",NA,4865
2020-06-25,"24 day ahead inc case",2020-07-19,"GM","Germany","point",NA,4903
2020-06-25,"25 day ahead inc case",2020-07-20,"GM","Germany","point",NA,4939
2020-06-25,"26 day ahead inc case",2020-07-21,"GM","Germany","point",NA,4973
2020-06-25,"27 day ahead inc case",2020-07-22,"GM","Germany","point",NA,5005
2020-06-25,"28 day ahead inc case",2020-07-23,"GM","Germany","point",NA,5035
2020-06-25,"29 day ahead inc case",2020-07-24,"GM","Germany","point",NA,5064
2020-06-25,"30 day ahead inc case",2020-07-25,"GM","Germany","point",NA,5091
2020-06-25,"31 day ahead inc case",2020-07-26,"GM","Germany","point",NA,5115
2020-06-25,"32 day ahead inc case",2020-07-27,"GM","Germany","point",NA,5138
2020-06-25,"33 day ahead inc case",2020-07-28,"GM","Germany","point",NA,5159
2020-06-25,"34 day ahead inc case",2020-07-29,"GM","Germany","point",NA,5178
2020-06-25,"35 day ahead inc case",2020-07-30,"GM","Germany","point",NA,5195
2020-06-25,"36 day ahead inc case",2020-07-31,"GM","Germany","point",NA,5210
2020-06-25,"37 day ahead inc case",2020-08-01,"GM","Germany","point",NA,5224
2020-06-25,"38 day ahead inc case",2020-08-02,"GM","Germany","point",NA,5235
2020-06-25,"39 day ahead inc case",2020-08-03,"GM","Germany","point",NA,5245
2020-06-25,"40 day ahead inc case",2020-08-04,"GM","Germany","point",NA,5253
2020-06-25,"41 day ahead inc case",2020-08-05,"GM","Germany","point",NA,5259
2020-06-25,"42 day ahead inc case",2020-08-06,"GM","Germany","point",NA,5265
2020-06-25,"43 day ahead inc case",2020-08-07,"GM","Germany","point",NA,5268
2020-06-25,"44 day ahead inc case",2020-08-08,"GM","Germany","point",NA,5270
2020-06-25,"45 day ahead inc case",2020-08-09,"GM","Germany","point",NA,5270
2020-06-25,"46 day ahead inc case",2020-08-10,"GM","Germany","point",NA,5269
2020-06-25,"47 day ahead inc case",2020-08-11,"GM","Germany","point",NA,5267
2020-06-25,"48 day ahead inc case",2020-08-12,"GM","Germany","point",NA,5263
2020-06-25,"49 day ahead inc case",2020-08-13,"GM","Germany","point",NA,5257
2020-06-25,"50 day ahead inc case",2020-08-14,"GM","Germany","point",NA,5251
2020-06-25,"51 day ahead inc case",2020-08-15,"GM","Germany","point",NA,5243
2020-06-25,"52 day ahead inc case",2020-08-16,"GM","Germany","point",NA,5234
2020-06-25,"53 day ahead inc case",2020-08-17,"GM","Germany","point",NA,5224
2020-06-25,"54 day ahead inc case",2020-08-18,"GM","Germany","point",NA,5212
2020-06-25,"55 day ahead inc case",2020-08-19,"GM","Germany","point",NA,5199
2020-06-25,"56 day ahead inc case",2020-08-20,"GM","Germany","point",NA,5185
2020-06-25,"57 day ahead inc case",2020-08-21,"GM","Germany","point",NA,5169
2020-06-25,"58 day ahead inc case",2020-08-22,"GM","Germany","point",NA,5153
2020-06-25,"59 day ahead inc case",2020-08-23,"GM","Germany","point",NA,5135
2020-06-25,"60 day ahead inc case",2020-08-24,"GM","Germany","point",NA,5116
2020-06-25,"61 day ahead inc case",2020-08-25,"GM","Germany","point",NA,5096
2020-06-25,"62 day ahead inc case",2020-08-26,"GM","Germany","point",NA,5076
2020-06-25,"63 day ahead inc case",2020-08-27,"GM","Germany","point",NA,5054
2020-06-25,"64 day ahead inc case",2020-08-28,"GM","Germany","point",NA,5032
2020-06-25,"65 day ahead inc case",2020-08-29,"GM","Germany","point",NA,5009
