target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc death,2020-11-28,GM,quantile,0.01,1234.92099691479,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.025,1305.48427037389,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.05,1369.42785992934,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.1,1447.09396456771,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.15,1501.99738804083,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.2,1547.13179664727,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.25,1586.94475813143,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.3,1623.58026878389,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.35,1658.2915481173,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.4,1691.92276781311,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.45,1725.11762100561,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.5,1758.42902143007,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.55,1792.39075118897,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.6,1827.57892712213,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.65,1864.68281992967,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.7,1904.60917762161,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.75,1948.66608657376,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.8,1998.93891602478,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.85,2059.19515294066,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.9,2137.62656718983,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.95,2259.46289054577,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.975,2370.80838977985,Germany,2020-11-23
1 wk ahead inc death,2020-11-28,GM,quantile,0.99,2507.26353132659,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.01,1266.19325108156,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.025,1355.1329330496,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.05,1436.74102948956,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.1,1537.11415399423,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.15,1608.87390219071,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.2,1668.35184417124,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.25,1721.17465747809,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.3,1770.07297434583,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.35,1816.65683669036,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.4,1862.02371584276,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.45,1907.02354476778,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.5,1952.4,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.55,1998.88512519069,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.6,2047.28342280005,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.65,2098.57198885167,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.7,2154.05119858138,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.75,2215.61328428722,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.8,2286.2948436152,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.85,2371.61218998209,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.9,2483.62468327585,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.95,2659.72789206782,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.975,2822.84053678893,Germany,2020-11-23
2 wk ahead inc death,2020-12-05,GM,quantile,0.99,3025.47669234371,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.01,1286.52400399475,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.025,1383.96159100064,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.05,1473.85630934199,Germany,2020-11-23
3 wk ahead inc death,2020-12-12,GM,quantile,0.1,1585.0293870331,Germany,2020-11-23
