target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2020-12-19,PL,quantile,0.01,42512.6056479578,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.025,45704.1001104371,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.05,48644.9817271232,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.1,52276.2347863017,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.15,54880.6672802276,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.2,57043.9955994431,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.25,58968.460831674,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.3,60752.4015501186,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.35,62453.9276085706,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.4,64112.756210816,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.45,65759.7469524759,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.5,67422,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.55,69126.2880441874,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.6,70902.1265163274,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.65,72785.4505180187,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.7,74824.1667238236,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.75,77088.0642918373,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.8,79689.2157411774,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.85,82831.2943472284,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.9,86959.6506514713,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.95,93455.4053738881,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.975,99475.5097613203,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,quantile,0.99,106956.090546303,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.01,34560.412593776,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.025,37827.1402742832,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.05,40900.9002949452,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.1,44775.6775963156,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.15,47606.1052158081,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.2,49988.2806758342,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.25,52130.3352747691,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.3,54134.6567621743,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.35,56062.6697242743,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,quantile,0.4,57957.2189943975,Poland,2020-12-14
