target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc case,2021-01-02,GM,quantile,0.01,114513.379991687,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.025,119255.023613581,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.05,123485.537475491,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.1,128544.633165986,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.15,132071.528356811,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.2,134941.739229803,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.25,137452.556277309,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.3,139746.170269005,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.35,141904.878656665,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.4,143983.380397088,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.45,146022.652631279,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.5,148057.142857143,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.55,150119.336761934,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.6,152243.51795025,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.65,154469.924202923,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.7,156850.700430252,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.75,159460.233511828,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.8,162416.118143387,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.85,165929.360454882,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.9,170455.802394075,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.95,177388.311186272,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.975,183624.865040823,Germany,2020-12-28
1 wk ahead inc case,2021-01-02,GM,quantile,0.99,191147.486757653,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.01,107594.560379542,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.025,114139.996707478,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.05,120071.853266869,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.1,127276.531128899,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.15,132369.139596973,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.2,136555.134132941,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.25,140247.14357811,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.3,143644.071771485,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.35,146862.167717469,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.4,149979.717828338,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.45,153056.39427239,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.5,156143.428571429,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.55,159290.252088926,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.6,162550.187322484,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.65,165986.998722143,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.7,169684.536059676,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.75,173763.723289407,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.8,178417.287583709,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.85,183993.330185549,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.9,191248.541870053,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.95,202512.63593215,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.975,212800.140723993,Germany,2020-12-28
2 wk ahead inc case,2021-01-09,GM,quantile,0.99,225398.925396769,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.01,98029.9870032532,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.025,105623.647835836,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.05,112600.534503869,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.1,121191.238593385,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.15,127338.148629211,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.2,132435.642198848,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.25,136964.450777573,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.3,141157.997167283,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.35,145153.983816598,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.4,149046.327363495,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.45,152907.806568389,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.5,156802.142857143,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.55,160792.098878545,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.6,164946.683920476,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.65,169349.742061267,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.7,174112.882546637,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.75,179398.531061378,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.8,185467.351482756,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.85,192792.853839915,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.9,202410.102427327,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.95,217528.267357657,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.975,231528.175135671,Germany,2020-12-28
3 wk ahead inc case,2021-01-16,GM,quantile,0.99,248915.097595568,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.01,87326.9176100175,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.025,96048.9157750758,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.05,104201.002735941,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.1,114409.671930034,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.15,121823.767844757,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.2,128038.123047724,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.25,133607.613636979,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.3,138804.206582624,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.35,143790.299561337,Germany,2020-12-28
4 wk ahead inc case,2021-01-23,GM,quantile,0.4,148678.472708314,Germany,2020-12-28
