target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead inc death,2021-01-02,PL,quantile,0.01,1715.2851166404,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.025,1770.84948213881,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.05,1820.05139153202,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.1,1878.44938002716,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.15,1918.88851045333,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.2,1951.63874232101,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.25,1980.17395797161,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.3,2006.1496216931,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.35,2030.519606641,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.4,2053.91410150569,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.45,2076.80143854876,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.5,2099.57142857143,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.55,2122.58763426812,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.6,2146.22957882353,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.65,2170.93847234702,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.7,2197.28177257324,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.75,2226.06439476399,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.8,2258.55340778943,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.85,2297.01471957322,Poland,2020-12-28
1 wk ahead inc death,2021-01-02,PL,quantile,0.9,2346.32816195919,Poland,2020-12-28
