location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,point,,67639,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.01,67199.82,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.025,67253.9,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.05,67317,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.1,67394.8,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.15,67429,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.2,67465,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.25,67499,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.3,67526.4,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.35,67555,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.4,67582,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.45,67611,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.5,67639,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.55,67671,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.6,67695,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.65,67723.7,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.7,67761,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.75,67786.5,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.8,67819.2,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.85,67854.75,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.9,67902.1,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.95,67970.05,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.975,68073.05,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,quantile,0.99,68130.05,2021-02-20,2021-02-15,1 wk ahead cum death
GM,Germany,point,,2897,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.01,2457.82,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.025,2511.9,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.05,2575,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.1,2652.8,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.15,2687,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.2,2723,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.25,2757,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.3,2784.4,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.35,2813,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.4,2840,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.45,2869,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.5,2897,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.55,2929,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.6,2953,2021-02-20,2021-02-15,1 wk ahead inc death
GM,Germany,quantile,0.65,2981.7,2021-02-20,2021-02-15,1 wk ahead inc death
