location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,point,,1841819,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.01,1813397.46,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.025,1816640.275,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.05,1820900.2,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.1,1824790.9,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.15,1827988.3,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.2,1830265.2,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.25,1831942.25,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.3,1833953.4,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.35,1835861.7,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.4,1837919,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.45,1839616,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.5,1841819,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.55,1843297.15,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.6,1845538.2,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.65,1847810.85,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.7,1849581.8,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.75,1852466.75,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.8,1855328.8,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.85,1858245.6,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.9,1863400.5,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.95,1871232.25,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.975,1880284.75,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,quantile,0.99,1888769.28,2021-03-13,2021-03-08,1 wk ahead cum case
PL,Poland,point,,75450,2021-03-13,2021-03-08,1 wk ahead inc case
PL,Poland,quantile,0.01,47028.46,2021-03-13,2021-03-08,1 wk ahead inc case
PL,Poland,quantile,0.025,50271.275,2021-03-13,2021-03-08,1 wk ahead inc case
PL,Poland,quantile,0.05,54531.2,2021-03-13,2021-03-08,1 wk ahead inc case
PL,Poland,quantile,0.1,58421.9,2021-03-13,2021-03-08,1 wk ahead inc case
PL,Poland,quantile,0.15,61619.3,2021-03-13,2021-03-08,1 wk ahead inc case
