location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,point,,46699.5,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.01,46252.98,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.025,46322.975,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.05,46379.85,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.1,46442,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.15,46503,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.2,46533,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.25,46568,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.3,46596.7,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.35,46616,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.4,46645,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.45,46676.1,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.5,46699.5,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.55,46723,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.6,46742.8,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.65,46770.35,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.7,46792.3,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.75,46823,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.8,46854,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.85,46887,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.9,46948.1,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.95,47041.1,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.975,47119.025,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,quantile,0.99,47247.44,2021-03-13,2021-03-08,1 wk ahead cum death
PL,Poland,point,,1850.5,2021-03-13,2021-03-08,1 wk ahead inc death
PL,Poland,quantile,0.01,1403.98,2021-03-13,2021-03-08,1 wk ahead inc death
