location,location_name,type,quantile,horizon,value,target_end_date,forecast_date,target,submission_date
PL,Poland,quantile,0.01,1,153490,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.025,1,153696,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.05,1,154091,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.1,1,154626,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.15,1,155493,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.2,1,156043,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.25,1,156731,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.3,1,157267,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.35,1,157876,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.4,1,158466,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.45,1,159321,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.5,1,159902,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.55,1,160491,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.6,1,161214,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.65,1,162026,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.7,1,162746,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.75,1,163542,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.8,1,164430,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.85,1,165425,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.9,1,166350,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.95,1,167165,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.975,1,167572,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.99,1,167890,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,point,,1,159902,2020-10-17,2020-10-12,1 wk ahead cum case,2020-10-12
PL,Poland,quantile,0.01,1,37152,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
