location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,quantile,0.01,21712,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.025,21728,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.05,21753,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.1,21801,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.15,21840,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.2,21885,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.25,21927,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.3,21962,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.35,22014,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.4,22058,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.45,22097,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.5,22141,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.55,22197,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.6,22245,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.65,22287,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.7,22340,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.75,22384,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.8,22447,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.85,22497,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.9,22572,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.95,22645,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.975,22675,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.99,22695,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,point,,22141,2020-12-12,2020-12-07,1 wk ahead cum death
GM,Germany,quantile,0.01,3195,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.025,3211,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.05,3236,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.1,3284,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.15,3323,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.2,3368,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.25,3410,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.3,3445,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.35,3497,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.4,3541,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.45,3580,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.5,3624,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.55,3680,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.6,3728,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.65,3770,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.7,3823,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.75,3867,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.8,3930,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.85,3980,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.9,4055,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.95,4128,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.975,4158,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.99,4178,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,point,,3624,2020-12-12,2020-12-07,1 wk ahead inc death
GM,Germany,quantile,0.01,25511,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.025,25576,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.05,25660,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.1,25850,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.15,25993,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.2,26167,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.25,26361,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.3,26486,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.35,26665,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.4,26826,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.45,27015,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.5,27182,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.55,27380,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.6,27602,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.65,27810,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.7,27989,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.75,28218,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.8,28463,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.85,28693,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.9,29011,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.95,29348,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.975,29522,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.99,29648,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,point,,27182,2020-12-19,2020-12-07,2 wk ahead cum death
GM,Germany,quantile,0.01,3799,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.025,3848,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.05,3907,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.1,4049,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.15,4153,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.2,4282,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.25,4434,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.3,4524,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.35,4651,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.4,4768,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.45,4918,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.5,5041,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.55,5183,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.6,5357,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.65,5523,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.7,5649,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.75,5834,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.8,6016,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.85,6196,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.9,6439,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.95,6703,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.975,6847,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.99,6953,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,point,,5041,2020-12-19,2020-12-07,2 wk ahead inc death
GM,Germany,quantile,0.01,29842,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.025,29970,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.05,30191,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.1,30571,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.15,30942,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.2,31384,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.25,31908,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.3,32329,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.35,32783,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.4,33157,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.45,33597,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.5,34033,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.55,34545,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.6,35079,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.65,35724,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.7,36248,2020-12-26,2020-12-07,3 wk ahead cum death
GM,Germany,quantile,0.75,36900,2020-12-26,2020-12-07,3 wk ahead cum death
