location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,quantile,0.01,1095483,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.025,1095812,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.05,1096234,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.1,1096980,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.15,1097784,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.2,1098544,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.25,1099223,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.3,1099981,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.35,1100474,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.4,1101073,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.45,1101836,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.5,1102449,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.55,1102969,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.6,1103751,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.65,1104588,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.7,1105407,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.75,1105998,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.8,1106729,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.85,1107440,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.9,1108296,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.95,1109471,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.975,1109864,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.99,1110302,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,point,,1102449,2020-12-12,2020-12-07,1 wk ahead cum case
PL,Poland,quantile,0.01,53637,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.025,53966,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.05,54388,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.1,55134,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.15,55938,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.2,56698,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.25,57377,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.3,58135,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.35,58628,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.4,59227,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.45,59990,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.5,60603,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.55,61123,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.6,61905,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.65,62742,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.7,63561,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.75,64152,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.8,64883,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.85,65594,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.9,66450,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.95,67625,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.975,68018,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.99,68456,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,point,,60603,2020-12-12,2020-12-07,1 wk ahead inc case
PL,Poland,quantile,0.01,1127322,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.025,1127879,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.05,1128603,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.1,1130218,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.15,1131622,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.2,1133281,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.25,1134738,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.3,1136325,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.35,1137492,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.4,1138951,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.45,1140465,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.5,1141929,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.55,1143415,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.6,1145175,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.65,1146857,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.7,1148726,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.75,1150451,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.8,1152406,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.85,1154270,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.9,1156433,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.95,1159042,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.975,1160259,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.99,1161176,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,point,,1141929,2020-12-19,2020-12-07,2 wk ahead cum case
PL,Poland,quantile,0.01,31839,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.025,32067,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.05,32369,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.1,33238,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.15,33838,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.2,34737,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.25,35515,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.3,36344,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.35,37018,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.4,37878,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.45,38629,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.5,39480,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.55,40446,2020-12-19,2020-12-07,2 wk ahead inc case
PL,Poland,quantile,0.6,41424,2020-12-19,2020-12-07,2 wk ahead inc case
