location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,point,,35256,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.01,34595,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.025,34619,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.05,34657,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.1,34730,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.15,34792,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.2,34859,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.25,34927,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.3,34988,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.35,35054,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.4,35126,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.45,35189,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.5,35256,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.55,35319,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.6,35387,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.65,35450,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.7,35526,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.75,35613,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.8,35732,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.85,35822,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.9,35952,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.95,36089,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.975,36168,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,quantile,0.99,36237,2021-01-23,2021-01-18,1 wk ahead cum death
PL,Poland,point,,2424,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.01,1763,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.025,1787,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.05,1825,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.1,1898,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.15,1960,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.2,2027,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.25,2095,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.3,2156,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.35,2222,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.4,2294,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.45,2357,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.5,2424,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.55,2487,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.6,2555,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.65,2618,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.7,2694,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.75,2781,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.8,2900,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.85,2990,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.9,3120,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.95,3257,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.975,3336,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,quantile,0.99,3405,2021-01-23,2021-01-18,1 wk ahead inc death
PL,Poland,point,,38175,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.01,36256,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.025,36323,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.05,36413,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.1,36623,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.15,36817,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.2,37021,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.25,37198,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.3,37385,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.35,37577,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.4,37772,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.45,37965,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.5,38175,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.55,38364,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.6,38579,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.65,38807,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.7,39107,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.75,39396,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.8,39740,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.85,40203,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.9,40613,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.95,41161,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.975,41536,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,quantile,0.99,41787,2021-01-30,2021-01-18,2 wk ahead cum death
PL,Poland,point,,2919,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.01,1661,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.025,1704,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.05,1756,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.1,1893,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.15,2025,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.2,2162,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.25,2271,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.3,2397,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.35,2523,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.4,2646,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.45,2776,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.5,2919,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.55,3045,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.6,3192,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.65,3357,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.7,3581,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.75,3783,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.8,4008,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.85,4381,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.9,4661,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.95,5072,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.975,5368,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,quantile,0.99,5550,2021-01-30,2021-01-18,2 wk ahead inc death
PL,Poland,point,,41524,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.01,37631,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.025,37751,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.05,37916,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.1,38314,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.15,38704,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.2,39104,2021-02-06,2021-01-18,3 wk ahead cum death
PL,Poland,quantile,0.25,39445,2021-02-06,2021-01-18,3 wk ahead cum death
