location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,point,,2435755,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.01,2422911,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.025,2423481,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.05,2424284,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.1,2425560,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.15,2427000,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.2,2428089,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.25,2429306,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.3,2430802,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.35,2432056,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.4,2433189,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.45,2434161,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.5,2435755,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.55,2437107,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.6,2438465,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.65,2440296,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.7,2442185,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.75,2444150,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.8,2446264,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.85,2448495,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.9,2451292,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.95,2455451,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.975,2457445,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,quantile,0.99,2458696,2021-02-27,2021-02-22,1 wk ahead cum case
GM,Germany,point,,56872,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.01,44028,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.025,44598,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.05,45401,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.1,46677,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.15,48117,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.2,49206,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.25,50423,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.3,51919,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.35,53173,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.4,54306,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.45,55278,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.5,56872,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.55,58224,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.6,59582,2021-02-27,2021-02-22,1 wk ahead inc case
GM,Germany,quantile,0.65,61413,2021-02-27,2021-02-22,1 wk ahead inc case
