location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,point,,71681,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.01,71319,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.025,71340,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.05,71360,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.1,71402,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.15,71442,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.2,71480,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.25,71518,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.3,71557,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.35,71582,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.4,71612,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.45,71647,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.5,71681,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.55,71713,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.6,71747,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.65,71774,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.7,71811,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.75,71859,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.8,71911,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.85,71969,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.9,72027,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.95,72108,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.975,72163,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,quantile,0.99,72199,2021-03-06,2021-03-01,1 wk ahead cum death
GM,Germany,point,,1793,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.01,1431,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.025,1452,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.05,1472,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.1,1514,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.15,1554,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.2,1592,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.25,1630,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.3,1669,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.35,1694,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.4,1724,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.45,1759,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.5,1793,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.55,1825,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.6,1859,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.65,1886,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.7,1923,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.75,1971,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.8,2023,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.85,2081,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.9,2139,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.95,2220,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.975,2275,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,quantile,0.99,2311,2021-03-06,2021-03-01,1 wk ahead inc death
GM,Germany,point,,73134,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.01,72301,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.025,72341,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.05,72392,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.1,72483,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.15,72570,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.2,72663,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.25,72752,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.3,72840,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.35,72914,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.4,72981,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.45,73054,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.5,73134,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.55,73208,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.6,73293,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.65,73374,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.7,73462,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.75,73570,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.8,73702,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.85,73847,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.9,74021,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.95,74256,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.975,74405,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,quantile,0.99,74534,2021-03-13,2021-03-01,2 wk ahead cum death
GM,Germany,point,,1453,2021-03-13,2021-03-01,2 wk ahead inc death
GM,Germany,quantile,0.01,982,2021-03-13,2021-03-01,2 wk ahead inc death
GM,Germany,quantile,0.025,1001,2021-03-13,2021-03-01,2 wk ahead inc death
GM,Germany,quantile,0.05,1032,2021-03-13,2021-03-01,2 wk ahead inc death
