location,location_name,type,quantile,value,target_end_date,forecast_date,target
PL,Poland,point,,28424,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.01,27809.95,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.025,27871.775,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.05,27965.75,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.1,28061,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.15,28110.85,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.2,28165.8,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.25,28215.25,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.3,28258.7,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.35,28299.65,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.4,28342.6,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.45,28381,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.5,28424,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.55,28468.45,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.6,28518.2,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.65,28572.05,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.7,28631.9,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.75,28689.25,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.8,28756.4,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.85,28834.15,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.9,28952.9,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.95,29138,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.975,29368.1,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,quantile,0.99,29590.8,2021-01-02,2020-12-28,1 wk ahead cum death
PL,Poland,point,,1432,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.01,817.95,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.025,879.775,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.05,973.75,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.1,1069,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.15,1118.85,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.2,1173.8,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.25,1223.25,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.3,1266.7,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.35,1307.65,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.4,1350.6,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.45,1389,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.5,1432,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.55,1476.45,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.6,1526.2,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.65,1580.05,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.7,1639.9,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.75,1697.25,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.8,1764.4,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.85,1842.15,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.9,1960.9,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.95,2146,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.975,2376.1,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,quantile,0.99,2598.8,2021-01-02,2020-12-28,1 wk ahead inc death
PL,Poland,point,,29814.5,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.01,28536.88,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.025,28689.7,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.05,28873.6,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.1,29091.8,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.15,29211.55,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.2,29319.8,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.25,29411.75,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.3,29492.4,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.35,29574.65,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.4,29664.6,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.45,29736,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.5,29814.5,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.55,29892.9,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.6,29984.2,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.65,30093.05,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.7,30200.9,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.75,30326.75,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.8,30449.8,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.85,30608.15,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.9,30829,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.95,31197.15,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.975,31562.5,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,quantile,0.99,31946.82,2021-01-09,2020-12-28,2 wk ahead cum death
PL,Poland,point,,1390.5,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.01,726.93,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.025,817.925,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.05,907.85,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.1,1030.8,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.15,1100.7,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.2,1154,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.25,1196.5,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.3,1233.7,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.35,1275,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.4,1322,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.45,1355,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.5,1390.5,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.55,1424.45,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.6,1466,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.65,1521,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.7,1569,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.75,1637.5,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.8,1693.4,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.85,1774,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.9,1876.1,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.95,2059.15,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.975,2194.4,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,quantile,0.99,2356.02,2021-01-09,2020-12-28,2 wk ahead inc death
PL,Poland,point,,30835,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.01,28892.83,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.025,29129.675,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.05,29411.45,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.1,29739.5,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.15,29928.1,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.2,30098.6,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.25,30238.25,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.3,30351.4,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.35,30477.65,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.4,30610.2,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.45,30717.55,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.5,30835,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.55,30956.25,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.6,31085.6,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.65,31231.05,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.7,31380.2,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.75,31553,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.8,31726.2,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.85,31951.6,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.9,32257,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.95,32750.25,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.975,33239.625,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,quantile,0.99,33740.96,2021-01-16,2020-12-28,3 wk ahead cum death
PL,Poland,point,,1020.5,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.01,355.95,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.025,439.975,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.05,537.85,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.1,647.7,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.15,716.55,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.2,778.8,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.25,826.5,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.3,859,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.35,903,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.4,945.6,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.45,981.55,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.5,1020.5,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.55,1063.35,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.6,1101.4,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.65,1138,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.7,1179.3,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.75,1226.25,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.8,1276.4,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.85,1343.45,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.9,1428,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.95,1553.1,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.975,1677.125,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,quantile,0.99,1794.14,2021-01-16,2020-12-28,3 wk ahead inc death
PL,Poland,point,,31466,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.01,29013.82,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.025,29302.625,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.05,29642.45,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.1,30050.2,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.15,30298.1,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.2,30503.6,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.25,30682.75,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.3,30836.4,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.35,30991.65,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.4,31161.8,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.45,31311.55,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.5,31466,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.55,31619.25,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.6,31780.6,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.65,31975.75,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.7,32157.5,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.75,32366,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.8,32596.2,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.85,32880.6,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.9,33267.2,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.95,33884.55,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.975,34491.65,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,quantile,0.99,35195.25,2021-01-23,2020-12-28,4 wk ahead cum death
PL,Poland,point,,631,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.01,120.99,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.025,172.95,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.05,231,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.1,310.7,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.15,370,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.2,405,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.25,444.5,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.3,485,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.35,514,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.4,551.6,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.45,594,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.5,631,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.55,663,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.6,695,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.65,744.7,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.7,777.3,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.75,813,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.8,870,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.85,929,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.9,1010.2,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.95,1134.3,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.975,1252.025,2021-01-23,2020-12-28,4 wk ahead inc death
PL,Poland,quantile,0.99,1454.29,2021-01-23,2020-12-28,4 wk ahead inc death
