location,location_name,type,quantile,value,target_end_date,forecast_date,target
GM,Germany,point,,37980.5,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.01,36591.98,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.025,36747.975,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.05,36915.6,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.1,37136.3,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.15,37287.55,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.2,37386.8,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.25,37481,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.3,37575,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.35,37707,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.4,37805,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.45,37898,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.5,37980.5,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.55,38069,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.6,38165.8,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.65,38306.35,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.7,38429.3,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.75,38526,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.8,38682.4,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.85,38894.6,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.9,39195.3,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.95,39723.05,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.975,40161.375,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,quantile,0.99,40806.38,2021-01-09,2021-01-04,1 wk ahead cum death
GM,Germany,point,,4020.5,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.01,2631.98,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.025,2787.975,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.05,2955.6,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.1,3176.3,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.15,3327.55,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.2,3426.8,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.25,3521,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.3,3615,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.35,3747,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.4,3845,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.45,3938,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.5,4020.5,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.55,4109,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.6,4205.8,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.65,4346.35,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.7,4469.3,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.75,4566,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.8,4722.4,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.85,4934.6,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.9,5235.3,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.95,5763.05,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.975,6201.375,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,quantile,0.99,6846.38,2021-01-09,2021-01-04,1 wk ahead inc death
GM,Germany,point,,41211,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.01,38215.94,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.025,38576.9,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.05,38954.45,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.1,39344.3,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.15,39669.5,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.2,39909.6,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.25,40147.5,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.3,40373.4,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.35,40595.65,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.4,40800,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.45,41002.1,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.5,41211,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.55,41429.35,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.6,41649.6,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.65,41946.35,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.7,42220.2,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.75,42514,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.8,42913,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.85,43406.05,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.9,44165.6,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.95,45392.1,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.975,46489.475,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,quantile,0.99,47813.79,2021-01-16,2021-01-04,2 wk ahead cum death
GM,Germany,point,,3230.5,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.01,1623.96,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.025,1828.925,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.05,2038.85,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.1,2208,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.15,2381.95,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.2,2522.8,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.25,2666.5,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.3,2798.4,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.35,2888.65,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.4,2995,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.45,3104.1,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.5,3230.5,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.55,3360.35,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.6,3483.8,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.65,3640,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.7,3790.9,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.75,3988,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.8,4230.6,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.85,4511.45,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.9,4970.3,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.95,5669.05,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.975,6328.1,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,quantile,0.99,7007.41,2021-01-16,2021-01-04,2 wk ahead inc death
GM,Germany,point,,43521,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.01,39202.93,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.025,39692.85,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.05,40201.4,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.1,40775.2,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.15,41248.35,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.2,41636.2,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.25,42016.5,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.3,42323.1,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.35,42638.3,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.4,42913.6,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.45,43220.2,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.5,43521,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.55,43870.25,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.6,44214,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.65,44666.8,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.7,45074.2,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.75,45528,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.8,46136,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.85,46888.2,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.9,48026.6,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.95,49867.35,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.975,51557.7,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,quantile,0.99,53283.88,2021-01-23,2021-01-04,3 wk ahead cum death
GM,Germany,point,,2310,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.01,986.99,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.025,1115.95,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.05,1246.95,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.1,1430.9,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.15,1578.85,2021-01-23,2021-01-04,3 wk ahead inc death
GM,Germany,quantile,0.2,1726.6,2021-01-23,2021-01-04,3 wk ahead inc death
