"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-01-04,"1 day ahead cum death",2021-01-05,"GM","Germany","point",NA,35979.751584
2021-01-04,"2 day ahead cum death",2021-01-06,"GM","Germany","point",NA,36637.294319
2021-01-04,"3 day ahead cum death",2021-01-07,"GM","Germany","point",NA,36956.555054
2021-01-04,"4 day ahead cum death",2021-01-08,"GM","Germany","point",NA,37316.054754
2021-01-04,"5 day ahead cum death",2021-01-09,"GM","Germany","point",NA,37796.354333
2021-01-04,"6 day ahead cum death",2021-01-10,"GM","Germany","point",NA,38360.629193
2021-01-04,"7 day ahead cum death",2021-01-11,"GM","Germany","point",NA,39043.460857
2021-01-04,"8 day ahead cum death",2021-01-12,"GM","Germany","point",NA,39773.223468
2021-01-04,"9 day ahead cum death",2021-01-13,"GM","Germany","point",NA,40281.903520
2021-01-04,"10 day ahead cum death",2021-01-14,"GM","Germany","point",NA,40611.638756
2021-01-04,"11 day ahead cum death",2021-01-15,"GM","Germany","point",NA,40884.656906
2021-01-04,"12 day ahead cum death",2021-01-16,"GM","Germany","point",NA,41330.696599
2021-01-04,"13 day ahead cum death",2021-01-17,"GM","Germany","point",NA,41861.141767
2021-01-04,"14 day ahead cum death",2021-01-18,"GM","Germany","point",NA,42481.181081
2021-01-04,"15 day ahead cum death",2021-01-19,"GM","Germany","point",NA,43064.554103
2021-01-04,"16 day ahead cum death",2021-01-20,"GM","Germany","point",NA,43492.619964
2021-01-04,"17 day ahead cum death",2021-01-21,"GM","Germany","point",NA,43796.933687
2021-01-04,"18 day ahead cum death",2021-01-22,"GM","Germany","point",NA,44029.063455
2021-01-04,"19 day ahead cum death",2021-01-23,"GM","Germany","point",NA,44436.728829
2021-01-04,"20 day ahead cum death",2021-01-24,"GM","Germany","point",NA,44922.888837
2021-01-04,"21 day ahead cum death",2021-01-25,"GM","Germany","point",NA,45453.380146
2021-01-04,"22 day ahead cum death",2021-01-26,"GM","Germany","point",NA,45920.035781
2021-01-04,"23 day ahead cum death",2021-01-27,"GM","Germany","point",NA,46291.950563
2021-01-04,"24 day ahead cum death",2021-01-28,"GM","Germany","point",NA,46564.654134
2021-01-04,"25 day ahead cum death",2021-01-29,"GM","Germany","point",NA,46766.791736
2021-01-04,"26 day ahead cum death",2021-01-30,"GM","Germany","point",NA,47134.528001
2021-01-04,"27 day ahead cum death",2021-01-31,"GM","Germany","point",NA,47564.382467
2021-01-04,"28 day ahead cum death",2021-02-01,"GM","Germany","point",NA,48002.828196
2021-01-04,"29 day ahead cum death",2021-02-02,"GM","Germany","point",NA,48382.424739
2021-01-04,"30 day ahead cum death",2021-02-03,"GM","Germany","point",NA,48707.826035
2021-01-04,"1 day ahead cum death",2021-01-05,"GM","Germany","quantile","0.01",34507.724628
2021-01-04,"2 day ahead cum death",2021-01-06,"GM","Germany","quantile","0.01",35119.331787
2021-01-04,"3 day ahead cum death",2021-01-07,"GM","Germany","quantile","0.01",35415.947217
2021-01-04,"4 day ahead cum death",2021-01-08,"GM","Germany","quantile","0.01",35749.591409
2021-01-04,"5 day ahead cum death",2021-01-09,"GM","Germany","quantile","0.01",36195.705778
2021-01-04,"6 day ahead cum death",2021-01-10,"GM","Germany","quantile","0.01",36719.524903
2021-01-04,"7 day ahead cum death",2021-01-11,"GM","Germany","quantile","0.01",37353.062613
2021-01-04,"8 day ahead cum death",2021-01-12,"GM","Germany","quantile","0.01",38029.809027
2021-01-04,"9 day ahead cum death",2021-01-13,"GM","Germany","quantile","0.01",38503.262394
2021-01-04,"10 day ahead cum death",2021-01-14,"GM","Germany","quantile","0.01",38807.227929
2021-01-04,"11 day ahead cum death",2021-01-15,"GM","Germany","quantile","0.01",39060.279464
2021-01-04,"12 day ahead cum death",2021-01-16,"GM","Germany","quantile","0.01",39473.864895
2021-01-04,"13 day ahead cum death",2021-01-17,"GM","Germany","quantile","0.01",39965.150378
2021-01-04,"14 day ahead cum death",2021-01-18,"GM","Germany","quantile","0.01",40538.704583
2021-01-04,"15 day ahead cum death",2021-01-19,"GM","Germany","quantile","0.01",41077.317369
2021-01-04,"16 day ahead cum death",2021-01-20,"GM","Germany","quantile","0.01",41467.533409
2021-01-04,"17 day ahead cum death",2021-01-21,"GM","Germany","quantile","0.01",41735.841815
2021-01-04,"18 day ahead cum death",2021-01-22,"GM","Germany","quantile","0.01",41950.425326
2021-01-04,"19 day ahead cum death",2021-01-23,"GM","Germany","quantile","0.01",42327.279436
2021-01-04,"20 day ahead cum death",2021-01-24,"GM","Germany","quantile","0.01",42775.838427
2021-01-04,"21 day ahead cum death",2021-01-25,"GM","Germany","quantile","0.01",43263.946877
2021-01-04,"22 day ahead cum death",2021-01-26,"GM","Germany","quantile","0.01",43688.914069
2021-01-04,"23 day ahead cum death",2021-01-27,"GM","Germany","quantile","0.01",44010.431920
2021-01-04,"24 day ahead cum death",2021-01-28,"GM","Germany","quantile","0.01",44234.177847
2021-01-04,"25 day ahead cum death",2021-01-29,"GM","Germany","quantile","0.01",44420.243012
2021-01-04,"26 day ahead cum death",2021-01-30,"GM","Germany","quantile","0.01",44758.894637
2021-01-04,"27 day ahead cum death",2021-01-31,"GM","Germany","quantile","0.01",45153.581428
2021-01-04,"28 day ahead cum death",2021-02-01,"GM","Germany","quantile","0.01",45553.190298
2021-01-04,"29 day ahead cum death",2021-02-02,"GM","Germany","quantile","0.01",45888.544203
2021-01-04,"30 day ahead cum death",2021-02-03,"GM","Germany","quantile","0.01",46147.144085
2021-01-04,"1 day ahead cum death",2021-01-05,"GM","Germany","quantile","0.025",34739.558812
2021-01-04,"2 day ahead cum death",2021-01-06,"GM","Germany","quantile","0.025",35358.400510
2021-01-04,"3 day ahead cum death",2021-01-07,"GM","Germany","quantile","0.025",35658.582421
2021-01-04,"4 day ahead cum death",2021-01-08,"GM","Germany","quantile","0.025",35996.298679
2021-01-04,"5 day ahead cum death",2021-01-09,"GM","Germany","quantile","0.025",36447.796985
2021-01-04,"6 day ahead cum death",2021-01-10,"GM","Germany","quantile","0.025",36977.987611
2021-01-04,"7 day ahead cum death",2021-01-11,"GM","Germany","quantile","0.025",37619.288783
2021-01-04,"8 day ahead cum death",2021-01-12,"GM","Germany","quantile","0.025",38304.384885
2021-01-04,"9 day ahead cum death",2021-01-13,"GM","Germany","quantile","0.025",38783.386214
2021-01-04,"10 day ahead cum death",2021-01-14,"GM","Germany","quantile","0.025",39091.410301
2021-01-04,"11 day ahead cum death",2021-01-15,"GM","Germany","quantile","0.025",39347.606442
2021-01-04,"12 day ahead cum death",2021-01-16,"GM","Germany","quantile","0.025",39766.303197
2021-01-04,"13 day ahead cum death",2021-01-17,"GM","Germany","quantile","0.025",40263.756063
2021-01-04,"14 day ahead cum death",2021-01-18,"GM","Germany","quantile","0.025",40844.631355
2021-01-04,"15 day ahead cum death",2021-01-19,"GM","Germany","quantile","0.025",41390.293571
2021-01-04,"16 day ahead cum death",2021-01-20,"GM","Germany","quantile","0.025",41786.470700
2021-01-04,"17 day ahead cum death",2021-01-21,"GM","Germany","quantile","0.025",42060.449697
2021-01-04,"18 day ahead cum death",2021-01-22,"GM","Germany","quantile","0.025",42277.796624
2021-01-04,"19 day ahead cum death",2021-01-23,"GM","Germany","quantile","0.025",42659.503297
2021-01-04,"20 day ahead cum death",2021-01-24,"GM","Germany","quantile","0.025",43113.984191
2021-01-04,"21 day ahead cum death",2021-01-25,"GM","Germany","quantile","0.025",43608.767652
2021-01-04,"22 day ahead cum death",2021-01-26,"GM","Germany","quantile","0.025",44040.300489
2021-01-04,"23 day ahead cum death",2021-01-27,"GM","Germany","quantile","0.025",44369.755512
2021-01-04,"24 day ahead cum death",2021-01-28,"GM","Germany","quantile","0.025",44601.211933
2021-01-04,"25 day ahead cum death",2021-01-29,"GM","Germany","quantile","0.025",44789.808397
2021-01-04,"26 day ahead cum death",2021-01-30,"GM","Germany","quantile","0.025",45133.040654
2021-01-04,"27 day ahead cum death",2021-01-31,"GM","Germany","quantile","0.025",45533.266113
2021-01-04,"28 day ahead cum death",2021-02-01,"GM","Germany","quantile","0.025",45938.991524
2021-01-04,"29 day ahead cum death",2021-02-02,"GM","Germany","quantile","0.025",46281.313342
2021-01-04,"30 day ahead cum death",2021-02-03,"GM","Germany","quantile","0.025",46550.433990
2021-01-04,"1 day ahead cum death",2021-01-05,"GM","Germany","quantile","0.05",34938.949000
2021-01-04,"2 day ahead cum death",2021-01-06,"GM","Germany","quantile","0.05",35564.012802
2021-01-04,"3 day ahead cum death",2021-01-07,"GM","Germany","quantile","0.05",35867.262082
2021-01-04,"4 day ahead cum death",2021-01-08,"GM","Germany","quantile","0.05",36208.480541
2021-01-04,"5 day ahead cum death",2021-01-09,"GM","Germany","quantile","0.05",36664.609330
2021-01-04,"6 day ahead cum death",2021-01-10,"GM","Germany","quantile","0.05",37200.279800
2021-01-04,"7 day ahead cum death",2021-01-11,"GM","Germany","quantile","0.05",37848.257975
2021-01-04,"8 day ahead cum death",2021-01-12,"GM","Germany","quantile","0.05",38540.535271
2021-01-04,"9 day ahead cum death",2021-01-13,"GM","Germany","quantile","0.05",39024.308153
2021-01-04,"10 day ahead cum death",2021-01-14,"GM","Germany","quantile","0.05",39335.822818
2021-01-04,"11 day ahead cum death",2021-01-15,"GM","Germany","quantile","0.05",39594.723493
2021-01-04,"12 day ahead cum death",2021-01-16,"GM","Germany","quantile","0.05",40017.816269
2021-01-04,"13 day ahead cum death",2021-01-17,"GM","Germany","quantile","0.05",40520.573425
2021-01-04,"14 day ahead cum death",2021-01-18,"GM","Germany","quantile","0.05",41107.745256
2021-01-04,"15 day ahead cum death",2021-01-19,"GM","Germany","quantile","0.05",41659.470372
2021-01-04,"16 day ahead cum death",2021-01-20,"GM","Germany","quantile","0.05",42060.774365
2021-01-04,"17 day ahead cum death",2021-01-21,"GM","Germany","quantile","0.05",42339.630384
2021-01-04,"18 day ahead cum death",2021-01-22,"GM","Germany","quantile","0.05",42559.354000
2021-01-04,"19 day ahead cum death",2021-01-23,"GM","Germany","quantile","0.05",42945.234146
2021-01-04,"20 day ahead cum death",2021-01-24,"GM","Germany","quantile","0.05",43404.808204
2021-01-04,"21 day ahead cum death",2021-01-25,"GM","Germany","quantile","0.05",43905.332541
2021-01-04,"22 day ahead cum death",2021-01-26,"GM","Germany","quantile","0.05",44342.512195
2021-01-04,"23 day ahead cum death",2021-01-27,"GM","Germany","quantile","0.05",44678.793624
2021-01-04,"24 day ahead cum death",2021-01-28,"GM","Germany","quantile","0.05",44916.881496
2021-01-04,"25 day ahead cum death",2021-01-29,"GM","Germany","quantile","0.05",45107.655017
2021-01-04,"26 day ahead cum death",2021-01-30,"GM","Germany","quantile","0.05",45454.826870
2021-01-04,"27 day ahead cum death",2021-01-31,"GM","Germany","quantile","0.05",45859.815890
2021-01-04,"28 day ahead cum death",2021-02-01,"GM","Germany","quantile","0.05",46270.801862
2021-01-04,"29 day ahead cum death",2021-02-02,"GM","Germany","quantile","0.05",46619.116469
2021-01-04,"30 day ahead cum death",2021-02-03,"GM","Germany","quantile","0.05",46897.285556
2021-01-04,"1 day ahead cum death",2021-01-05,"GM","Germany","quantile","0.1",35168.833117
2021-01-04,"2 day ahead cum death",2021-01-06,"GM","Germany","quantile","0.1",35801.070605
2021-01-04,"3 day ahead cum death",2021-01-07,"GM","Germany","quantile","0.1",36107.856367
2021-01-04,"4 day ahead cum death",2021-01-08,"GM","Germany","quantile","0.1",36453.112640
2021-01-04,"5 day ahead cum death",2021-01-09,"GM","Germany","quantile","0.1",36914.580079
2021-01-04,"6 day ahead cum death",2021-01-10,"GM","Germany","quantile","0.1",37456.568456
2021-01-04,"7 day ahead cum death",2021-01-11,"GM","Germany","quantile","0.1",38112.244791
2021-01-04,"8 day ahead cum death",2021-01-12,"GM","Germany","quantile","0.1",38812.801542
2021-01-04,"9 day ahead cum death",2021-01-13,"GM","Germany","quantile","0.1",39302.075720
2021-01-04,"10 day ahead cum death",2021-01-14,"GM","Germany","quantile","0.1",39617.614798
2021-01-04,"11 day ahead cum death",2021-01-15,"GM","Germany","quantile","0.1",39879.633628
2021-01-04,"12 day ahead cum death",2021-01-16,"GM","Germany","quantile","0.1",40307.794735
2021-01-04,"13 day ahead cum death",2021-01-17,"GM","Germany","quantile","0.1",40816.667396
2021-01-04,"14 day ahead cum death",2021-01-18,"GM","Germany","quantile","0.1",41411.098732
2021-01-04,"15 day ahead cum death",2021-01-19,"GM","Germany","quantile","0.1",41969.813984
2021-01-04,"16 day ahead cum death",2021-01-20,"GM","Germany","quantile","0.1",42377.028924
2021-01-04,"17 day ahead cum death",2021-01-21,"GM","Germany","quantile","0.1",42661.507836
2021-01-04,"18 day ahead cum death",2021-01-22,"GM","Germany","quantile","0.1",42883.971623
2021-01-04,"19 day ahead cum death",2021-01-23,"GM","Germany","quantile","0.1",43274.663515
2021-01-04,"20 day ahead cum death",2021-01-24,"GM","Germany","quantile","0.1",43740.109664
2021-01-04,"21 day ahead cum death",2021-01-25,"GM","Germany","quantile","0.1",44247.252866
2021-01-04,"22 day ahead cum death",2021-01-26,"GM","Germany","quantile","0.1",44690.942938
2021-01-04,"23 day ahead cum death",2021-01-27,"GM","Germany","quantile","0.1",45035.094776
2021-01-04,"24 day ahead cum death",2021-01-28,"GM","Germany","quantile","0.1",45280.828285
2021-01-04,"25 day ahead cum death",2021-01-29,"GM","Germany","quantile","0.1",45474.111813
2021-01-04,"26 day ahead cum death",2021-01-30,"GM","Germany","quantile","0.1",45825.825768
