"location_name","location_id","all_bed_capacity","icu_bed_capacity","all_bed_usage","icu_bed_usage","available_all_nbr","available_icu_nbr","travel_limit_start_date","travel_limit_end_date","stay_home_start_date","stay_home_end_date","educational_fac_start_date","educational_fac_end_date","any_gathering_restrict_start_date","any_gathering_restrict_end_date","any_business_start_date","any_business_end_date","all_non-ess_business_start_date","all_non-ess_business_end_date"
"Abruzzo",35507,4500,123,3494,87,1006,36,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-24,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Acre",4750,1316,44,1027,37,289,7,,,,,2020-03-16,2020-11-05,2020-03-20,,2020-03-17,,2020-03-17,2020-06-22
"Afghanistan",160,16946,1364,11660,924,5286,440,,,,,2020-03-14,,2020-03-18,,2020-03-18,,,
"Aguascalientes",4643,1414,78,986,65,428,13,,,2020-06-22,,2020-03-19,,2020-03-13,2020-09-28,2020-03-23,,2020-03-30,2020-06-15
"Alabama",523,17537,1525,11793,1050,5744,475,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30
"Alagoas",4751,5244,291,4103,250,1141,41,,,,,2020-03-17,,2020-03-16,,2020-04-07,,2020-04-07,2020-05-06
"Alaska",524,2034,169,1351,115,683,54,2020-03-28,2020-04-24,2020-03-28,2020-04-24,2020-03-16,,2020-03-24,2020-05-22,2020-03-17,2020-05-22,2020-03-28,2020-04-24
"Albania",43,7733,213,3831,71,3902,142,2020-03-14,2020-06-01,2020-03-12,2020-06-01,2020-03-08,2020-09-15,2020-03-12,,2020-03-11,,2020-03-14,2020-04-20
"Alberta",43858,,,,,,,,,,,2020-03-16,2020-09-01,2020-03-12,,2020-03-18,,,
"Algeria",139,69667,3157,44329,1958,25338,1199,,,,,2020-03-12,,2020-03-17,,2020-03-22,,,
"Amapá",4753,902,39,707,33,195,6,,,2020-05-19,,2020-03-18,,2020-03-20,,2020-03-20,,2020-04-04,2020-06-16
"Amazonas",4752,4795,266,3753,228,1042,38,2020-04-06,2020-06-01,2021-01-23,,2020-03-16,,2020-03-31,,2020-03-19,,2020-03-24,2020-06-01
"Andalucia",60357,,,,,,,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Andhra Pradesh",4841,,,,,,,2020-03-22,2020-05-21,2020-03-22,2020-06-01,2020-03-18,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-21
"Andorra",74,235,5,181,3,54,2,,,,,2020-03-16,2020-09-14,,,2020-03-13,,2020-03-16,2020-04-20
"Angola",168,22528,321,15365,215,7163,106,2020-03-27,2020-05-25,2020-03-27,2020-05-25,2020-03-24,,2020-03-24,,2020-03-27,,2020-03-27,2020-05-25
"Aragon",60358,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Argentina",97,200702,8498,148564,4592,52138,3906,2020-03-20,2020-04-27,2020-03-20,,2020-03-16,,2020-03-15,,2020-03-20,,2020-03-20,
"Arizona",525,16342,1440,10324,932,6018,508,,,2020-03-30,2020-05-16,2020-03-16,,2020-03-30,2020-05-16,2020-03-30,2020-05-16,,
"Arkansas",526,11243,914,6237,519,5006,395,,,,,2020-03-17,2020-08-24,2020-03-27,2020-06-18,2020-03-19,,,
"Armenia",33,12772,274,6963,110,5809,164,2020-04-03,2020-04-22,2020-03-24,2020-05-04,2020-03-13,,2020-03-16,,2020-03-24,,2020-03-24,2020-04-23
"Arunachal Pradesh",4842,,,,,,,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-17,,2020-03-17,2020-05-04
"Assam",4843,,,,,,,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-15,2021-02-01,2020-03-24,,2020-03-24,,2020-03-24,2020-04-21
"Asturias",60365,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Australia",71,92409,2293,73436,1727,18973,566,,,,,,,2020-03-20,2020-07-01,2020-03-21,,2020-03-21,2020-05-15
"Austria",75,64896,2535,51748,1853,13148,682,,,2020-03-16,2020-05-01,2020-03-16,2020-06-03,2020-03-10,,2020-03-16,2020-07-10,2020-03-16,2020-04-13
"Azad Jammu & Kashmir",53615,2009,59,1628,46,381,13,,,2020-03-24,2020-05-09,2020-03-13,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
"Azerbaijan",34,63745,1164,21554,230,42191,934,2020-02-29,2020-05-18,2020-04-05,2020-09-18,2020-03-03,,2020-03-24,,2020-03-14,,2020-03-14,2020-05-31
"Baden-Württemberg",60377,,,,,,,,,2020-03-21,2020-05-11,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,2020-04-20
"Bahamas",106,1136,20,713,12,423,8,2020-03-20,2020-06-01,2020-03-24,2020-06-08,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
"Bahia",4754,25205,1354,19641,1160,5564,194,,,,,2020-03-17,,2020-03-27,,,,,
