id,Country,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08
0,GM01,41942,42215,42493,42772,43052,43334,43618,43903,44191,44480,44772,45065,45360,45656,45954,46254,46555,46858,47163,47469,47777,48085,48396,48707,49020,49334,49650,49966,50284,50603,50922,51243,51565,51887,52210,52534,52859,53184,53510,53837,54164,54492,54820,55148,55476,55805,56134,56463,56793,57122,57451,57780,58109,58438,58766,59095,59422,59750,60077,60403,60729,61055,61379,61703,62026,62348,62670,62990,63310,63628,63946,64262,64577,64891,65204,65515,65825,66134,66441,66747,67051,67353,67654,67954,68252,68548,68842,69135,69426,69715,70002,70287,70570,70852,71131,71408,71684,71957,72229,72498,72765
1,GM02,57219,57508,57794,58075,58349,58618,58881,59137,59388,59634,59874,60108,60338,60562,60781,60995,61204,61409,61609,61804,61994,62181,62363,62540,62714,62883,63049,63210,63368,63522,63672,63819,63962,64102,64239,64372,64502,64629,64752,64873,64991,65106,65218,65328,65434,65538,65640,65739,65836,65930,66022,66112,66199,66284,66368,66449,66528,66605,66680,66753,66825,66894,66962,67029,67093,67156,67218,67277,67336,67393,67448,67502,67555,67606,67656,67705,67752,67798,67844,67888,67930,67972,68013,68053,68091,68129,68166,68201,68236,68270,68303,68336,68367,68398,68427,68457,68485,68512,68539,68566,68591
2,GM03,1993,2007,2021,2036,2052,2069,2086,2103,2121,2140,2160,2180,2201,2223,2246,2270,2294,2320,2347,2374,2403,2433,2464,2496,2529,2563,2599,2636,2675,2715,2756,2799,2843,2889,2936,2986,3036,3089,3143,3200,3258,3318,3380,3444,3510,3579,3649,3722,3796,3874,3953,4035,4119,4205,4294,4385,4479,4576,4674,4776,4880,4986,5095,5206,5320,5436,5555,5676,5800,5926,6054,6185,6318,6453,6590,6729,6871,7014,7158,7305,7453,7602,7753,7905,8059,8213,8368,8524,8681,8838,8996,9153,9311,9469,9627,9784,9941,10097,10253,10407,10561
3,GM04,6250,6278,6306,6333,6361,6388,6416,6443,6471,6498,6526,6553,6581,6608,6635,6662,6688,6715,6742,6768,6795,6821,6848,6874,6900,6926,6952,6978,7003,7029,7055,7080,7105,7131,7156,7181,7206,7230,7255,7280,7304,7329,7353,7377,7401,7425,7449,7473,7497,7520,7544,7567,7590,7613,7636,7659,7682,7705,7727,7750,7772,7794,7816,7838,7860,7882,7904,7925,7947,7968,7989,8010,8031,8052,8073,8094,8114,8135,8155,8175,8195,8215,8235,8255,8274,8294,8313,8333,8352,8371,8390,8409,8427,8446,8465,8483,8501,8519,8538,8556,8573
4,GM05,15431,15567,15702,15837,15970,16101,16231,16358,16485,16610,16734,16856,16977,17097,17215,17333,17450,17565,17679,17792,17904,18014,18123,18231,18338,18444,18548,18652,18754,18855,18955,19054,19152,19249,19344,19439,19532,19625,19716,19806,19896,19984,20071,20158,20243,20327,20410,20493,20574,20654,20734,20812,20890,20967,21042,21117,21191,21264,21336,21408,21478,21548,21616,21684,21751,21817,21883,21948,22011,22074,22137,22198,22259,22319,22378,22436,22494,22551,22607,22663,22718,22772,22826,22878,22931,22982,23033,23083,23133,23182,23230,23277,23324,23371,23417,23462,23507,23551,23594,23637,23679
5,GM06,16741,16835,16929,17021,17112,17200,17287,17373,17458,17542,17624,17706,17785,17864,17941,18018,18093,18167,18240,18312,18382,18452,18521,18588,18654,18720,18784,18847,18910,18971,19032,19091,19149,19207,19264,19319,19374,19428,19481,19534,19585,19635,19685,19734,19782,19830,19876,19922,19967,20011,20055,20098,20140,20182,20222,20263,20302,20341,20379,20416,20453,20490,20525,20560,20595,20629,20662,20695,20727,20759,20790,20820,20851,20880,20909,20938,20966,20994,21021,21047,21074,21099,21125,21150,21174,21198,21222,21245,21268,21290,21312,21334,21355,21376,21397,21417,21437,21457,21476,21495,21513
6,GM07,58687,58952,59211,59464,59710,59949,60182,60405,60623,60836,61042,61242,61437,61625,61808,61986,62159,62327,62490,62648,62802,62951,63095,63236,63372,63504,63633,63757,63878,63995,64109,64220,64327,64431,64532,64630,64725,64817,64907,64994,65078,65159,65239,65316,65390,65463,65533,65601,65667,65731,65793,65853,65912,65968,66023,66077,66128,66179,66227,66274,66320,66365,66408,66449,66490,66529,66567,66604,66640,66674,66708,66741,66772,66803,66833,66862,66890,66917,66943,66969,66993,67017,67041,67063,67085,67106,67127,67147,67166,67185,67203,67221,67238,67254,67270,67286,67301,67315,67330,67343,67357
7,GM08,9053,9113,9172,9230,9287,9342,9396,9449,9502,9554,9605,9654,9703,9752,9799,9846,9892,9937,9981,10024,10067,10109,10150,10191,10231,10270,10308,10346,10383,10419,10455,10490,10524,10558,10591,10624,10656,10687,10718,10748,10778,10807,10836,10864,10891,10918,10945,10971,10996,11022,11046,11070,11094,11117,11140,11163,11185,11206,11227,11248,11268,11288,11308,11327,11346,11364,11383,11400,11418,11435,11452,11468,11484,11500,11516,11531,11546,11560,11575,11589,11603,11616,11629,11642,11655,11668,11680,11692,11704,11715,11727,11738,11749,11760,11770,11780,11790,11800,11810,11819,11829
8,GM09,3154,3167,3180,3193,3206,3219,3232,3246,3260,3274,3288,3302,3317,3332,3346,3361,3377,3392,3408,3423,3439,3455,3471,3488,3505,3521,3538,3555,3573,3590,3608,3626,3644,3662,3681,3699,3718,3737,3756,3776,3795,3815,3835,3855,3875,3895,3916,3937,3958,3979,4000,4021,4043,4065,4087,4109,4131,4154,4176,4199,4222,4245,4268,4292,4315,4339,4363,4386,4411,4435,4459,4484,4508,4533,4558,4583,4608,4633,4659,4684,4710,4735,4761,4787,4813,4839,4865,4891,4917,4944,4970,4997,5023,5050,5077,5103,5130,5157,5184,5210,5237
9,GM10,4029,4046,4063,4079,4095,4110,4125,4140,4154,4169,4183,4196,4210,4223,4236,4249,4261,4274,4286,4297,4309,4320,4331,4342,4353,4363,4373,4383,4393,4403,4412,4421,4431,4439,4448,4457,4465,4473,4481,4489,4497,4504,4512,4519,4526,4533,4540,4547,4554,4560,4566,4573,4579,4585,4590,4596,4602,4607,4613,4618,4623,4628,4633,4638,4643,4648,4652,4657,4661,4665,4670,4674,4678,4682,4686,4690,4693,4697,4701,4704,4708,4711,4714,4718,4721,4724,4727,4730,4733,4736,4739,4741,4744,4747,4749,4752,4754,4757,4759,4762,4764
