id,Country,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13
0,Afghanistan,41935,42032,42129,42226,42323,42419,42516,42611,42706,42801,42896,42990,43084,43178,43271,43364,43456,43549,43640,43732,43823,43914,44004,44094,44184,44273,44362,44451,44539,44627,44715,44802,44889,44976,45062,45148,45233,45319,45404,45488,45572,45656,45740,45823,45906,45988,46070,46152,46234,46315,46396,46476,46557,46636,46716,46795,46874,46953,47031,47109,47186,47263,47340,47417,47493,47569,47645,47720,47795,47870,47944,48018,48092,48165,48238,48311,48384,48456,48528,48599,48670,48741,48812,48882,48952,49022,49091,49160,49229,49298,49366,49434,49501,49568,49635,49702,49768,49835,49900,49966,50031
1,Albania,22721,23063,23408,23756,24108,24464,24823,25186,25552,25921,26293,26669,27047,27428,27813,28200,28590,28983,29378,29775,30174,30576,30980,31386,31793,32202,32613,33025,33438,33853,34269,34685,35102,35520,35939,36357,36776,37195,37614,38033,38452,38870,39287,39704,40119,40534,40948,41360,41771,42180,42588,42994,43398,43800,44200,44597,44993,45385,45776,46163,46548,46930,47308,47684,48057,48426,48792,49155,49514,49870,50222,50570,50915,51256,51593,51926,52256,52581,52902,53220,53533,53843,54148,54449,54746,55039,55327,55612,55892,56168,56440,56708,56972,57232,57487,57739,57986,58229,58468,58703,58934
2,Algeria,60169,60579,61008,61455,61921,62406,62909,63432,63970,64522,65090,65677,66285,66916,67571,68254,68963,69697,70457,71242,72052,72889,73753,74647,75573,76534,77531,78564,79634,80741,81886,83069,84291,85555,86862,88215,89615,91066,92568,94122,95729,97391,99109,100884,102718,104615,106575,108604,110701,112870,115113,117430,119825,122299,124854,127493,130219,133034,135942,138946,142048,145252,148559,151972,155493,159127,162876,166742,170730,174843,179085,183458,187966,192612,197399,202330,207410,212640,218024,223567,229271,235141,241179,247389,253774,260338,267083,274012,281129,288436,295937,303635,311532,319631,327934,336444,345163,354093,363235,372591,382163
3,Andorra,5135,5185,5226,5260,5288,5310,5327,5340,5349,5356,5362,5366,5369,5372,5374,5375,5376,5377,5377,5378,5378,5378,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379
4,Angola,12102,12356,12613,12871,13131,13391,13653,13915,14179,14443,14707,14973,15239,15508,15778,16049,16321,16595,16869,17145,17422,17699,17978,18258,18539,18821,19104,19389,19675,19962,20249,20539,20829,21120,21413,21706,22001,22297,22594,22892,23191,23491,23793,24095,24399,24704,25010,25317,25625,25934,26244,26556,26869,27182,27497,27813,28130,28448,28767,29087,29409,29731,30055,30379,30705,31031,31359,31688,32018,32349,32681,33014,33348,33683,34019,34357,34695,35034,35375,35716,36058,36402,36746,37091,37438,37785,38134,38483,38833,39185,39537,39890,40244,40600,40956,41313,41671,42030,42390,42750,43112
5,Antigua and Barbuda,130,131,131,132,133,134,134,135,136,137,138,139,140,141,141,142,144,145,146,147,148,149,150,152,153,154,156,157,158,160,161,163,164,166,168,169,171,173,175,177,179,181,183,185,187,189,191,194,196,198,201,203,206,209,211,214,217,220,223,226,229,233,236,239,243,246,250,254,258,262,266,270,274,278,283,287,292,296,301,306,311,316,321,326,332,337,343,348,354,360,366,372,379,385,391,398,405,412,419,426,433
6,Argentina,1217028,1227441,1237608,1247533,1257212,1266624,1275760,1284624,1293235,1301607,1309746,1317648,1325304,1332709,1339870,1346795,1353491,1359962,1366212,1372245,1378064,1383677,1389090,1394307,1399333,1404172,1408831,1413313,1417624,1421770,1425756,1429587,1433267,1436802,1440196,1443454,1446582,1449583,1452462,1455223,1457871,1460409,1462842,1465174,1467408,1469549,1471600,1473563,1475444,1477245,1478968,1480618,1482198,1483709,1485155,1486539,1487862,1489128,1490340,1491498,1492605,1493665,1494677,1495646,1496571,1497456,1498302,1499111,1499883,1500622,1501328,1502002,1502647,1503263,1503851,1504413,1504950,1505463,1505954,1506422,1506869,1507296,1507705,1508094,1508467,1508822,1509162,1509486,1509796,1510092,1510375,1510644,1510902,1511148,1511383,1511607,1511822,1512026,1512222,1512408,1512586
7,Armenia,99563,101696,103825,105943,108046,110129,112186,114218,116219,118187,120123,122026,123897,125728,127513,129253,130944,132585,134175,135714,137201,138636,140019,141350,142631,143860,145039,146169,147249,148281,149266,150206,151101,151954,152764,153535,154267,154962,155621,156246,156837,157397,157927,158428,158902,159349,159772,160170,160547,160901,161236,161551,161849,162128,162392,162640,162874,163093,163300,163495,163678,163849,164011,164163,164306,164440,164566,164685,164796,164900,164998,165090,165177,165258,165334,165406,165473,165536,165595,165651,165703,165752,165798,165841,165881,165919,165955,165988,166019,166048,166076,166102,166126,166149,166170,166190,166209,166226,166243,166258,166273
8,Australia,27644,27654,27663,27672,27680,27689,27697,27705,27712,27720,27727,27734,27740,27747,27753,27759,27765,27771,27776,27782,27787,27792,27797,27802,27806,27811,27815,27819,27823,27827,27831,27835,27838,27841,27845,27848,27851,27854,27857,27860,27863,27865,27868,27871,27873,27875,27878,27880,27882,27884,27886,27888,27890,27892,27893,27895,27897,27898,27900,27901,27903,27904,27906,27907,27908,27910,27911,27912,27913,27914,27915,27916,27917,27918,27919,27920,27921,27922,27923,27923,27924,27925,27926,27926,27927,27928,27928,27929,27930,27930,27931,27931,27932,27932,27933,27933,27934,27934,27935,27935,27935
9,Austria,132515,138136,144013,150130,156474,163035,169801,176762,183892,191164,198567,206097,213739,221474,229279,237135,245015,252896,260752,268559,276294,283935,291461,298852,306092,313164,320055,326751,333240,339512,345560,351378,356961,362309,367418,372292,376931,381339,385520,389480,393223,396758,400090,403227,406178,408948,411548,413984,416265,418399,420394,422257,423995,425616,427127,428534,429844,431063,432197,433250,434229,435138,435983,436766,437493,438167,438792,439372,439909,440407,440868,441295,441691,442057,442396,442710,443001,443270,443519,443749,443962,444160,444342,444511,444667,444811,444945,445068,445182,445288,445385,445475,445559,445636,445707,445773,445834,445891,445943,445991,446035
