id,Country,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03
0,"Washington",147537,149957,152448,155003,157630,160329,163102,165957,168908,171932,175031,178195,181439,184768,188190,191713,195325,199028,202823,206711,210694,214773,218949,223220,227589,232056,236624,241294,246065,250940,255915,260993,266172,271454,276837,282322,287907,293593,299378,305263,311245,317325,323499,329768,336128,342579,349118,355743,362451,369241,376110,383054,390072,397159,404312,411529,418805,426137,433522,440954,448430,455946,463498,471082,478692,486325,493975,501640,509312,516990,524666,532338,539999,547647,555275,562880,570457,578001,585509,592976,600397,607770,615089,622351,629552,636689,643758,650756,657679,664526,671292,677976,684575,691086,697507,703836,710072,716213,722256,728202,734048
1,"Illinois",664620,675770,686798,697694,708449,719056,729543,739893,750077,760106,769974,779680,789221,798598,807805,816839,825700,834386,842897,851231,859390,867372,875177,882806,890259,897538,904642,911574,918335,924926,931349,937607,943700,949631,955403,961017,966477,971784,976941,981952,986818,991543,996129,1000579,1004897,1009084,1013144,1017080,1020894,1024590,1028171,1031638,1034996,1038247,1041394,1044439,1047385,1050236,1052993,1055659,1058237,1060730,1063139,1065468,1067718,1069893,1071993,1074022,1075982,1077875,1079703,1081468,1083172,1084816,1086404,1087936,1089415,1090842,1092219,1093547,1094829,1096065,1097258,1098408,1099517,1100587,1101619,1102614,1103573,1104498,1105389,1106249,1107078,1107876,1108646,1109389,1110104,1110793,1111458,1112098,1112715
2,"California",1128219,1140999,1154273,1168047,1182324,1197101,1212381,1228146,1244399,1261150,1278426,1296236,1314606,1333566,1353147,1373371,1394223,1415711,1437844,1460629,1484076,1508194,1532994,1558489,1584690,1611607,1639250,1667628,1696746,1726608,1757215,1788571,1820676,1853533,1887142,1921501,1956609,1992463,2029057,2066386,2104441,2143212,2182688,2222857,2263703,2305211,2347364,2390142,2433526,2477493,2522018,2567079,2612646,2658693,2705189,2752103,2799404,2847057,2895029,2943284,2991785,3040495,3089377,3138392,3187501,3236665,3285844,3335000,3384091,3433080,3481926,3530592,3579040,3627231,3675130,3722701,3769908,3816719,3863100,3909022,3954452,3999364,4043730,4087525,4130724,4173306,4215249,4256534,4297144,4337063,4376276,4414771,4452537,4489565,4525845,4561373,4596143,4630151,4663395,4695874,4727590
3,"Arizona",302324,305782,309302,312899,316572,320307,324112,328001,331969,336013,340135,344337,348617,352979,357424,361951,366562,371256,376035,380899,385850,390887,396011,401223,406523,411911,417388,422953,428609,434353,440188,446111,452125,458228,464421,470703,477074,483534,490083,496719,503443,510253,517150,524132,531198,538348,545581,552895,560289,567763,575314,582942,590645,598420,606268,614185,622171,630222,638338,646516,654754,663050,671402,679806,688262,696766,705315,713908,722541,731212,739919,748657,757425,766220,775038,783876,792733,801603,810486,819377,828273,837172,846070,854965,863852,872730,881594,890443,899272,908080,916862,925617,934340,943030,951684,960298,968871,977398,985879,994309,1002688
4,"Massachusetts",208623,211169,213708,216237,218753,221255,223748,226236,228713,231176,233626,236062,238483,240890,243281,245656,248013,250352,252673,254975,257258,259521,261763,263984,266183,268361,270516,272649,274758,276843,278905,280943,282956,284945,286909,288847,290760,292648,294510,296347,298158,299942,301701,303434,305140,306821,308476,310104,311707,313284,314835,316360,317860,319335,320784,322207,323606,324980,326330,327654,328955,330232,331485,332714,333920,335103,336263,337400,338515,339608,340679,341729,342758,343766,344753,345719,346666,347593,348500,349389,350258,351109,351941,352756,353553,354333,355095,355841,356570,357283,357980,358662,359328,359979,360615,361237,361845,362439,363019,363586,364139
5,"Wisconsin",379693,385748,391713,397584,403356,409032,414622,420110,425488,430762,435929,440990,445945,450796,455538,460172,464697,469116,473428,477634,481735,485730,489622,493411,497098,500684,504172,507562,510856,514055,517161,520175,523100,525937,528688,531354,533938,536441,538865,541212,543484,545682,547809,549867,551856,553780,555639,557436,559172,560849,562468,564032,565543,567000,568407,569765,571075,572339,573558,574734,575868,576961,578015,579032,580011,580955,581864,582741,583585,584399,585183,585937,586664,587365,588039,588688,589313,589915,590494,591052,591589,592106,592603,593082,593542,593986,594412,594823,595218,595598,595963,596315,596653,596979,597292,597593,597883,598161,598429,598687,598935
6,"Texas",1159863,1170051,1180171,1190222,1200215,1210130,1219978,1229736,1239344,1248862,1258288,1267618,1276849,1285976,1294996,1303907,1312713,1321415,1330009,1338495,1346872,1355140,1363298,1371347,1379287,1387116,1394835,1402444,1409943,1417332,1424612,1431782,1438843,1445795,1452639,1459376,1466004,1472527,1478943,1485253,1491459,1497561,1503559,1509455,1515249,1520943,1526537,1532032,1537429,1542729,1547934,1553043,1558059,1562982,1567813,1572553,1577205,1581768,1586243,1590633,1594938,1599159,1603297,1607354,1611331,1615229,1619049,1622792,1626460,1630054,1633574,1637022,1640400,1643707,1646947,1650119,1653224,1656265,1659242,1662155,1665007,1667799,1670530,1673204,1675820,1678379,1680883,1683333,1685730,1688074,1690367,1692610,1694804,1696949,1699047,1701098,1703104,1705065,1706982,1708857,1710689
7,"Nebraska",115921,118420,120951,123512,126100,128713,131355,134031,136745,139500,142299,145145,148045,151005,154028,157112,160237,163404,166615,169870,173170,176517,179911,183353,186843,190381,193966,197598,201276,204997,208761,212566,216413,220301,224230,228198,232206,236251,240333,244452,248604,252790,257008,261257,265535,269840,274173,278531,282913,287317,291743,296187,300650,305128,309621,314126,318643,323168,327702,332241,336785,341331,345877,350423,354965,359503,364035,368559,373073,377575,382064,386538,390996,395435,399855,404254,408629,412981,417306,421604,425874,430113,434321,438497,442638,446745,450815,454849,458844,462799,466715,470589,474421,478211,481957,485659,489316,492928,496494,500013,503485
8,"Utah",179420,182750,186092,189438,192780,196123,199453,202799,206155,209503,212842,216168,219481,222780,226063,229326,232566,235780,238966,242123,245248,248340,251395,254413,257390,260327,263221,266070,268874,271631,274341,277001,279612,282172,284682,287140,289545,291899,294200,296448,298643,300786,302877,304915,306901,308835,310718,312550,314332,316065,317749,319384,320972,322512,324007,325457,326863,328225,329544,330822,332059,333256,334415,335535,336618,337666,338678,339656,340600,341512,342393,343243,344064,344855,345619,346356,347066,347751,348411,349047,349660,350251,350820,351368,351896,352404,352893,353365,353818,354255,354675,355079,355468,355842,356202,356548,356881,357201,357509,357805,358090
9,"Oregon",66333,67585,68870,70188,71539,72922,74337,75784,77259,78765,80299,81863,83458,85087,86752,88451,90181,91943,93736,95559,97411,99292,101202,103139,105104,107097,109115,111159,113228,115321,117435,119571,121726,123901,126093,128301,130524,132761,135011,137271,139541,141818,144102,146392,148684,150978,153272,155565,157856,160141,162421,164694,166957,169210,171451,173679,175892,178089,180269,182430,184571,186691,188788,190863,192913,194939,196938,198910,200854,202770,204657,206514,208340,210136,211901,213634,215335,217004,218641,220245,221816,223354,224860,226333,227774,229181,230557,231900,233211,234491,235738,236955,238141,239297,240422,241518,242585,243623,244632,245614,246569
