forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-10-12,7 day ahead cum death,2020-10-19,GM,Germany,point,NA,9671.11
2020-10-12,97 day ahead cum death,2021-01-17,GM,Germany,point,NA,42758.33
2020-10-12,98 day ahead cum death,2021-01-18,GM,Germany,point,NA,43951.91
2020-10-12,99 day ahead cum death,2021-01-19,GM,Germany,point,NA,45159.23
2020-10-12,100 day ahead cum death,2021-01-20,GM,Germany,point,NA,46378.87
2020-10-12,101 day ahead cum death,2021-01-21,GM,Germany,point,NA,47610.56
2020-10-12,102 day ahead cum death,2021-01-22,GM,Germany,point,NA,48853.2
2020-10-12,103 day ahead cum death,2021-01-23,GM,Germany,point,NA,50106.17
2020-10-12,104 day ahead cum death,2021-01-24,GM,Germany,point,NA,51369.92
2020-10-12,105 day ahead cum death,2021-01-25,GM,Germany,point,NA,52643.58
2020-10-12,106 day ahead cum death,2021-01-26,GM,Germany,point,NA,53925.37
2020-10-12,8 day ahead cum death,2020-10-20,GM,Germany,point,NA,9685.4
2020-10-12,107 day ahead cum death,2021-01-27,GM,Germany,point,NA,55214.69
2020-10-12,108 day ahead cum death,2021-01-28,GM,Germany,point,NA,56510.84
2020-10-12,109 day ahead cum death,2021-01-29,GM,Germany,point,NA,57812.9
2020-10-12,110 day ahead cum death,2021-01-30,GM,Germany,point,NA,59120.82
2020-10-12,111 day ahead cum death,2021-01-31,GM,Germany,point,NA,60434.48
2020-10-12,112 day ahead cum death,2021-02-01,GM,Germany,point,NA,61753.23
2020-10-12,9 day ahead cum death,2020-10-21,GM,Germany,point,NA,9700.121
2020-10-12,10 day ahead cum death,2020-10-22,GM,Germany,point,NA,9715.315
2020-10-12,11 day ahead cum death,2020-10-23,GM,Germany,point,NA,9731.015
2020-10-12,12 day ahead cum death,2020-10-24,GM,Germany,point,NA,9747.256
2020-10-12,13 day ahead cum death,2020-10-25,GM,Germany,point,NA,9764.074
2020-10-12,14 day ahead cum death,2020-10-26,GM,Germany,point,NA,9781.517
2020-10-12,15 day ahead cum death,2020-10-27,GM,Germany,point,NA,9799.633
2020-10-12,16 day ahead cum death,2020-10-28,GM,Germany,point,NA,9818.477
2020-10-12,17 day ahead cum death,2020-10-29,GM,Germany,point,NA,9838.114
2020-10-12,18 day ahead cum death,2020-10-30,GM,Germany,point,NA,9858.605
2020-10-12,19 day ahead cum death,2020-10-31,GM,Germany,point,NA,9880.007
2020-10-12,20 day ahead cum death,2020-11-01,GM,Germany,point,NA,9902.386
2020-10-12,21 day ahead cum death,2020-11-02,GM,Germany,point,NA,9925.821
2020-10-12,22 day ahead cum death,2020-11-03,GM,Germany,point,NA,9950.395
2020-10-12,23 day ahead cum death,2020-11-04,GM,Germany,point,NA,9976.205
2020-10-12,24 day ahead cum death,2020-11-05,GM,Germany,point,NA,10003.36
2020-10-12,25 day ahead cum death,2020-11-06,GM,Germany,point,NA,10031.98
2020-10-12,26 day ahead cum death,2020-11-07,GM,Germany,point,NA,10062.16
2020-10-12,27 day ahead cum death,2020-11-08,GM,Germany,point,NA,10094.05
2020-10-12,28 day ahead cum death,2020-11-09,GM,Germany,point,NA,10127.78
2020-10-12,29 day ahead cum death,2020-11-10,GM,Germany,point,NA,10163.53
2020-10-12,30 day ahead cum death,2020-11-11,GM,Germany,point,NA,10201.48
2020-10-12,31 day ahead cum death,2020-11-12,GM,Germany,point,NA,10241.84
2020-10-12,32 day ahead cum death,2020-11-13,GM,Germany,point,NA,10284.84
2020-10-12,33 day ahead cum death,2020-11-14,GM,Germany,point,NA,10330.69
2020-10-12,34 day ahead cum death,2020-11-15,GM,Germany,point,NA,10379.68
2020-10-12,35 day ahead cum death,2020-11-16,GM,Germany,point,NA,10432.1
2020-10-12,36 day ahead cum death,2020-11-17,GM,Germany,point,NA,10488.27
2020-10-12,1 day ahead cum death,2020-10-13,GM,Germany,point,NA,9592.811
2020-10-12,37 day ahead cum death,2020-11-18,GM,Germany,point,NA,10548.49
2020-10-12,38 day ahead cum death,2020-11-19,GM,Germany,point,NA,10613.13
2020-10-12,39 day ahead cum death,2020-11-20,GM,Germany,point,NA,10682.54
2020-10-12,40 day ahead cum death,2020-11-21,GM,Germany,point,NA,10757.09
2020-10-12,41 day ahead cum death,2020-11-22,GM,Germany,point,NA,10837.19
2020-10-12,42 day ahead cum death,2020-11-23,GM,Germany,point,NA,10923.27
2020-10-12,43 day ahead cum death,2020-11-24,GM,Germany,point,NA,11015.82
2020-10-12,44 day ahead cum death,2020-11-25,GM,Germany,point,NA,11115.38
2020-10-12,45 day ahead cum death,2020-11-26,GM,Germany,point,NA,11222.59
2020-10-12,46 day ahead cum death,2020-11-27,GM,Germany,point,NA,11338.1
2020-10-12,2 day ahead cum death,2020-10-14,GM,Germany,point,NA,9605.096
2020-10-12,47 day ahead cum death,2020-11-28,GM,Germany,point,NA,11462.58
2020-10-12,48 day ahead cum death,2020-11-29,GM,Germany,point,NA,11596.63
2020-10-12,49 day ahead cum death,2020-11-30,GM,Germany,point,NA,11741.06
2020-10-12,50 day ahead cum death,2020-12-01,GM,Germany,point,NA,11896.79
2020-10-12,51 day ahead cum death,2020-12-02,GM,Germany,point,NA,12064.41
2020-10-12,52 day ahead cum death,2020-12-03,GM,Germany,point,NA,12244.75
2020-10-12,53 day ahead cum death,2020-12-04,GM,Germany,point,NA,12438.77
2020-10-12,54 day ahead cum death,2020-12-05,GM,Germany,point,NA,12647.28
2020-10-12,55 day ahead cum death,2020-12-06,GM,Germany,point,NA,12870.74
2020-10-12,56 day ahead cum death,2020-12-07,GM,Germany,point,NA,13109.81
2020-10-12,3 day ahead cum death,2020-10-15,GM,Germany,point,NA,9617.658
2020-10-12,57 day ahead cum death,2020-12-08,GM,Germany,point,NA,13365.66
2020-10-12,58 day ahead cum death,2020-12-09,GM,Germany,point,NA,13638.68
2020-10-12,59 day ahead cum death,2020-12-10,GM,Germany,point,NA,13929.46
2020-10-12,60 day ahead cum death,2020-12-11,GM,Germany,point,NA,14239.39
2020-10-12,61 day ahead cum death,2020-12-12,GM,Germany,point,NA,14569.5
2020-10-12,62 day ahead cum death,2020-12-13,GM,Germany,point,NA,14920.2
2020-10-12,63 day ahead cum death,2020-12-14,GM,Germany,point,NA,15292.63
2020-10-12,64 day ahead cum death,2020-12-15,GM,Germany,point,NA,15687.92
2020-10-12,65 day ahead cum death,2020-12-16,GM,Germany,point,NA,16106.22
2020-10-12,66 day ahead cum death,2020-12-17,GM,Germany,point,NA,16547.78
2020-10-12,4 day ahead cum death,2020-10-16,GM,Germany,point,NA,9630.519
2020-10-12,67 day ahead cum death,2020-12-18,GM,Germany,point,NA,17013.87
2020-10-12,68 day ahead cum death,2020-12-19,GM,Germany,point,NA,17504.81
2020-10-12,69 day ahead cum death,2020-12-20,GM,Germany,point,NA,18020.5
2020-10-12,70 day ahead cum death,2020-12-21,GM,Germany,point,NA,18561.81
2020-10-12,71 day ahead cum death,2020-12-22,GM,Germany,point,NA,19129.11
2020-10-12,72 day ahead cum death,2020-12-23,GM,Germany,point,NA,19723.22
2020-10-12,73 day ahead cum death,2020-12-24,GM,Germany,point,NA,20344.37
2020-10-12,74 day ahead cum death,2020-12-25,GM,Germany,point,NA,20992.19
2020-10-12,75 day ahead cum death,2020-12-26,GM,Germany,point,NA,21667.03
2020-10-12,76 day ahead cum death,2020-12-27,GM,Germany,point,NA,22368.91
2020-10-12,5 day ahead cum death,2020-10-17,GM,Germany,point,NA,9643.698
2020-10-12,77 day ahead cum death,2020-12-28,GM,Germany,point,NA,23097.69
2020-10-12,78 day ahead cum death,2020-12-29,GM,Germany,point,NA,23852.76
2020-10-12,79 day ahead cum death,2020-12-30,GM,Germany,point,NA,24633.48
2020-10-12,80 day ahead cum death,2020-12-31,GM,Germany,point,NA,25440.26
2020-10-12,81 day ahead cum death,2021-01-01,GM,Germany,point,NA,26272.79
2020-10-12,82 day ahead cum death,2021-01-02,GM,Germany,point,NA,27131.03
2020-10-12,83 day ahead cum death,2021-01-03,GM,Germany,point,NA,28015.5
2020-10-12,84 day ahead cum death,2021-01-04,GM,Germany,point,NA,28924.85
2020-10-12,85 day ahead cum death,2021-01-05,GM,Germany,point,NA,29858.32
2020-10-12,86 day ahead cum death,2021-01-06,GM,Germany,point,NA,30816.05
2020-10-12,6 day ahead cum death,2020-10-18,GM,Germany,point,NA,9657.219
2020-10-12,87 day ahead cum death,2021-01-07,GM,Germany,point,NA,31797.84
2020-10-12,88 day ahead cum death,2021-01-08,GM,Germany,point,NA,32803.49
2020-10-12,89 day ahead cum death,2021-01-09,GM,Germany,point,NA,33831.47
2020-10-12,90 day ahead cum death,2021-01-10,GM,Germany,point,NA,34880.06
2020-10-12,91 day ahead cum death,2021-01-11,GM,Germany,point,NA,35949.31
2020-10-12,92 day ahead cum death,2021-01-12,GM,Germany,point,NA,37039.24
2020-10-12,93 day ahead cum death,2021-01-13,GM,Germany,point,NA,38148.9
2020-10-12,94 day ahead cum death,2021-01-14,GM,Germany,point,NA,39276.31
2020-10-12,95 day ahead cum death,2021-01-15,GM,Germany,point,NA,40420.05
2020-10-12,96 day ahead cum death,2021-01-16,GM,Germany,point,NA,41580.66
2020-10-12,7 day ahead cum death,2020-10-19,GM,Germany,quantile,0.025,9645.147
2020-10-12,97 day ahead cum death,2021-01-17,GM,Germany,quantile,0.025,18260.58
2020-10-12,98 day ahead cum death,2021-01-18,GM,Germany,quantile,0.025,18615.93
2020-10-12,99 day ahead cum death,2021-01-19,GM,Germany,quantile,0.025,18983.62
2020-10-12,100 day ahead cum death,2021-01-20,GM,Germany,quantile,0.025,19369.47
2020-10-12,101 day ahead cum death,2021-01-21,GM,Germany,quantile,0.025,19771.48
2020-10-12,102 day ahead cum death,2021-01-22,GM,Germany,quantile,0.025,20173.46
2020-10-12,103 day ahead cum death,2021-01-23,GM,Germany,quantile,0.025,20580.25
2020-10-12,104 day ahead cum death,2021-01-24,GM,Germany,quantile,0.025,21013.04
2020-10-12,105 day ahead cum death,2021-01-25,GM,Germany,quantile,0.025,21398.36
2020-10-12,106 day ahead cum death,2021-01-26,GM,Germany,quantile,0.025,21759.42
2020-10-12,8 day ahead cum death,2020-10-20,GM,Germany,quantile,0.025,9656.984
2020-10-12,107 day ahead cum death,2021-01-27,GM,Germany,quantile,0.025,22192.2
2020-10-12,108 day ahead cum death,2021-01-28,GM,Germany,quantile,0.025,22597.86
2020-10-12,109 day ahead cum death,2021-01-29,GM,Germany,quantile,0.025,23010.92
2020-10-12,110 day ahead cum death,2021-01-30,GM,Germany,quantile,0.025,23431.58
2020-10-12,111 day ahead cum death,2021-01-31,GM,Germany,quantile,0.025,23859.99
2020-10-12,112 day ahead cum death,2021-02-01,GM,Germany,quantile,0.025,24302.77
2020-10-12,9 day ahead cum death,2020-10-21,GM,Germany,quantile,0.025,9668.718
2020-10-12,10 day ahead cum death,2020-10-22,GM,Germany,quantile,0.025,9680.591
2020-10-12,11 day ahead cum death,2020-10-23,GM,Germany,quantile,0.025,9692.834
2020-10-12,12 day ahead cum death,2020-10-24,GM,Germany,quantile,0.025,9705.393
2020-10-12,13 day ahead cum death,2020-10-25,GM,Germany,quantile,0.025,9718.362
2020-10-12,14 day ahead cum death,2020-10-26,GM,Germany,quantile,0.025,9732.104
2020-10-12,15 day ahead cum death,2020-10-27,GM,Germany,quantile,0.025,9745.672
2020-10-12,16 day ahead cum death,2020-10-28,GM,Germany,quantile,0.025,9759.447
2020-10-12,17 day ahead cum death,2020-10-29,GM,Germany,quantile,0.025,9773.645
2020-10-12,18 day ahead cum death,2020-10-30,GM,Germany,quantile,0.025,9788.556
2020-10-12,19 day ahead cum death,2020-10-31,GM,Germany,quantile,0.025,9803.445
2020-10-12,20 day ahead cum death,2020-11-01,GM,Germany,quantile,0.025,9818.461
2020-10-12,21 day ahead cum death,2020-11-02,GM,Germany,quantile,0.025,9834.706
2020-10-12,22 day ahead cum death,2020-11-03,GM,Germany,quantile,0.025,9851.679
2020-10-12,23 day ahead cum death,2020-11-04,GM,Germany,quantile,0.025,9868.983
2020-10-12,24 day ahead cum death,2020-11-05,GM,Germany,quantile,0.025,9887.139
2020-10-12,25 day ahead cum death,2020-11-06,GM,Germany,quantile,0.025,9905.475
2020-10-12,26 day ahead cum death,2020-11-07,GM,Germany,quantile,0.025,9923.577
2020-10-12,27 day ahead cum death,2020-11-08,GM,Germany,quantile,0.025,9942.675
2020-10-12,28 day ahead cum death,2020-11-09,GM,Germany,quantile,0.025,9962.086
2020-10-12,29 day ahead cum death,2020-11-10,GM,Germany,quantile,0.025,9982.195
2020-10-12,30 day ahead cum death,2020-11-11,GM,Germany,quantile,0.025,10003.04
2020-10-12,31 day ahead cum death,2020-11-12,GM,Germany,quantile,0.025,10024.68
2020-10-12,32 day ahead cum death,2020-11-13,GM,Germany,quantile,0.025,10048.94
2020-10-12,33 day ahead cum death,2020-11-14,GM,Germany,quantile,0.025,10074.53
2020-10-12,34 day ahead cum death,2020-11-15,GM,Germany,quantile,0.025,10098.07
2020-10-12,35 day ahead cum death,2020-11-16,GM,Germany,quantile,0.025,10122.03
2020-10-12,36 day ahead cum death,2020-11-17,GM,Germany,quantile,0.025,10147.3
2020-10-12,1 day ahead cum death,2020-10-13,GM,Germany,quantile,0.025,9580.251
2020-10-12,37 day ahead cum death,2020-11-18,GM,Germany,quantile,0.025,10176.67
2020-10-12,38 day ahead cum death,2020-11-19,GM,Germany,quantile,0.025,10203.74
2020-10-12,39 day ahead cum death,2020-11-20,GM,Germany,quantile,0.025,10232.94
2020-10-12,40 day ahead cum death,2020-11-21,GM,Germany,quantile,0.025,10263.5
2020-10-12,41 day ahead cum death,2020-11-22,GM,Germany,quantile,0.025,10296.18
2020-10-12,42 day ahead cum death,2020-11-23,GM,Germany,quantile,0.025,10330.38
2020-10-12,43 day ahead cum death,2020-11-24,GM,Germany,quantile,0.025,10366.19
2020-10-12,44 day ahead cum death,2020-11-25,GM,Germany,quantile,0.025,10403.62
2020-10-12,45 day ahead cum death,2020-11-26,GM,Germany,quantile,0.025,10442.79
2020-10-12,46 day ahead cum death,2020-11-27,GM,Germany,quantile,0.025,10490.4
2020-10-12,2 day ahead cum death,2020-10-14,GM,Germany,quantile,0.025,9590.688
2020-10-12,47 day ahead cum death,2020-11-28,GM,Germany,quantile,0.025,10541.93
2020-10-12,48 day ahead cum death,2020-11-29,GM,Germany,quantile,0.025,10583.13
2020-10-12,49 day ahead cum death,2020-11-30,GM,Germany,quantile,0.025,10625.9
2020-10-12,50 day ahead cum death,2020-12-01,GM,Germany,quantile,0.025,10670.34
2020-10-12,51 day ahead cum death,2020-12-02,GM,Germany,quantile,0.025,10719.97
2020-10-12,52 day ahead cum death,2020-12-03,GM,Germany,quantile,0.025,10773.01
2020-10-12,53 day ahead cum death,2020-12-04,GM,Germany,quantile,0.025,10829.6
2020-10-12,54 day ahead cum death,2020-12-05,GM,Germany,quantile,0.025,10888.9
2020-10-12,55 day ahead cum death,2020-12-06,GM,Germany,quantile,0.025,10950.99
2020-10-12,56 day ahead cum death,2020-12-07,GM,Germany,quantile,0.025,11016.06
2020-10-12,3 day ahead cum death,2020-10-15,GM,Germany,quantile,0.025,9601.239
2020-10-12,57 day ahead cum death,2020-12-08,GM,Germany,quantile,0.025,11082.34
2020-10-12,58 day ahead cum death,2020-12-09,GM,Germany,quantile,0.025,11148.28
2020-10-12,59 day ahead cum death,2020-12-10,GM,Germany,quantile,0.025,11217.01
2020-10-12,60 day ahead cum death,2020-12-11,GM,Germany,quantile,0.025,11288.68
2020-10-12,61 day ahead cum death,2020-12-12,GM,Germany,quantile,0.025,11363.43
2020-10-12,62 day ahead cum death,2020-12-13,GM,Germany,quantile,0.025,11441.4
2020-10-12,63 day ahead cum death,2020-12-14,GM,Germany,quantile,0.025,11527.57
2020-10-12,64 day ahead cum death,2020-12-15,GM,Germany,quantile,0.025,11622.67
2020-10-12,65 day ahead cum death,2020-12-16,GM,Germany,quantile,0.025,11719.96
2020-10-12,66 day ahead cum death,2020-12-17,GM,Germany,quantile,0.025,11809.76
2020-10-12,4 day ahead cum death,2020-10-16,GM,Germany,quantile,0.025,9611.866
2020-10-12,67 day ahead cum death,2020-12-18,GM,Germany,quantile,0.025,11901.74
2020-10-12,68 day ahead cum death,2020-12-19,GM,Germany,quantile,0.025,11995.34
2020-10-12,69 day ahead cum death,2020-12-20,GM,Germany,quantile,0.025,12097.19
2020-10-12,70 day ahead cum death,2020-12-21,GM,Germany,quantile,0.025,12206.96
2020-10-12,71 day ahead cum death,2020-12-22,GM,Germany,quantile,0.025,12316.34
2020-10-12,72 day ahead cum death,2020-12-23,GM,Germany,quantile,0.025,12430.29
2020-10-12,73 day ahead cum death,2020-12-24,GM,Germany,quantile,0.025,12559.28
2020-10-12,74 day ahead cum death,2020-12-25,GM,Germany,quantile,0.025,12705.94
2020-10-12,75 day ahead cum death,2020-12-26,GM,Germany,quantile,0.025,12860.6
2020-10-12,76 day ahead cum death,2020-12-27,GM,Germany,quantile,0.025,13017.3
2020-10-12,5 day ahead cum death,2020-10-17,GM,Germany,quantile,0.025,9622.662
2020-10-12,77 day ahead cum death,2020-12-28,GM,Germany,quantile,0.025,13154.85
2020-10-12,78 day ahead cum death,2020-12-29,GM,Germany,quantile,0.025,13301.9
2020-10-12,79 day ahead cum death,2020-12-30,GM,Germany,quantile,0.025,13495.61
