"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-16,"1 wk ahead inc case",2020-08-22,"GM","GM","point",NA,8211
2020-08-16,"2 wk ahead inc case",2020-08-29,"GM","GM","point",NA,9206
2020-08-16,"3 wk ahead inc case",2020-09-05,"GM","GM","point",NA,10276
2020-08-16,"4 wk ahead inc case",2020-09-12,"GM","GM","point",NA,11415
2020-08-16,"5 wk ahead inc case",2020-09-19,"GM","GM","point",NA,12613
2020-08-16,"6 wk ahead inc case",2020-09-26,"GM","GM","point",NA,13854
2020-08-16,"7 wk ahead inc case",2020-10-03,"GM","GM","point",NA,15120
2020-08-16,"8 wk ahead inc case",2020-10-10,"GM","GM","point",NA,16382
2020-08-16,"9 wk ahead inc case",2020-10-17,"GM","GM","point",NA,17616
2020-08-16,"10 wk ahead inc case",2020-10-24,"GM","GM","point",NA,18785
2020-08-16,"11 wk ahead inc case",2020-10-31,"GM","GM","point",NA,19855
2020-08-16,"12 wk ahead inc case",2020-11-07,"GM","GM","point",NA,20791
2020-08-16,"13 wk ahead inc case",2020-11-14,"GM","GM","point",NA,21557
2020-08-16,"14 wk ahead inc case",2020-11-21,"GM","GM","point",NA,22125
2020-08-16,"0 wk ahead cum case",2020-08-15,"GM","GM","observed",NA,222828
2020-08-16,"1 wk ahead cum case",2020-08-22,"GM","GM","point",NA,231039
2020-08-16,"2 wk ahead cum case",2020-08-29,"GM","GM","point",NA,240245
2020-08-16,"3 wk ahead cum case",2020-09-05,"GM","GM","point",NA,250521
2020-08-16,"4 wk ahead cum case",2020-09-12,"GM","GM","point",NA,261936
2020-08-16,"5 wk ahead cum case",2020-09-19,"GM","GM","point",NA,274549
2020-08-16,"6 wk ahead cum case",2020-09-26,"GM","GM","point",NA,288403
2020-08-16,"7 wk ahead cum case",2020-10-03,"GM","GM","point",NA,303523
2020-08-16,"8 wk ahead cum case",2020-10-10,"GM","GM","point",NA,319905
2020-08-16,"9 wk ahead cum case",2020-10-17,"GM","GM","point",NA,337521
2020-08-16,"10 wk ahead cum case",2020-10-24,"GM","GM","point",NA,356306
2020-08-16,"11 wk ahead cum case",2020-10-31,"GM","GM","point",NA,376161
2020-08-16,"12 wk ahead cum case",2020-11-07,"GM","GM","point",NA,396952
2020-08-16,"13 wk ahead cum case",2020-11-14,"GM","GM","point",NA,418509
2020-08-16,"14 wk ahead cum case",2020-11-21,"GM","GM","point",NA,440634
2020-08-16,"0 day ahead inc case",2020-08-16,"GM","GM","observed",NA,1110
2020-08-16,"1 day ahead inc case",2020-08-17,"GM","GM","point",NA,1136
2020-08-16,"2 day ahead inc case",2020-08-18,"GM","GM","point",NA,1156
2020-08-16,"3 day ahead inc case",2020-08-19,"GM","GM","point",NA,1175
2020-08-16,"4 day ahead inc case",2020-08-20,"GM","GM","point",NA,1194
2020-08-16,"5 day ahead inc case",2020-08-21,"GM","GM","point",NA,1211
2020-08-16,"6 day ahead inc case",2020-08-22,"GM","GM","point",NA,1229
2020-08-16,"7 day ahead inc case",2020-08-23,"GM","GM","point",NA,1253
2020-08-16,"8 day ahead inc case",2020-08-24,"GM","GM","point",NA,1273
