"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-20,"1 wk ahead inc case",2020-08-29,"PL","Poland","point",NA,5310
2020-08-20,"2 wk ahead inc case",2020-09-05,"PL","Poland","point",NA,5586
2020-08-20,"3 wk ahead inc case",2020-09-12,"PL","Poland","point",NA,5863
2020-08-20,"4 wk ahead inc case",2020-09-19,"PL","Poland","point",NA,6139
2020-08-20,"5 wk ahead inc case",2020-09-26,"PL","Poland","point",NA,6403
2020-08-20,"6 wk ahead inc case",2020-10-03,"PL","Poland","point",NA,6657
2020-08-20,"7 wk ahead inc case",2020-10-10,"PL","Poland","point",NA,6896
2020-08-20,"8 wk ahead inc case",2020-10-17,"PL","Poland","point",NA,7117
2020-08-20,"9 wk ahead inc case",2020-10-24,"PL","Poland","point",NA,7318
2020-08-20,"10 wk ahead inc case",2020-10-31,"PL","Poland","point",NA,7495
2020-08-20,"11 wk ahead inc case",2020-11-07,"PL","Poland","point",NA,7644
2020-08-20,"12 wk ahead inc case",2020-11-14,"PL","Poland","point",NA,7765
2020-08-20,"13 wk ahead inc case",2020-11-21,"PL","Poland","point",NA,7855
2020-08-20,"0 wk ahead cum case",2020-08-22,"PL","Poland","point",NA,60826
2020-08-20,"1 wk ahead cum case",2020-08-29,"PL","Poland","point",NA,66136
2020-08-20,"2 wk ahead cum case",2020-09-05,"PL","Poland","point",NA,71722
2020-08-20,"3 wk ahead cum case",2020-09-12,"PL","Poland","point",NA,77585
2020-08-20,"4 wk ahead cum case",2020-09-19,"PL","Poland","point",NA,83724
2020-08-20,"5 wk ahead cum case",2020-09-26,"PL","Poland","point",NA,90127
2020-08-20,"6 wk ahead cum case",2020-10-03,"PL","Poland","point",NA,96784
2020-08-20,"7 wk ahead cum case",2020-10-10,"PL","Poland","point",NA,103680
2020-08-20,"8 wk ahead cum case",2020-10-17,"PL","Poland","point",NA,110797
2020-08-20,"9 wk ahead cum case",2020-10-24,"PL","Poland","point",NA,118115
2020-08-20,"10 wk ahead cum case",2020-10-31,"PL","Poland","point",NA,125610
2020-08-20,"11 wk ahead cum case",2020-11-07,"PL","Poland","point",NA,133254
2020-08-20,"12 wk ahead cum case",2020-11-14,"PL","Poland","point",NA,141019
2020-08-20,"13 wk ahead cum case",2020-11-21,"PL","Poland","point",NA,148874
2020-08-20,"0 day ahead inc case",2020-08-20,"PL","Poland","observed",NA,733
2020-08-20,"1 day ahead inc case",2020-08-21,"PL","Poland","point",NA,739
2020-08-20,"2 day ahead inc case",2020-08-22,"PL","Poland","point",NA,743
2020-08-20,"3 day ahead inc case",2020-08-23,"PL","Poland","point",NA,747
2020-08-20,"4 day ahead inc case",2020-08-24,"PL","Poland","point",NA,751
2020-08-20,"5 day ahead inc case",2020-08-25,"PL","Poland","point",NA,754
2020-08-20,"6 day ahead inc case",2020-08-26,"PL","Poland","point",NA,758
2020-08-20,"7 day ahead inc case",2020-08-27,"PL","Poland","point",NA,762
2020-08-20,"8 day ahead inc case",2020-08-28,"PL","Poland","point",NA,767
2020-08-20,"9 day ahead inc case",2020-08-29,"PL","Poland","point",NA,771
2020-08-20,"10 day ahead inc case",2020-08-30,"PL","Poland","point",NA,777
2020-08-20,"11 day ahead inc case",2020-08-31,"PL","Poland","point",NA,785
2020-08-20,"12 day ahead inc case",2020-09-01,"PL","Poland","point",NA,792
2020-08-20,"13 day ahead inc case",2020-09-02,"PL","Poland","point",NA,799
2020-08-20,"14 day ahead inc case",2020-09-03,"PL","Poland","point",NA,806
2020-08-20,"15 day ahead inc case",2020-09-04,"PL","Poland","point",NA,811
2020-08-20,"16 day ahead inc case",2020-09-05,"PL","Poland","point",NA,816
2020-08-20,"17 day ahead inc case",2020-09-06,"PL","Poland","point",NA,821
2020-08-20,"18 day ahead inc case",2020-09-07,"PL","Poland","point",NA,827
2020-08-20,"19 day ahead inc case",2020-09-08,"PL","Poland","point",NA,832
2020-08-20,"20 day ahead inc case",2020-09-09,"PL","Poland","point",NA,837
2020-08-20,"21 day ahead inc case",2020-09-10,"PL","Poland","point",NA,843
2020-08-20,"22 day ahead inc case",2020-09-11,"PL","Poland","point",NA,848
2020-08-20,"23 day ahead inc case",2020-09-12,"PL","Poland","point",NA,855
