"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-11-07,"-1 wk ahead inc death",2020-10-31,"PL","Poland","observed",NA,1280
2020-11-07,"0 wk ahead inc death",2020-11-07,"PL","Poland","observed",NA,1986
2020-11-07,"1 wk ahead inc death",2020-11-14,"PL","Poland","point",NA,3056
2020-11-07,"2 wk ahead inc death",2020-11-21,"PL","Poland","point",NA,4465
2020-11-07,"3 wk ahead inc death",2020-11-28,"PL","Poland","point",NA,5484
2020-11-07,"4 wk ahead inc death",2020-12-05,"PL","Poland","point",NA,5776
2020-11-07,"5 wk ahead inc death",2020-12-12,"PL","Poland","point",NA,5332
2020-11-07,"6 wk ahead inc death",2020-12-19,"PL","Poland","point",NA,4347
2020-11-07,"7 wk ahead inc death",2020-12-26,"PL","Poland","point",NA,3192
2020-11-07,"8 wk ahead inc death",2021-01-02,"PL","Poland","point",NA,2164
2020-11-07,"9 wk ahead inc death",2021-01-09,"PL","Poland","point",NA,1388
2020-11-07,"10 wk ahead inc death",2021-01-16,"PL","Poland","point",NA,859
2020-11-07,"11 wk ahead inc death",2021-01-23,"PL","Poland","point",NA,520
2020-11-07,"12 wk ahead inc death",2021-01-30,"PL","Poland","point",NA,310
2020-11-07,"13 wk ahead inc death",2021-02-06,"PL","Poland","point",NA,183
2020-11-07,"14 wk ahead inc death",2021-02-13,"PL","Poland","point",NA,108
2020-11-07,"-1 wk ahead cum death",2020-10-31,"PL","Poland","observed",NA,5631
2020-11-07,"0 wk ahead cum death",2020-11-07,"PL","Poland","observed",NA,7617
2020-11-07,"1 wk ahead cum death",2020-11-14,"PL","Poland","point",NA,10673
2020-11-07,"2 wk ahead cum death",2020-11-21,"PL","Poland","point",NA,15138
2020-11-07,"3 wk ahead cum death",2020-11-28,"PL","Poland","point",NA,20622
2020-11-07,"4 wk ahead cum death",2020-12-05,"PL","Poland","point",NA,26398
2020-11-07,"5 wk ahead cum death",2020-12-12,"PL","Poland","point",NA,31730
2020-11-07,"6 wk ahead cum death",2020-12-19,"PL","Poland","point",NA,36077
2020-11-07,"7 wk ahead cum death",2020-12-26,"PL","Poland","point",NA,39269
2020-11-07,"8 wk ahead cum death",2021-01-02,"PL","Poland","point",NA,41433
2020-11-07,"9 wk ahead cum death",2021-01-09,"PL","Poland","point",NA,42821
2020-11-07,"10 wk ahead cum death",2021-01-16,"PL","Poland","point",NA,43680
2020-11-07,"11 wk ahead cum death",2021-01-23,"PL","Poland","point",NA,44200
2020-11-07,"12 wk ahead cum death",2021-01-30,"PL","Poland","point",NA,44510
2020-11-07,"13 wk ahead cum death",2021-02-06,"PL","Poland","point",NA,44693
2020-11-07,"14 wk ahead cum death",2021-02-13,"PL","Poland","point",NA,44801
2020-11-07,"-1 day ahead inc death",2020-11-06,"PL","Poland","observed",NA,445
2020-11-07,"0 day ahead inc death",2020-11-07,"PL","Poland","observed",NA,330
2020-11-07,"1 day ahead inc death",2020-11-08,"PL","Poland","point",NA,354
2020-11-07,"2 day ahead inc death",2020-11-09,"PL","Poland","point",NA,380
2020-11-07,"3 day ahead inc death",2020-11-10,"PL","Poland","point",NA,407
2020-11-07,"4 day ahead inc death",2020-11-11,"PL","Poland","point",NA,436
2020-11-07,"5 day ahead inc death",2020-11-12,"PL","Poland","point",NA,464
2020-11-07,"6 day ahead inc death",2020-11-13,"PL","Poland","point",NA,493
2020-11-07,"7 day ahead inc death",2020-11-14,"PL","Poland","point",NA,522
2020-11-07,"8 day ahead inc death",2020-11-15,"PL","Poland","point",NA,552
2020-11-07,"9 day ahead inc death",2020-11-16,"PL","Poland","point",NA,582
2020-11-07,"10 day ahead inc death",2020-11-17,"PL","Poland","point",NA,610
2020-11-07,"11 day ahead inc death",2020-11-18,"PL","Poland","point",NA,638
2020-11-07,"12 day ahead inc death",2020-11-19,"PL","Poland","point",NA,668
2020-11-07,"13 day ahead inc death",2020-11-20,"PL","Poland","point",NA,695
2020-11-07,"14 day ahead inc death",2020-11-21,"PL","Poland","point",NA,720
2020-11-07,"15 day ahead inc death",2020-11-22,"PL","Poland","point",NA,739
2020-11-07,"16 day ahead inc death",2020-11-23,"PL","Poland","point",NA,757
2020-11-07,"17 day ahead inc death",2020-11-24,"PL","Poland","point",NA,773
2020-11-07,"18 day ahead inc death",2020-11-25,"PL","Poland","point",NA,789
2020-11-07,"19 day ahead inc death",2020-11-26,"PL","Poland","point",NA,799
2020-11-07,"20 day ahead inc death",2020-11-27,"PL","Poland","point",NA,809
2020-11-07,"21 day ahead inc death",2020-11-28,"PL","Poland","point",NA,818
2020-11-07,"22 day ahead inc death",2020-11-29,"PL","Poland","point",NA,824
2020-11-07,"23 day ahead inc death",2020-11-30,"PL","Poland","point",NA,829
2020-11-07,"24 day ahead inc death",2020-12-01,"PL","Poland","point",NA,830
2020-11-07,"25 day ahead inc death",2020-12-02,"PL","Poland","point",NA,830
2020-11-07,"26 day ahead inc death",2020-12-03,"PL","Poland","point",NA,827
2020-11-07,"27 day ahead inc death",2020-12-04,"PL","Poland","point",NA,821
2020-11-07,"28 day ahead inc death",2020-12-05,"PL","Poland","point",NA,815
2020-11-07,"29 day ahead inc death",2020-12-06,"PL","Poland","point",NA,805
2020-11-07,"30 day ahead inc death",2020-12-07,"PL","Poland","point",NA,793
