,date,location,location_name,value
0,2020-04-26,GM,Germany,18884.0
1,2020-04-26,GM01,Baden-Württemberg State,2158.0
2,2020-04-26,GM02,Free State of Bavaria,2907.0
3,2020-04-26,GM03,Free Hanseatic City of Bremen,156.0
4,2020-04-26,GM04,Free Hanseatic City of Hamburg,528.0
5,2020-04-26,GM05,Hesse State,1667.0
6,2020-04-26,GM06,Lower Saxony State,1440.0
7,2020-04-26,GM07,North Rhine-Westphalia State,4301.0
8,2020-04-26,GM08,Rhineland-Palatinate State,711.0
9,2020-04-26,GM09,Saarland State,312.0
10,2020-04-26,GM10,Schleswig-Holstein State,525.0
11,2020-04-26,GM11,Brandenburg State,557.0
12,2020-04-26,GM12,Mecklenburg-Western Pomerania State,493.0
13,2020-04-26,GM13,Free State of Saxony,914.0
14,2020-04-26,GM14,Sachsen-Anhalt State,653.0
15,2020-04-26,GM15,Free State of Thüringia,564.0
16,2020-04-26,GM16,Berlin State,998.0
17,2020-04-27,GM,Germany,18727.0
18,2020-04-27,GM01,Baden-Württemberg State,2074.0
19,2020-04-27,GM02,Free State of Bavaria,2807.0
20,2020-04-27,GM03,Free Hanseatic City of Bremen,128.0
21,2020-04-27,GM04,Free Hanseatic City of Hamburg,520.0
22,2020-04-27,GM05,Hesse State,1687.0
23,2020-04-27,GM06,Lower Saxony State,1465.0
24,2020-04-27,GM07,North Rhine-Westphalia State,4270.0
25,2020-04-27,GM08,Rhineland-Palatinate State,731.0
26,2020-04-27,GM09,Saarland State,317.0
27,2020-04-27,GM10,Schleswig-Holstein State,526.0
28,2020-04-27,GM11,Brandenburg State,564.0
29,2020-04-27,GM12,Mecklenburg-Western Pomerania State,498.0
30,2020-04-27,GM13,Free State of Saxony,896.0
31,2020-04-27,GM14,Sachsen-Anhalt State,656.0
32,2020-04-27,GM15,Free State of Thüringia,596.0
33,2020-04-27,GM16,Berlin State,992.0
34,2020-04-28,GM,Germany,19337.0
35,2020-04-28,GM01,Baden-Württemberg State,2125.0
36,2020-04-28,GM02,Free State of Bavaria,3001.0
37,2020-04-28,GM03,Free Hanseatic City of Bremen,136.0
38,2020-04-28,GM04,Free Hanseatic City of Hamburg,533.0
39,2020-04-28,GM05,Hesse State,1670.0
40,2020-04-28,GM06,Lower Saxony State,1528.0
41,2020-04-28,GM07,North Rhine-Westphalia State,4333.0
42,2020-04-28,GM08,Rhineland-Palatinate State,741.0
43,2020-04-28,GM09,Saarland State,342.0
44,2020-04-28,GM10,Schleswig-Holstein State,548.0
45,2020-04-28,GM11,Brandenburg State,580.0
46,2020-04-28,GM12,Mecklenburg-Western Pomerania State,494.0
47,2020-04-28,GM13,Free State of Saxony,961.0
48,2020-04-28,GM14,Sachsen-Anhalt State,699.0
49,2020-04-28,GM15,Free State of Thüringia,610.0
50,2020-04-28,GM16,Berlin State,1036.0
51,2020-04-29,GM,Germany,19929.0
52,2020-04-29,GM01,Baden-Württemberg State,2097.0
53,2020-04-29,GM02,Free State of Bavaria,3102.0
54,2020-04-29,GM03,Free Hanseatic City of Bremen,149.0
55,2020-04-29,GM04,Free Hanseatic City of Hamburg,562.0
56,2020-04-29,GM05,Hesse State,1660.0
57,2020-04-29,GM06,Lower Saxony State,1594.0
58,2020-04-29,GM07,North Rhine-Westphalia State,4492.0
59,2020-04-29,GM08,Rhineland-Palatinate State,765.0
60,2020-04-29,GM09,Saarland State,349.0
61,2020-04-29,GM10,Schleswig-Holstein State,578.0
62,2020-04-29,GM11,Brandenburg State,575.0
63,2020-04-29,GM12,Mecklenburg-Western Pomerania State,543.0
64,2020-04-29,GM13,Free State of Saxony,1067.0
65,2020-04-29,GM14,Sachsen-Anhalt State,712.0
66,2020-04-29,GM15,Free State of Thüringia,632.0
67,2020-04-29,GM16,Berlin State,1052.0
68,2020-04-30,GM,Germany,19899.0
69,2020-04-30,GM01,Baden-Württemberg State,2117.0
70,2020-04-30,GM02,Free State of Bavaria,3007.0
71,2020-04-30,GM03,Free Hanseatic City of Bremen,158.0
72,2020-04-30,GM04,Free Hanseatic City of Hamburg,576.0
73,2020-04-30,GM05,Hesse State,1673.0
74,2020-04-30,GM06,Lower Saxony State,1607.0
75,2020-04-30,GM07,North Rhine-Westphalia State,4500.0
76,2020-04-30,GM08,Rhineland-Palatinate State,765.0
77,2020-04-30,GM09,Saarland State,349.0
78,2020-04-30,GM10,Schleswig-Holstein State,558.0
79,2020-04-30,GM11,Brandenburg State,585.0
80,2020-04-30,GM12,Mecklenburg-Western Pomerania State,550.0
81,2020-04-30,GM13,Free State of Saxony,1072.0
82,2020-04-30,GM14,Sachsen-Anhalt State,706.0
83,2020-04-30,GM15,Free State of Thüringia,623.0
84,2020-04-30,GM16,Berlin State,1053.0
85,2020-05-01,GM,Germany,19484.0
86,2020-05-01,GM01,Baden-Württemberg State,2031.0
87,2020-05-01,GM02,Free State of Bavaria,3073.0
88,2020-05-01,GM03,Free Hanseatic City of Bremen,159.0
89,2020-05-01,GM04,Free Hanseatic City of Hamburg,562.0
90,2020-05-01,GM05,Hesse State,1654.0
91,2020-05-01,GM06,Lower Saxony State,1506.0
92,2020-05-01,GM07,North Rhine-Westphalia State,4398.0
93,2020-05-01,GM08,Rhineland-Palatinate State,772.0
94,2020-05-01,GM09,Saarland State,324.0
95,2020-05-01,GM10,Schleswig-Holstein State,527.0
96,2020-05-01,GM11,Brandenburg State,591.0
97,2020-05-01,GM12,Mecklenburg-Western Pomerania State,502.0
98,2020-05-01,GM13,Free State of Saxony,1041.0
99,2020-05-01,GM14,Sachsen-Anhalt State,680.0
100,2020-05-01,GM15,Free State of Thüringia,589.0
101,2020-05-01,GM16,Berlin State,1075.0
102,2020-05-02,GM,Germany,19268.0
103,2020-05-02,GM01,Baden-Württemberg State,2095.0
104,2020-05-02,GM02,Free State of Bavaria,3020.0
105,2020-05-02,GM03,Free Hanseatic City of Bremen,166.0
106,2020-05-02,GM04,Free Hanseatic City of Hamburg,541.0
107,2020-05-02,GM05,Hesse State,1635.0
108,2020-05-02,GM06,Lower Saxony State,1507.0
109,2020-05-02,GM07,North Rhine-Westphalia State,4271.0
110,2020-05-02,GM08,Rhineland-Palatinate State,757.0
111,2020-05-02,GM09,Saarland State,342.0
112,2020-05-02,GM10,Schleswig-Holstein State,530.0
113,2020-05-02,GM11,Brandenburg State,576.0
114,2020-05-02,GM12,Mecklenburg-Western Pomerania State,501.0
115,2020-05-02,GM13,Free State of Saxony,996.0
116,2020-05-02,GM14,Sachsen-Anhalt State,654.0
117,2020-05-02,GM15,Free State of Thüringia,588.0
118,2020-05-02,GM16,Berlin State,1089.0
119,2020-05-03,GM,Germany,18463.0
120,2020-05-03,GM01,Baden-Württemberg State,2069.0
121,2020-05-03,GM02,Free State of Bavaria,2815.0
122,2020-05-03,GM03,Free Hanseatic City of Bremen,118.0
123,2020-05-03,GM04,Free Hanseatic City of Hamburg,534.0
124,2020-05-03,GM05,Hesse State,1576.0
125,2020-05-03,GM06,Lower Saxony State,1412.0
126,2020-05-03,GM07,North Rhine-Westphalia State,4200.0
127,2020-05-03,GM08,Rhineland-Palatinate State,746.0
128,2020-05-03,GM09,Saarland State,330.0
129,2020-05-03,GM10,Schleswig-Holstein State,509.0
130,2020-05-03,GM11,Brandenburg State,548.0
131,2020-05-03,GM12,Mecklenburg-Western Pomerania State,497.0
132,2020-05-03,GM13,Free State of Saxony,937.0
133,2020-05-03,GM14,Sachsen-Anhalt State,566.0
134,2020-05-03,GM15,Free State of Thüringia,577.0
135,2020-05-03,GM16,Berlin State,1029.0
136,2020-05-04,GM,Germany,18596.0
137,2020-05-04,GM01,Baden-Württemberg State,2121.0
138,2020-05-04,GM02,Free State of Bavaria,2788.0
139,2020-05-04,GM03,Free Hanseatic City of Bremen,117.0
140,2020-05-04,GM04,Free Hanseatic City of Hamburg,514.0
141,2020-05-04,GM05,Hesse State,1616.0
142,2020-05-04,GM06,Lower Saxony State,1406.0
143,2020-05-04,GM07,North Rhine-Westphalia State,4253.0
144,2020-05-04,GM08,Rhineland-Palatinate State,738.0
145,2020-05-04,GM09,Saarland State,328.0
146,2020-05-04,GM10,Schleswig-Holstein State,531.0
147,2020-05-04,GM11,Brandenburg State,539.0
148,2020-05-04,GM12,Mecklenburg-Western Pomerania State,500.0
149,2020-05-04,GM13,Free State of Saxony,948.0
150,2020-05-04,GM14,Sachsen-Anhalt State,581.0
151,2020-05-04,GM15,Free State of Thüringia,566.0
152,2020-05-04,GM16,Berlin State,1050.0
153,2020-05-05,GM,Germany,19180.0
154,2020-05-05,GM01,Baden-Württemberg State,2155.0
155,2020-05-05,GM02,Free State of Bavaria,2862.0
156,2020-05-05,GM03,Free Hanseatic City of Bremen,149.0
157,2020-05-05,GM04,Free Hanseatic City of Hamburg,529.0
158,2020-05-05,GM05,Hesse State,1634.0
159,2020-05-05,GM06,Lower Saxony State,1464.0
160,2020-05-05,GM07,North Rhine-Westphalia State,4389.0
161,2020-05-05,GM08,Rhineland-Palatinate State,723.0
162,2020-05-05,GM09,Saarland State,334.0
163,2020-05-05,GM10,Schleswig-Holstein State,554.0
164,2020-05-05,GM11,Brandenburg State,533.0
165,2020-05-05,GM12,Mecklenburg-Western Pomerania State,528.0
166,2020-05-05,GM13,Free State of Saxony,1031.0
167,2020-05-05,GM14,Sachsen-Anhalt State,685.0
168,2020-05-05,GM15,Free State of Thüringia,578.0
169,2020-05-05,GM16,Berlin State,1032.0
170,2020-05-06,GM,Germany,19627.0
171,2020-05-06,GM01,Baden-Württemberg State,2140.0
172,2020-05-06,GM02,Free State of Bavaria,2970.0
173,2020-05-06,GM03,Free Hanseatic City of Bremen,145.0
174,2020-05-06,GM04,Free Hanseatic City of Hamburg,559.0
175,2020-05-06,GM05,Hesse State,1632.0
176,2020-05-06,GM06,Lower Saxony State,1476.0
177,2020-05-06,GM07,North Rhine-Westphalia State,4561.0
178,2020-05-06,GM08,Rhineland-Palatinate State,755.0
179,2020-05-06,GM09,Saarland State,358.0
180,2020-05-06,GM10,Schleswig-Holstein State,545.0
181,2020-05-06,GM11,Brandenburg State,544.0
182,2020-05-06,GM12,Mecklenburg-Western Pomerania State,553.0
183,2020-05-06,GM13,Free State of Saxony,1049.0
184,2020-05-06,GM14,Sachsen-Anhalt State,672.0
185,2020-05-06,GM15,Free State of Thüringia,604.0
186,2020-05-06,GM16,Berlin State,1064.0
187,2020-05-07,GM,Germany,19822.0
188,2020-05-07,GM01,Baden-Württemberg State,2134.0
189,2020-05-07,GM02,Free State of Bavaria,2950.0
190,2020-05-07,GM03,Free Hanseatic City of Bremen,153.0
191,2020-05-07,GM04,Free Hanseatic City of Hamburg,556.0
192,2020-05-07,GM05,Hesse State,1674.0
193,2020-05-07,GM06,Lower Saxony State,1503.0
194,2020-05-07,GM07,North Rhine-Westphalia State,4608.0
195,2020-05-07,GM08,Rhineland-Palatinate State,759.0
196,2020-05-07,GM09,Saarland State,362.0
197,2020-05-07,GM10,Schleswig-Holstein State,576.0
198,2020-05-07,GM11,Brandenburg State,553.0
199,2020-05-07,GM12,Mecklenburg-Western Pomerania State,545.0
200,2020-05-07,GM13,Free State of Saxony,1076.0
201,2020-05-07,GM14,Sachsen-Anhalt State,691.0
202,2020-05-07,GM15,Free State of Thüringia,597.0
203,2020-05-07,GM16,Berlin State,1085.0
204,2020-05-08,GM,Germany,19860.0
205,2020-05-08,GM01,Baden-Württemberg State,2165.0
206,2020-05-08,GM02,Free State of Bavaria,2986.0
207,2020-05-08,GM03,Free Hanseatic City of Bremen,148.0
208,2020-05-08,GM04,Free Hanseatic City of Hamburg,562.0
209,2020-05-08,GM05,Hesse State,1680.0
210,2020-05-08,GM06,Lower Saxony State,1482.0
211,2020-05-08,GM07,North Rhine-Westphalia State,4500.0
212,2020-05-08,GM08,Rhineland-Palatinate State,794.0
213,2020-05-08,GM09,Saarland State,357.0
214,2020-05-08,GM10,Schleswig-Holstein State,537.0
215,2020-05-08,GM11,Brandenburg State,555.0
216,2020-05-08,GM12,Mecklenburg-Western Pomerania State,568.0
217,2020-05-08,GM13,Free State of Saxony,1092.0
218,2020-05-08,GM14,Sachsen-Anhalt State,727.0
219,2020-05-08,GM15,Free State of Thüringia,623.0
220,2020-05-08,GM16,Berlin State,1084.0
221,2020-05-09,GM,Germany,19732.0
222,2020-05-09,GM01,Baden-Württemberg State,2114.0
223,2020-05-09,GM02,Free State of Bavaria,2985.0
224,2020-05-09,GM03,Free Hanseatic City of Bremen,150.0
225,2020-05-09,GM04,Free Hanseatic City of Hamburg,561.0
226,2020-05-09,GM05,Hesse State,1676.0
227,2020-05-09,GM06,Lower Saxony State,1471.0
228,2020-05-09,GM07,North Rhine-Westphalia State,4533.0
229,2020-05-09,GM08,Rhineland-Palatinate State,798.0
230,2020-05-09,GM09,Saarland State,285.0
231,2020-05-09,GM10,Schleswig-Holstein State,574.0
232,2020-05-09,GM11,Brandenburg State,557.0
233,2020-05-09,GM12,Mecklenburg-Western Pomerania State,579.0
234,2020-05-09,GM13,Free State of Saxony,1092.0
235,2020-05-09,GM14,Sachsen-Anhalt State,691.0
236,2020-05-09,GM15,Free State of Thüringia,602.0
237,2020-05-09,GM16,Berlin State,1064.0
238,2020-05-10,GM,Germany,19165.0
239,2020-05-10,GM01,Baden-Württemberg State,2088.0
240,2020-05-10,GM02,Free State of Bavaria,2807.0
241,2020-05-10,GM03,Free Hanseatic City of Bremen,126.0
242,2020-05-10,GM04,Free Hanseatic City of Hamburg,561.0
243,2020-05-10,GM05,Hesse State,1661.0
244,2020-05-10,GM06,Lower Saxony State,1402.0
245,2020-05-10,GM07,North Rhine-Westphalia State,4414.0
246,2020-05-10,GM08,Rhineland-Palatinate State,740.0
247,2020-05-10,GM09,Saarland State,454.0
248,2020-05-10,GM10,Schleswig-Holstein State,576.0
249,2020-05-10,GM11,Brandenburg State,530.0
250,2020-05-10,GM12,Mecklenburg-Western Pomerania State,515.0
251,2020-05-10,GM13,Free State of Saxony,1026.0
252,2020-05-10,GM14,Sachsen-Anhalt State,628.0
253,2020-05-10,GM15,Free State of Thüringia,597.0
254,2020-05-10,GM16,Berlin State,1040.0
255,2020-05-11,GM,Germany,18779.0
256,2020-05-11,GM01,Baden-Württemberg State,2046.0
257,2020-05-11,GM02,Free State of Bavaria,2725.0
258,2020-05-11,GM03,Free Hanseatic City of Bremen,111.0
259,2020-05-11,GM04,Free Hanseatic City of Hamburg,527.0
260,2020-05-11,GM05,Hesse State,1653.0
261,2020-05-11,GM06,Lower Saxony State,1393.0
262,2020-05-11,GM07,North Rhine-Westphalia State,4362.0
263,2020-05-11,GM08,Rhineland-Palatinate State,757.0
264,2020-05-11,GM09,Saarland State,342.0
265,2020-05-11,GM10,Schleswig-Holstein State,557.0
266,2020-05-11,GM11,Brandenburg State,525.0
267,2020-05-11,GM12,Mecklenburg-Western Pomerania State,501.0
268,2020-05-11,GM13,Free State of Saxony,990.0
269,2020-05-11,GM14,Sachsen-Anhalt State,641.0
270,2020-05-11,GM15,Free State of Thüringia,599.0
271,2020-05-11,GM16,Berlin State,1050.0
272,2020-05-12,GM,Germany,19468.0
273,2020-05-12,GM01,Baden-Württemberg State,2096.0
274,2020-05-12,GM02,Free State of Bavaria,2965.0
275,2020-05-12,GM03,Free Hanseatic City of Bremen,149.0
276,2020-05-12,GM04,Free Hanseatic City of Hamburg,545.0
277,2020-05-12,GM05,Hesse State,1651.0
278,2020-05-12,GM06,Lower Saxony State,1462.0
279,2020-05-12,GM07,North Rhine-Westphalia State,4473.0
280,2020-05-12,GM08,Rhineland-Palatinate State,764.0
281,2020-05-12,GM09,Saarland State,338.0
282,2020-05-12,GM10,Schleswig-Holstein State,562.0
283,2020-05-12,GM11,Brandenburg State,554.0
284,2020-05-12,GM12,Mecklenburg-Western Pomerania State,537.0
285,2020-05-12,GM13,Free State of Saxony,1044.0
286,2020-05-12,GM14,Sachsen-Anhalt State,661.0
287,2020-05-12,GM15,Free State of Thüringia,600.0
288,2020-05-12,GM16,Berlin State,1067.0
289,2020-05-13,GM,Germany,20183.0
290,2020-05-13,GM01,Baden-Württemberg State,2159.0
291,2020-05-13,GM02,Free State of Bavaria,2900.0
292,2020-05-13,GM03,Free Hanseatic City of Bremen,158.0
293,2020-05-13,GM04,Free Hanseatic City of Hamburg,546.0
294,2020-05-13,GM05,Hesse State,1721.0
295,2020-05-13,GM06,Lower Saxony State,1494.0
296,2020-05-13,GM07,North Rhine-Westphalia State,4797.0
297,2020-05-13,GM08,Rhineland-Palatinate State,835.0
298,2020-05-13,GM09,Saarland State,364.0
299,2020-05-13,GM10,Schleswig-Holstein State,578.0
