,Schleswig-Holstein,Freie und Hansestadt Hamburg,Niedersachsen,Freie Hansestadt Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Wuerttemberg,Freistaat Bayern,Saarland,Berlin,Brandenburg,Mecklenburg-Vorpommern,Freistaat Sachsen,Sachsen-Anhalt,Freistaat Thueringen
2020-04-26,21,80,150,11,510,217,93,409,650,49,139,48,7,72,26,59
2020-04-27,22,82,160,13,463,207,91,378,613,46,146,50,6,52,22,58
2020-04-28,25,81,149,12,460,205,84,391,648,46,145,51,7,77,24,62
2020-04-29,25,79,147,14,474,207,84,383,619,49,131,39,6,75,25,58
2020-04-30,21,81,147,13,439,201,73,372,568,43,125,38,7,74,21,57
2020-05-01,19,80,134,15,427,188,69,354,550,40,125,37,6,72,17,56
2020-05-02,19,74,123,13,384,184,66,377,527,35,123,35,4,70,18,53
2020-05-03,19,72,125,8,374,178,63,344,472,34,126,30,4,66,15,49
2020-05-04,16,70,123,6,362,179,55,361,459,34,127,28,4,64,15,46
2020-05-05,18,68,110,10,364,177,56,353,465,31,124,27,4,64,18,48
2020-05-06,19,68,103,9,359,175,57,309,465,35,119,29,5,66,20,46
2020-05-07,15,64,125,10,349,161,57,286,448,28,124,30,4,61,19,42
2020-05-08,12,64,98,11,339,138,47,268,436,24,125,24,4,62,18,42
2020-05-09,13,60,101,14,334,135,49,249,421,12,115,22,4,63,18,40
2020-05-10,12,65,100,9,306,138,44,236,390,23,108,25,3,62,19,41
2020-05-11,13,58,100,8,317,131,42,252,383,24,101,26,3,59,19,40
2020-05-12,11,56,93,13,309,121,43,242,380,26,101,24,4,61,16,39
2020-05-13,10,50,95,12,282,116,48,220,364,25,100,29,5,59,15,35
2020-05-14,8,46,78,6,269,111,38,194,318,34,88,28,4,58,16,33
2020-05-15,8,43,72,9,258,107,30,213,314,20,86,24,5,55,15,35
2020-05-16,10,42,66,10,225,104,30,196,292,18,74,28,5,54,14,35
2020-05-17,10,42,73,8,219,101,29,188,279,17,73,21,5,52,14,35
2020-05-18,10,41,66,4,215,103,30,193,260,16,71,22,5,50,13,34
2020-05-19,10,44,56,6,207,103,25,180,270,17,77,21,5,51,12,31
2020-05-20,10,38,52,8,198,97,24,175,242,14,69,23,6,48,9,32
2020-05-21,9,34,56,9,187,92,32,161,244,14,63,23,5,45,9,33
2020-05-22,11,32,55,8,175,94,23,164,207,15,61,19,5,50,13,33
2020-05-23,11,27,58,8,162,88,20,151,217,12,62,16,3,45,8,31
2020-05-24,11,26,47,6,159,91,19,148,209,13,60,15,2,46,7,30
2020-05-25,12,25,44,8,148,90,18,141,210,13,63,17,2,47,6,29
2020-05-26,9,22,44,5,143,76,19,130,206,8,65,18,2,44,5,25
2020-05-27,9,21,43,8,137,73,23,120,193,7,49,13,2,39,4,22
2020-05-28,7,21,39,8,138,70,22,115,188,7,51,12,2,40,4,20
2020-05-29,9,22,41,10,136,61,14,119,177,7,57,11,2,37,6,20
2020-05-30,7,21,42,9,139,65,11,120,171,6,58,12,2,33,7,17
2020-05-31,6,22,45,6,136,61,12,115,163,6,56,11,2,34,7,20
2020-06-01,6,22,43,5,116,61,17,114,156,9,57,10,2,32,9,18
2020-06-02,5,21,46,6,113,61,16,108,169,10,60,10,2,33,10,19
2020-06-03,5,20,43,5,115,51,11,91,154,7,63,7,2,31,8,19
2020-06-04,6,19,40,5,106,44,11,85,141,8,70,7,2,33,8,15
2020-06-05,5,19,37,6,104,43,12,92,132,7,69,9,2,33,9,16
2020-06-06,4,19,43,6,105,45,13,87,119,8,63,9,1,31,8,15
2020-06-07,5,19,44,7,106,44,11,85,121,7,59,5,2,30,9,14
2020-06-08,3,19,43,6,89,47,12,88,109,7,60,6,2,29,9,11
2020-06-09,2,19,43,9,83,41,11,83,115,8,59,4,3,31,8,14
2020-06-10,2,18,44,8,78,40,10,80,99,7,51,4,3,30,6,12
2020-06-11,1,18,35,5,78,39,12,75,91,7,48,3,3,30,7,11
2020-06-12,1,16,32,6,77,35,10,75,83,8,51,3,2,29,6,13
2020-06-13,2,15,34,6,76,35,8,77,85,5,44,3,2,29,7,12
2020-06-14,2,14,29,3,73,32,10,75,81,6,47,3,2,29,6,10
2020-06-15,3,13,31,7,74,32,8,71,86,6,44,4,2,29,6,9
2020-06-16,1,13,36,5,68,31,8,73,82,6,46,5,2,31,6,6
2020-06-17,1,13,36,5,72,31,7,69,68,7,47,4,2,33,6,5
2020-06-18,1,13,36,4,72,32,7,65,64,5,48,3,2,33,6,5
2020-06-19,0,13,35,7,66,27,9,60,62,6,45,2,2,32,6,4
2020-06-20,1,11,34,7,64,26,10,54,53,5,46,3,2,35,5,5
2020-06-21,1,11,25,7,62,26,8,60,48,5,45,2,2,32,4,4
2020-06-22,0,11,26,4,72,26,6,61,44,6,46,3,2,32,5,5
2020-06-23,0,12,21,4,70,26,5,60,47,6,38,4,2,32,4,6
2020-06-24,0,11,22,4,70,27,7,57,47,6,32,3,2,34,4,5
2020-06-25,0,12,26,4,82,29,8,58,50,7,33,5,2,35,4,5
