bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,3,3,1,2,11,32,2020-12-26 12:15:00
01,01002,5,7,4,3,55,109,2020-12-26 12:15:00
01,01003,2,9,5,2,35,103,2020-12-26 12:15:00
01,01004,1,1,0,1,6,19,2020-12-26 12:15:00
01,01051,1,3,3,1,6,32,2020-12-26 12:15:00
01,01053,2,2,1,2,8,16,2020-12-26 12:15:00
01,01054,3,0,0,3,12,13,2020-12-26 12:15:00
01,01055,3,4,1,3,17,31,2020-12-26 12:15:00
01,01056,2,4,1,2,3,26,2020-12-26 12:15:00
01,01057,1,1,1,1,7,5,2020-12-26 12:15:00
01,01058,5,3,3,3,20,22,2020-12-26 12:15:00
01,01059,1,1,1,1,12,12,2020-12-26 12:15:00
01,01060,4,5,4,4,22,63,2020-12-26 12:15:00
01,01061,3,3,0,1,23,26,2020-12-26 12:15:00
01,01062,3,7,6,3,11,22,2020-12-26 12:15:00
02,02000,34,113,71,24,140,507,2020-12-26 12:15:00
03,03101,7,18,6,5,25,97,2020-12-26 12:15:00
03,03102,2,4,4,2,11,17,2020-12-26 12:15:00
03,03103,3,4,1,1,5,28,2020-12-26 12:15:00
03,03151,2,6,2,2,5,15,2020-12-26 12:15:00
03,03153,3,4,1,3,8,22,2020-12-26 12:15:00
03,03154,1,2,1,1,3,12,2020-12-26 12:15:00
03,03155,2,1,1,2,8,13,2020-12-26 12:15:00
03,03157,1,3,0,1,5,14,2020-12-26 12:15:00
03,03158,1,4,1,1,2,14,2020-12-26 12:15:00
03,03159,8,14,12,7,43,126,2020-12-26 12:15:00
03,03241,19,56,23,16,67,331,2020-12-26 12:15:00
03,03251,3,2,1,3,10,7,2020-12-26 12:15:00
03,03252,6,6,4,4,15,55,2020-12-26 12:15:00
03,03254,7,13,6,4,15,54,2020-12-26 12:15:00
03,03255,1,2,1,1,2,9,2020-12-26 12:15:00
03,03256,1,0,0,1,7,17,2020-12-26 12:15:00
03,03257,1,4,0,1,0,22,2020-12-26 12:15:00
03,03351,2,4,2,1,4,25,2020-12-26 12:15:00
03,03352,2,1,1,2,6,9,2020-12-26 12:15:00
03,03353,3,6,0,3,4,32,2020-12-26 12:15:00
03,03354,1,0,0,1,3,3,2020-12-26 12:15:00
03,03355,4,2,1,2,11,31,2020-12-26 12:15:00
03,03356,3,0,0,2,2,10,2020-12-26 12:15:00
