bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,5,4,2,6,40,2021-03-14 12:15:00,36,4
01,01002,5,6,4,3,55,109,2021-03-14 12:15:00,109,49
01,01003,2,8,4,2,27,109,2021-03-14 12:15:00,109,27
01,01004,1,0,0,1,5,20,2021-03-14 12:15:00,20,5
01,01051,1,4,2,1,5,33,2021-03-14 12:15:00,33,5
01,01053,2,4,2,2,2,14,2021-03-14 12:15:00,14,2
01,01054,3,1,0,3,6,18,2021-03-14 12:15:00,18,6
01,01055,3,2,0,3,20,28,2021-03-14 12:15:00,28,20
01,01056,2,4,1,2,2,29,2021-03-14 12:15:00,29,2
01,01057,1,2,0,1,5,7,2021-03-14 12:15:00,7,5
01,01058,5,3,3,3,12,30,2021-03-14 12:15:00,29,7
01,01059,1,1,0,1,3,21,2021-03-14 12:15:00,21,3
01,01060,4,3,2,4,23,66,2021-03-14 12:15:00,66,23
01,01061,3,1,0,1,11,34,2021-03-14 12:15:00,23,9
01,01062,3,7,5,3,10,24,2021-03-14 12:15:00,24,10
02,02000,34,102,61,24,114,558,2021-03-14 12:15:00,492,70
03,03101,7,2,1,5,33,99,2021-03-14 12:15:00,86,29
03,03102,2,3,0,2,9,20,2021-03-14 12:15:00,20,9
03,03103,3,2,2,1,8,27,2021-03-14 12:15:00,21,5
03,03151,1,1,1,1,0,12,2021-03-14 12:15:00,12,0
03,03153,3,4,4,3,3,34,2021-03-14 12:15:00,34,3
03,03154,1,2,2,1,2,16,2021-03-14 12:15:00,16,2
03,03155,2,1,1,2,6,14,2021-03-14 12:15:00,14,6
03,03157,1,4,2,1,0,15,2021-03-14 12:15:00,15,0
03,03158,1,1,1,1,4,12,2021-03-14 12:15:00,12,4
03,03159,8,15,10,7,34,120,2021-03-14 12:15:00,107,28
03,03241,19,63,39,16,43,347,2021-03-14 12:15:00,311,34
03,03251,3,5,4,3,6,14,2021-03-14 12:15:00,14,6
03,03252,6,3,2,4,20,50,2021-03-14 12:15:00,49,15
03,03254,7,13,6,4,15,58,2021-03-14 12:15:00,53,10
03,03255,1,0,0,1,2,9,2021-03-14 12:15:00,9,2
03,03256,1,2,0,1,5,19,2021-03-14 12:15:00,19,5
03,03257,1,1,0,1,5,20,2021-03-14 12:15:00,20,5
03,03351,2,6,6,1,1,27,2021-03-14 12:15:00,20,0
03,03352,2,4,2,2,2,12,2021-03-14 12:15:00,12,2
03,03353,3,2,1,3,12,24,2021-03-14 12:15:00,24,12
03,03354,1,0,0,1,9,6,2021-03-14 12:15:00,6,9
03,03355,3,4,3,1,9,35,2021-03-14 12:15:00,24,4
03,03356,3,2,1,2,5,8,2021-03-14 12:15:00,8,5
03,03357,3,1,0,2,8,26,2021-03-14 12:15:00,24,6
03,03358,2,0,0,2,7,13,2021-03-14 12:15:00,13,7
03,03359,3,2,0,2,4,27,2021-03-14 12:15:00,27,1
03,03360,2,6,1,2,7,69,2021-03-14 12:15:00,69,7
03,03361,2,1,0,2,3,12,2021-03-14 12:15:00,12,3
03,03401,1,3,2,1,1,15,2021-03-14 12:15:00,15,1
03,03402,1,1,1,1,6,9,2021-03-14 12:15:00,9,6
03,03403,6,12,9,3,19,104,2021-03-14 12:15:00,87,9
03,03404,5,16,10,4,25,98,2021-03-14 12:15:00,85,22
03,03405,2,1,0,1,10,25,2021-03-14 12:15:00,22,5
03,03451,3,3,2,2,6,27,2021-03-14 12:15:00,27,6
03,03452,4,3,1,3,7,29,2021-03-14 12:15:00,23,5
03,03453,3,9,2,3,2,26,2021-03-14 12:15:00,26,2
03,03454,10,8,4,6,34,56,2021-03-14 12:15:00,43,21
03,03455,2,3,0,2,5,28,2021-03-14 12:15:00,28,5
03,03456,1,2,0,1,12,16,2021-03-14 12:15:00,16,12
03,03457,6,1,0,4,13,19,2021-03-14 12:15:00,19,8
03,03458,1,0,0,1,7,3,2021-03-14 12:15:00,3,7
03,03459,7,3,2,6,44,66,2021-03-14 12:15:00,66,44
03,03460,5,5,4,3,15,19,2021-03-14 12:15:00,16,10
03,03461,2,5,4,2,4,11,2021-03-14 12:15:00,11,4
03,03462,1,0,0,1,0,8,2021-03-14 12:15:00,8,0
04,04011,10,28,13,9,16,132,2021-03-14 12:15:00,125,11
04,04012,4,8,3,3,14,42,2021-03-14 12:15:00,33,9
05,05111,14,22,10,11,35,261,2021-03-14 12:15:00,237,30
05,05112,16,20,10,9,43,162,2021-03-14 12:15:00,144,32
05,05113,15,34,29,12,42,327,2021-03-14 12:15:00,301,41
05,05114,7,6,4,4,22,67,2021-03-14 12:15:00,54,22
05,05116,6,7,5,4,12,82,2021-03-14 12:15:00,76,11
05,05117,2,4,1,2,4,33,2021-03-14 12:15:00,33,4
05,05119,7,2,1,4,17,59,2021-03-14 12:15:00,47,16
05,05120,1,2,1,1,2,28,2021-03-14 12:15:00,28,2
05,05122,4,14,10,3,15,67,2021-03-14 12:15:00,67,11
05,05124,7,18,16,5,24,124,2021-03-14 12:15:00,113,21
05,05154,8,8,5,5,21,50,2021-03-14 12:15:00,49,14
05,05158,7,4,2,6,19,52,2021-03-14 12:15:00,52,16
05,05162,7,13,4,5,23,78,2021-03-14 12:15:00,72,15
05,05166,4,1,0,4,7,27,2021-03-14 12:15:00,27,7
05,05170,11,8,5,8,37,95,2021-03-14 12:15:00,94,29
05,05314,18,26,18,11,22,264,2021-03-14 12:15:00,211,19
05,05315,31,63,30,18,40,414,2021-03-14 12:15:00,356,38
05,05316,5,6,4,2,13,77,2021-03-14 12:15:00,64,2
05,05334,13,16,10,7,21,282,2021-03-14 12:15:00,264,20
05,05358,7,4,3,5,21,52,2021-03-14 12:15:00,47,18
05,05362,7,9,4,7,25,53,2021-03-14 12:15:00,53,25
05,05366,3,2,1,3,2,25,2021-03-14 12:15:00,25,2
05,05370,3,4,2,3,10,27,2021-03-14 12:15:00,27,10
05,05374,6,5,2,6,29,62,2021-03-14 12:15:00,62,29
05,05378,4,6,2,4,14,29,2021-03-14 12:15:00,29,14
05,05382,7,9,3,6,17,67,2021-03-14 12:15:00,60,12
05,05512,2,3,1,2,11,29,2021-03-14 12:15:00,29,11
05,05513,7,6,4,4,22,81,2021-03-14 12:15:00,69,8
05,05515,9,2,2,7,30,235,2021-03-14 12:15:00,225,23
05,05554,6,5,1,5,36,37,2021-03-14 12:15:00,37,34
05,05558,5,1,1,3,17,23,2021-03-14 12:15:00,13,17
05,05562,15,15,8,14,48,175,2021-03-14 12:15:00,151,40
05,05566,7,3,2,5,27,69,2021-03-14 12:15:00,62,20
05,05570,6,5,2,5,8,40,2021-03-14 12:15:00,39,7
05,05711,6,13,8,4,17,138,2021-03-14 12:15:00,114,15
05,05754,4,4,2,4,9,43,2021-03-14 12:15:00,43,9
05,05758,5,6,5,3,14,49,2021-03-14 12:15:00,43,10
05,05762,6,2,2,5,3,32,2021-03-14 12:15:00,29,2
05,05766,2,6,3,2,3,47,2021-03-14 12:15:00,47,3
05,05770,9,12,5,6,27,197,2021-03-14 12:15:00,176,21
05,05774,7,16,14,5,18,86,2021-03-14 12:15:00,76,13
05,05911,8,19,14,6,42,147,2021-03-14 12:15:00,138,30
05,05913,9,23,17,9,25,258,2021-03-14 12:15:00,258,25
05,05914,7,12,8,5,15,71,2021-03-14 12:15:00,70,6
05,05915,7,5,1,5,27,65,2021-03-14 12:15:00,56,14
05,05916,4,14,11,4,6,57,2021-03-14 12:15:00,57,6
05,05954,7,6,2,6,36,101,2021-03-14 12:15:00,101,36
