"location_name","location","date","value"
"Slaskie","PL83",2020-03-05,0
"Slaskie","PL83",2020-03-06,0
"Slaskie","PL83",2020-03-07,0
"Slaskie","PL83",2020-03-08,0
"Slaskie","PL83",2020-03-09,2
"Slaskie","PL83",2020-03-10,5
"Slaskie","PL83",2020-03-11,7
"Slaskie","PL83",2020-03-12,8
"Slaskie","PL83",2020-03-13,11
"Slaskie","PL83",2020-03-14,12
"Slaskie","PL83",2020-03-15,12
"Slaskie","PL83",2020-03-16,14
"Slaskie","PL83",2020-03-17,18
"Slaskie","PL83",2020-03-18,24
"Slaskie","PL83",2020-03-19,30
"Slaskie","PL83",2020-03-20,42
"Slaskie","PL83",2020-03-21,46
"Slaskie","PL83",2020-03-22,56
"Slaskie","PL83",2020-03-23,66
"Slaskie","PL83",2020-03-24,77
"Slaskie","PL83",2020-03-25,87
"Slaskie","PL83",2020-03-26,107
"Slaskie","PL83",2020-03-27,127
"Slaskie","PL83",2020-03-28,141
"Slaskie","PL83",2020-03-29,165
"Slaskie","PL83",2020-03-30,195
"Slaskie","PL83",2020-03-31,209
"Slaskie","PL83",2020-04-01,264
"Slaskie","PL83",2020-04-02,272
"Slaskie","PL83",2020-04-03,301
"Slaskie","PL83",2020-04-04,431
"Slaskie","PL83",2020-04-05,496
"Slaskie","PL83",2020-04-06,537
"Slaskie","PL83",2020-04-07,562
"Slaskie","PL83",2020-04-08,601
"Slaskie","PL83",2020-04-09,644
"Slaskie","PL83",2020-04-10,695
"Slaskie","PL83",2020-04-11,729
"Slaskie","PL83",2020-04-12,781
"Slaskie","PL83",2020-04-13,846
"Slaskie","PL83",2020-04-14,879
"Slaskie","PL83",2020-04-15,943
"Slaskie","PL83",2020-04-16,988
"Slaskie","PL83",2020-04-17,1070
"Slaskie","PL83",2020-04-18,1215
"Slaskie","PL83",2020-04-19,1240
"Slaskie","PL83",2020-04-20,1380
"Slaskie","PL83",2020-04-21,1451
"Slaskie","PL83",2020-04-22,1505
"Slaskie","PL83",2020-04-23,1551
"Slaskie","PL83",2020-04-24,1586
"Slaskie","PL83",2020-04-25,1683
"Slaskie","PL83",2020-04-26,1750
"Slaskie","PL83",2020-04-27,1824
"Slaskie","PL83",2020-04-28,1866
"Slaskie","PL83",2020-04-29,1960
"Slaskie","PL83",2020-04-30,2119
"Slaskie","PL83",2020-05-01,2239
"Slaskie","PL83",2020-05-02,2380
"Slaskie","PL83",2020-05-03,2446
"Slaskie","PL83",2020-05-04,2576
"Slaskie","PL83",2020-05-05,2656
"Slaskie","PL83",2020-05-06,2790
"Slaskie","PL83",2020-05-07,2947
"Slaskie","PL83",2020-05-08,3063
"Slaskie","PL83",2020-05-09,3242
"Slaskie","PL83",2020-05-10,3398
"Slaskie","PL83",2020-05-11,3569
"Slaskie","PL83",2020-05-12,3782
"Slaskie","PL83",2020-05-13,4235
"Slaskie","PL83",2020-05-14,4402
"Slaskie","PL83",2020-05-15,4704
"Slaskie","PL83",2020-05-16,4997
"Slaskie","PL83",2020-05-17,5162
"Slaskie","PL83",2020-05-18,5342
"Slaskie","PL83",2020-05-19,5547
"Slaskie","PL83",2020-05-20,5810
"Slaskie","PL83",2020-05-21,6085
"Slaskie","PL83",2020-05-22,6336
"Slaskie","PL83",2020-05-23,6621
"Slaskie","PL83",2020-05-24,6800
"Slaskie","PL83",2020-05-25,6985
"Slaskie","PL83",2020-05-26,7143
"Slaskie","PL83",2020-05-27,7417
"Slaskie","PL83",2020-05-28,7593
"Slaskie","PL83",2020-05-29,7731
"Slaskie","PL83",2020-05-30,7922
"Slaskie","PL83",2020-05-31,8150
"Slaskie","PL83",2020-06-01,8255
"Slaskie","PL83",2020-06-02,8451
"Slaskie","PL83",2020-06-03,8560
"Slaskie","PL83",2020-06-04,8669
"Slaskie","PL83",2020-06-05,8789
"Slaskie","PL83",2020-06-06,8966
"Slaskie","PL83",2020-06-07,9317
"Slaskie","PL83",2020-06-08,9642
"Slaskie","PL83",2020-06-09,9968
"Slaskie","PL83",2020-06-10,10105
"Slaskie","PL83",2020-06-11,10181
"Slaskie","PL83",2020-06-12,10338
"Slaskie","PL83",2020-06-13,10476
"Slaskie","PL83",2020-06-14,10685
"Slaskie","PL83",2020-06-15,10845
"Slaskie","PL83",2020-06-16,11033
"Slaskie","PL83",2020-06-17,11249
