"location_name","location","date","value"
"Slaskie","PL83",2020-03-05,0
"Slaskie","PL83",2020-03-06,0
"Slaskie","PL83",2020-03-07,0
"Slaskie","PL83",2020-03-08,0
"Slaskie","PL83",2020-03-09,2
"Slaskie","PL83",2020-03-10,3
"Slaskie","PL83",2020-03-11,2
"Slaskie","PL83",2020-03-12,1
"Slaskie","PL83",2020-03-13,3
"Slaskie","PL83",2020-03-14,1
"Slaskie","PL83",2020-03-15,0
"Slaskie","PL83",2020-03-16,2
"Slaskie","PL83",2020-03-17,4
"Slaskie","PL83",2020-03-18,6
"Slaskie","PL83",2020-03-19,6
"Slaskie","PL83",2020-03-20,12
"Slaskie","PL83",2020-03-21,4
"Slaskie","PL83",2020-03-22,10
"Slaskie","PL83",2020-03-23,10
"Slaskie","PL83",2020-03-24,11
"Slaskie","PL83",2020-03-25,10
"Slaskie","PL83",2020-03-26,20
"Slaskie","PL83",2020-03-27,20
"Slaskie","PL83",2020-03-28,14
"Slaskie","PL83",2020-03-29,24
"Slaskie","PL83",2020-03-30,30
"Slaskie","PL83",2020-03-31,14
"Slaskie","PL83",2020-04-01,55
"Slaskie","PL83",2020-04-02,8
"Slaskie","PL83",2020-04-03,29
"Slaskie","PL83",2020-04-04,130
"Slaskie","PL83",2020-04-05,65
"Slaskie","PL83",2020-04-06,41
"Slaskie","PL83",2020-04-07,25
"Slaskie","PL83",2020-04-08,39
"Slaskie","PL83",2020-04-09,43
"Slaskie","PL83",2020-04-10,51
"Slaskie","PL83",2020-04-11,34
"Slaskie","PL83",2020-04-12,52
"Slaskie","PL83",2020-04-13,65
"Slaskie","PL83",2020-04-14,33
"Slaskie","PL83",2020-04-15,64
"Slaskie","PL83",2020-04-16,45
"Slaskie","PL83",2020-04-17,82
"Slaskie","PL83",2020-04-18,145
"Slaskie","PL83",2020-04-19,25
"Slaskie","PL83",2020-04-20,140
"Slaskie","PL83",2020-04-21,71
"Slaskie","PL83",2020-04-22,54
"Slaskie","PL83",2020-04-23,46
"Slaskie","PL83",2020-04-24,35
"Slaskie","PL83",2020-04-25,97
"Slaskie","PL83",2020-04-26,67
"Slaskie","PL83",2020-04-27,74
"Slaskie","PL83",2020-04-28,42
"Slaskie","PL83",2020-04-29,94
"Slaskie","PL83",2020-04-30,159
"Slaskie","PL83",2020-05-01,120
"Slaskie","PL83",2020-05-02,141
"Slaskie","PL83",2020-05-03,66
"Slaskie","PL83",2020-05-04,130
"Slaskie","PL83",2020-05-05,80
"Slaskie","PL83",2020-05-06,134
"Slaskie","PL83",2020-05-07,157
"Slaskie","PL83",2020-05-08,116
"Slaskie","PL83",2020-05-09,179
"Slaskie","PL83",2020-05-10,156
"Slaskie","PL83",2020-05-11,171
"Slaskie","PL83",2020-05-12,213
"Slaskie","PL83",2020-05-13,453
"Slaskie","PL83",2020-05-14,167
"Slaskie","PL83",2020-05-15,302
"Slaskie","PL83",2020-05-16,293
"Slaskie","PL83",2020-05-17,165
"Slaskie","PL83",2020-05-18,180
"Slaskie","PL83",2020-05-19,205
"Slaskie","PL83",2020-05-20,263
"Slaskie","PL83",2020-05-21,275
"Slaskie","PL83",2020-05-22,251
"Slaskie","PL83",2020-05-23,285
"Slaskie","PL83",2020-05-24,179
"Slaskie","PL83",2020-05-25,185
"Slaskie","PL83",2020-05-26,158
"Slaskie","PL83",2020-05-27,274
"Slaskie","PL83",2020-05-28,176
"Slaskie","PL83",2020-05-29,138
"Slaskie","PL83",2020-05-30,191
"Slaskie","PL83",2020-05-31,228
"Slaskie","PL83",2020-06-01,105
"Slaskie","PL83",2020-06-02,196
"Slaskie","PL83",2020-06-03,109
"Slaskie","PL83",2020-06-04,109
"Slaskie","PL83",2020-06-05,120
"Slaskie","PL83",2020-06-06,177
"Slaskie","PL83",2020-06-07,351
"Slaskie","PL83",2020-06-08,325
"Slaskie","PL83",2020-06-09,326
"Slaskie","PL83",2020-06-10,137
"Slaskie","PL83",2020-06-11,76
"Slaskie","PL83",2020-06-12,157
"Slaskie","PL83",2020-06-13,138
"Slaskie","PL83",2020-06-14,209
"Slaskie","PL83",2020-06-15,160
"Slaskie","PL83",2020-06-16,188
"Slaskie","PL83",2020-06-17,216
"Slaskie","PL83",2020-06-18,158
"Slaskie","PL83",2020-06-19,88
"Slaskie","PL83",2020-06-20,91
