"Województwo" "location" "date" "value"
"1" "Slaskie" "PL83" "04.03" 0
"2" "Slaskie" "PL83" "05.03" 0
"3" "Slaskie" "PL83" "06.03" 0
"4" "Slaskie" "PL83" "07.03" 0
"5" "Slaskie" "PL83" "08.03" 2
"6" "Slaskie" "PL83" "09.03" 5
"7" "Slaskie" "PL83" "10.03" 7
"8" "Slaskie" "PL83" "11.03" 8
"9" "Slaskie" "PL83" "12.03" 11
"10" "Slaskie" "PL83" "13.03" 12
"11" "Slaskie" "PL83" "14.03" 12
"12" "Slaskie" "PL83" "15.03" 14
"13" "Slaskie" "PL83" "16.03" 18
"14" "Slaskie" "PL83" "17.03" 24
"15" "Slaskie" "PL83" "18.03" 30
"16" "Slaskie" "PL83" "19.03" 42
"17" "Slaskie" "PL83" "20.03" 46
"18" "Slaskie" "PL83" "21.03" 56
"19" "Slaskie" "PL83" "22.03" 66
"20" "Slaskie" "PL83" "23.03" 77
"21" "Slaskie" "PL83" "24.03" 87
"22" "Slaskie" "PL83" "25.03" 107
"23" "Slaskie" "PL83" "26.03" 127
"24" "Slaskie" "PL83" "27.03" 141
"25" "Slaskie" "PL83" "28.03" 165
"26" "Slaskie" "PL83" "29.03" 195
"27" "Slaskie" "PL83" "30.03" 209
"28" "Slaskie" "PL83" "31.03" 264
"29" "Slaskie" "PL83" "01.04" 272
"30" "Slaskie" "PL83" "02.04" 301
"31" "Slaskie" "PL83" "03.04" 431
"32" "Slaskie" "PL83" "04.04" 496
"33" "Slaskie" "PL83" "05.04" 537
"34" "Slaskie" "PL83" "06.04" 562
"35" "Slaskie" "PL83" "07.04" 601
"36" "Slaskie" "PL83" "08.04" 644
"37" "Slaskie" "PL83" "09.04" 695
"38" "Slaskie" "PL83" "10.04" 729
"39" "Slaskie" "PL83" "11.04" 781
"40" "Slaskie" "PL83" "12.04" 846
"41" "Slaskie" "PL83" "13.04" 879
"42" "Slaskie" "PL83" "14.04" 943
"43" "Slaskie" "PL83" "15.04" 988
"44" "Slaskie" "PL83" "16.04" 1070
"45" "Slaskie" "PL83" "17.04" 1215
"46" "Slaskie" "PL83" "18.04" 1240
"47" "Slaskie" "PL83" "19.04" 1380
"48" "Slaskie" "PL83" "20.04" 1451
"49" "Slaskie" "PL83" "21.04" 1505
"50" "Slaskie" "PL83" "22.04" 1551
"51" "Slaskie" "PL83" "23.04" 1586
"52" "Slaskie" "PL83" "24.04" 1683
"53" "Slaskie" "PL83" "25.04" 1750
"54" "Slaskie" "PL83" "26.04" 1824
"55" "Slaskie" "PL83" "27.04" 1866
"56" "Slaskie" "PL83" "28.04" 1960
"57" "Slaskie" "PL83" "29.04" 2119
"58" "Slaskie" "PL83" "30.04" 2239
"59" "Slaskie" "PL83" "01.05" 2380
"60" "Slaskie" "PL83" "02.05" 2446
"61" "Slaskie" "PL83" "03.05" 2576
"62" "Slaskie" "PL83" "04.05" 2656
"63" "Slaskie" "PL83" "05.05" 2790
"64" "Slaskie" "PL83" "06.05" 2947
"65" "Slaskie" "PL83" "07.05" 3063
"66" "Slaskie" "PL83" "08.05" 3242
"67" "Slaskie" "PL83" "09.05" 3398
"68" "Slaskie" "PL83" "10.05" 3569
"69" "Slaskie" "PL83" "11.05" 3782
"70" "Slaskie" "PL83" "12.05" 4235
"71" "Slaskie" "PL83" "13.05" 4402
"72" "Slaskie" "PL83" "14.05" 4704
"73" "Slaskie" "PL83" "15.05" 4997
"74" "Slaskie" "PL83" "16.05" 5162
"75" "Slaskie" "PL83" "17.05" 5342
"76" "Slaskie" "PL83" "18.05" 5547
"77" "Slaskie" "PL83" "19.05" 5810
"78" "Slaskie" "PL83" "20.05" 6085
"79" "Slaskie" "PL83" "21.05" 6336
"80" "Slaskie" "PL83" "22.05" 6621
"81" "Slaskie" "PL83" "23.05" 6800
"82" "Slaskie" "PL83" "24.05" 6985
"83" "Slaskie" "PL83" "25.05" 7143
"84" "Slaskie" "PL83" "26.05" 7417
"85" "Slaskie" "PL83" "27.05" 7593
"86" "Slaskie" "PL83" "28.05" 7731
"87" "Slaskie" "PL83" "29.05" 7922
"88" "Slaskie" "PL83" "30.05" 8150
"89" "Slaskie" "PL83" "31.05" 8255
"90" "Slaskie" "PL83" "01.06" 8451
"91" "Slaskie" "PL83" "02.06" 8560
"92" "Slaskie" "PL83" "03.06" 8669
"93" "Slaskie" "PL83" "04.06" 8789
"94" "Slaskie" "PL83" "05.06" 8966
"95" "Slaskie" "PL83" "06.06" 9317
"96" "Slaskie" "PL83" "07.06" 9642
"97" "Slaskie" "PL83" "08.06" 9968
"98" "Slaskie" "PL83" "09.06" 10105
"99" "Slaskie" "PL83" "10.06" 10181
"100" "Slaskie" "PL83" "11.06" 10338
"101" "Slaskie" "PL83" "12.06" 10476
"102" "Slaskie" "PL83" "13.06" 10685
"103" "Slaskie" "PL83" "14.06" 10845
"104" "Slaskie" "PL83" "15.06" 11033
"105" "Slaskie" "PL83" "16.06" 11249
"106" "Slaskie" "PL83" "17.06" 11407
"107" "Slaskie" "PL83" "18.06" 11495
"108" "Slaskie" "PL83" "19.06" 11586
"109" "Slaskie" "PL83" "20.06" 11700
"110" "Slaskie" "PL83" "21.06" 11828
"111" "Slaskie" "PL83" "22.06" 11958
"112" "Slaskie" "PL83" "23.06" 12087
"113" "Slaskie" "PL83" "24.06" 12195
"114" "Slaskie" "PL83" "25.06" 12320
"115" "Slaskie" "PL83" "26.06" 12416
"116" "Slaskie" "PL83" "27.06" 12497
"117" "Slaskie" "PL83" "28.06" 12527
"118" "Slaskie" "PL83" "29.06" 12605
"119" "Slaskie" "PL83" "30.06" 12689
"120" "Slaskie" "PL83" "01.07" 12858
"121" "Slaskie" "PL83" "02.07" 13006
"122" "Slaskie" "PL83" "03.07" 13086
"123" "Slaskie" "PL83" "04.07" 13179
"124" "Slaskie" "PL83" "05.07" 13266
"125" "Slaskie" "PL83" "06.07" 13315
"126" "Slaskie" "PL83" "07.07" 13406
"127" "Slaskie" "PL83" "08.07" 13502
"128" "Slaskie" "PL83" "09.07" 13586
"129" "Slaskie" "PL83" "10.07" 13674
"130" "Slaskie" "PL83" "11.07" 13751
"131" "Slaskie" "PL83" "12.07" 13808
"132" "Slaskie" "PL83" "13.07" 13873
"133" "Slaskie" "PL83" "14.07" 13945
"134" "Slaskie" "PL83" "15.07" 14035
"135" "Slaskie" "PL83" "16.07" 14124
"136" "Slaskie" "PL83" "17.07" 14210
"137" "Slaskie" "PL83" "18.07" 14311
"138" "Slaskie" "PL83" "19.07" 14366
"139" "Slaskie" "PL83" "20.07" 14421
"140" "Slaskie" "PL83" "21.07" 14561
"141" "Slaskie" "PL83" "22.07" 14674
"142" "Slaskie" "PL83" "23.07" 14784
"143" "Slaskie" "PL83" "24.07" 14968
"144" "Slaskie" "PL83" "25.07" 15156
"145" "Slaskie" "PL83" "26.07" 15289
"146" "Slaskie" "PL83" "27.07" 15439
"147" "Slaskie" "PL83" "28.07" 15600
"148" "Slaskie" "PL83" "29.07" 15783
"149" "Slaskie" "PL83" "30.07" 15943
"150" "Slaskie" "PL83" "31.07" 16170
"151" "Slaskie" "PL83" "01.08" 16384
"152" "Slaskie" "PL83" "02.08" 16575
"153" "Slaskie" "PL83" "03.08" 16721
"154" "Slaskie" "PL83" "04.08" 16943
"155" "Slaskie" "PL83" "05.08" 17095
"156" "Slaskie" "PL83" "06.08" 17232
"157" "Slaskie" "PL83" "07.08" 17491
"158" "Slaskie" "PL83" "08.08" 17699
"159" "Slaskie" "PL83" "09.08" 17848
"160" "Slaskie" "PL83" "10.08" 17946
"161" "Slaskie" "PL83" "11.08" 18074
"162" "Slaskie" "PL83" "12.08" 18219
"163" "Slaskie" "PL83" "13.08" 18400
"164" "Slaskie" "PL83" "14.08" 18560
"165" "Slaskie" "PL83" "15.08" 18693
"166" "Slaskie" "PL83" "16.08" 18801
"167" "Slaskie" "PL83" "17.08" 18877
"168" "Slaskie" "PL83" "18.08" 18962
"169" "Slaskie" "PL83" "19.08" 19122
"170" "Slaskie" "PL83" "20.08" 19298
"171" "Slaskie" "PL83" "21.08" 19466
"172" "Slaskie" "PL83" "22.08" 19619
"173" "Slaskie" "PL83" "23.08" 19716
"174" "Slaskie" "PL83" "24.08" 19814
"175" "Slaskie" "PL83" "25.08" 19903
"176" "Slaskie" "PL83" "26.08" 20017
"177" "Slaskie" "PL83" "27.08" 20135
"178" "Slaskie" "PL83" "28.08" 20239
"179" "Slaskie" "PL83" "29.08" 20334
"180" "Slaskie" "PL83" "30.08" 20420
"181" "Slaskie" "PL83" "31.08" 20497
"182" "Slaskie" "PL83" "01.09" 20550
"183" "Slaskie" "PL83" "02.09" 20613
"184" "Slaskie" "PL83" "03.09" 20684
"185" "Slaskie" "PL83" "04.09" 20738
"186" "Slaskie" "PL83" "05.09" 20786
"187" "Slaskie" "PL83" "06.09" 20821
"188" "Slaskie" "PL83" "07.09" 20852
"189" "Slaskie" "PL83" "08.09" 20904
"190" "Slaskie" "PL83" "09.09" 20961
"191" "Slaskie" "PL83" "10.09" 21012
"192" "Slaskie" "PL83" "11.09" 21057
"193" "Slaskie" "PL83" "12.09" 21129
"194" "Slaskie" "PL83" "13.09" 21182
"195" "Slaskie" "PL83" "14.09" 21227
"196" "Slaskie" "PL83" "15.09" 21289
"197" "Slaskie" "PL83" "16.09" 21351
"198" "Slaskie" "PL83" "17.09" 21415
"199" "Slaskie" "PL83" "18.09" 21480
"200" "Slaskie" "PL83" "19.09" 21544
"201" "Slaskie" "PL83" "20.09" 21618
"202" "Slaskie" "PL83" "21.09" 21663
"203" "Slaskie" "PL83" "22.09" 21735
"204" "Slaskie" "PL83" "23.09" 21817
"205" "Slaskie" "PL83" "24.09" 21927
"206" "Slaskie" "PL83" "25.09" 22053
"207" "Slaskie" "PL83" "26.09" 22194
"208" "Slaskie" "PL83" "27.09" 22287
"209" "Slaskie" "PL83" "28.09" 22370
"210" "Slaskie" "PL83" "29.09" 22494
"211" "Mazowieckie" "PL78" "04.03" 0
"212" "Mazowieckie" "PL78" "05.03" 0
"213" "Mazowieckie" "PL78" "06.03" 0
"214" "Mazowieckie" "PL78" "07.03" 0
"215" "Mazowieckie" "PL78" "08.03" 2
"216" "Mazowieckie" "PL78" "09.03" 2
"217" "Mazowieckie" "PL78" "10.03" 3
"218" "Mazowieckie" "PL78" "11.03" 4
"219" "Mazowieckie" "PL78" "12.03" 6
"220" "Mazowieckie" "PL78" "13.03" 11
"221" "Mazowieckie" "PL78" "14.03" 16
"222" "Mazowieckie" "PL78" "15.03" 22
"223" "Mazowieckie" "PL78" "16.03" 35
"224" "Mazowieckie" "PL78" "17.03" 38
"225" "Mazowieckie" "PL78" "18.03" 66
"226" "Mazowieckie" "PL78" "19.03" 82
"227" "Mazowieckie" "PL78" "20.03" 107
"228" "Mazowieckie" "PL78" "21.03" 127
"229" "Mazowieckie" "PL78" "22.03" 147
"230" "Mazowieckie" "PL78" "23.03" 175
"231" "Mazowieckie" "PL78" "24.03" 212
"232" "Mazowieckie" "PL78" "25.03" 251
"233" "Mazowieckie" "PL78" "26.03" 291
"234" "Mazowieckie" "PL78" "27.03" 318
"235" "Mazowieckie" "PL78" "28.03" 421
"236" "Mazowieckie" "PL78" "29.03" 461
"237" "Mazowieckie" "PL78" "30.03" 487
"238" "Mazowieckie" "PL78" "31.03" 544
"239" "Mazowieckie" "PL78" "01.04" 612
"240" "Mazowieckie" "PL78" "02.04" 754
"241" "Mazowieckie" "PL78" "03.04" 808
"242" "Mazowieckie" "PL78" "04.04" 808
"243" "Mazowieckie" "PL78" "05.04" 967
"244" "Mazowieckie" "PL78" "06.04" 1065
"245" "Mazowieckie" "PL78" "07.04" 1247
"246" "Mazowieckie" "PL78" "08.04" 1314
"247" "Mazowieckie" "PL78" "09.04" 1424
"248" "Mazowieckie" "PL78" "10.04" 1501
"249" "Mazowieckie" "PL78" "11.04" 1629
"250" "Mazowieckie" "PL78" "12.04" 1664
"251" "Mazowieckie" "PL78" "13.04" 1688
"252" "Mazowieckie" "PL78" "14.04" 1715
"253" "Mazowieckie" "PL78" "15.04" 1792
"254" "Mazowieckie" "PL78" "16.04" 1846
"255" "Mazowieckie" "PL78" "17.04" 1883
"256" "Mazowieckie" "PL78" "18.04" 1936
"257" "Mazowieckie" "PL78" "19.04" 1992
"258" "Mazowieckie" "PL78" "20.04" 2030
