date,location,location_name,value
2020-12-23,GM,Germany,27968
2020-12-23,GM01,Baden-Württemberg State,4267
2020-12-23,GM02,Free State of Bavaria,5966
2020-12-23,GM03,Free Hanseatic City of Bremen,175
2020-12-23,GM04,Free Hanseatic City of Hamburg,561
2020-12-23,GM05,Hesse State,2296
2020-12-23,GM06,Lower Saxony State,1702
2020-12-23,GM07,North Rhine-Westphalia State,5608
2020-12-23,GM08,Rhineland-Palatinate State,1137
2020-12-23,GM09,Saarland State,377
2020-12-23,GM10,Schleswig-Holstein State,348
2020-12-23,GM11,Brandenburg State,714
2020-12-23,GM12,Mecklenburg-Western Pomerania State,127
2020-12-23,GM13,Free State of Saxony,2409
2020-12-23,GM14,Sachsen-Anhalt State,458
2020-12-23,GM15,Free State of Thüringia,757
2020-12-23,GM16,Berlin State,1066
